factura_compra_det_id,factura_compra_id,producto_id,quantity,unit_price,net_amount,vat_rate
FCD_00029,FC_00029,PROD_0008,12175.95,0.7388,8995.59,0.21
FCD_00030,FC_00030,PROD_0011,73.87,20.0255,1479.28,0.21
FCD_00031,FC_00031,PROD_0012,2910.47,1.1344,3301.64,0.21
FCD_00032,FC_00032,PROD_0005,14715.83,1.3089,19261.55,0.21
FCD_00033,FC_00033,PROD_0008,11685.15,0.75,8763.86,0.21
FCD_00034,FC_00034,PROD_0009,557.3,6.7685,3772.09,0.21
FCD_00035,FC_00035,PROD_0010,58.62,17.4033,1020.18,0.21
FCD_00036,FC_00036,PROD_0012,4840.83,1.2622,6110.1,0.21
FCD_00037,FC_00037,PROD_0005,10221.54,1.2441,12716.62,0.21
FCD_00038,FC_00038,PROD_0008,7863.4,0.7554,5940.01,0.21
FCD_00039,FC_00039,PROD_0009,373.75,6.2762,2345.73,0.21
FCD_00040,FC_00040,PROD_0010,40.55,19.1984,778.5,0.21
FCD_00041,FC_00041,PROD_0012,2777.39,1.2535,3481.46,0.21
FCD_00042,FC_00042,PROD_0004,3746.46,5.127,19208.1,0.21
FCD_00043,FC_00043,PROD_0007,30903.23,0.6538,20204.53,0.21
FCD_00044,FC_00044,PROD_0008,14721.98,0.7136,10505.6,0.21
FCD_00045,FC_00045,PROD_0009,362.54,6.9007,2501.78,0.21
FCD_00046,FC_00046,PROD_0010,60.25,19.4948,1174.56,0.21
FCD_00047,FC_00047,PROD_0012,3728.46,1.162,4332.47,0.21
FCD_00048,FC_00048,PROD_0005,9352.9,1.3854,12957.51,0.21
FCD_00049,FC_00049,PROD_0008,7091.95,0.714,5063.65,0.21
FCD_00050,FC_00050,PROD_0009,350.73,6.7061,2352.03,0.21
FCD_00051,FC_00051,PROD_0010,37.76,19.849,749.5,0.21
FCD_00052,FC_00052,PROD_0012,2912.15,1.1773,3428.47,0.21
FCD_00053,FC_00053,PROD_0005,7534.14,1.2675,9549.52,0.21
FCD_00054,FC_00054,PROD_0008,6030.78,0.8227,4961.52,0.21
FCD_00055,FC_00055,PROD_0009,267.77,6.5615,1756.97,0.21
FCD_00056,FC_00056,PROD_0010,28.73,19.1995,551.6,0.21
FCD_00057,FC_00057,PROD_0012,1786.15,1.2409,2216.43,0.21
FCD_00058,FC_00058,PROD_0005,9894.39,1.2101,11973.2,0.21
FCD_00059,FC_00059,PROD_0008,8175.59,0.7848,6416.2,0.21
FCD_00060,FC_00060,PROD_0009,362.43,5.9206,2145.8,0.21
FCD_00061,FC_00061,PROD_0010,39.03,19.4769,760.18,0.21
FCD_00062,FC_00062,PROD_0012,2607.22,1.2176,3174.55,0.21
FCD_00063,FC_00063,PROD_0005,10175.86,1.3359,13593.93,0.21
FCD_00064,FC_00064,PROD_0008,7855.77,0.7284,5722.14,0.21
FCD_00065,FC_00065,PROD_0009,354.55,6.6754,2366.76,0.21
FCD_00066,FC_00066,PROD_0010,39.87,17.575,700.72,0.21
FCD_00067,FC_00067,PROD_0012,3032.43,1.1644,3530.96,0.21
FCD_00068,FC_00068,PROD_0004,4456.54,5.3597,23885.72,0.21
FCD_00069,FC_00069,PROD_0007,37836.11,0.6561,24824.27,0.21
FCD_00070,FC_00070,PROD_0008,18896.14,0.822,15532.63,0.21
FCD_00071,FC_00071,PROD_0009,434.86,6.6276,2882.08,0.21
FCD_00072,FC_00072,PROD_0010,74.79,17.5542,1312.88,0.21
FCD_00073,FC_00073,PROD_0012,4236.71,1.1924,5051.85,0.21
FCD_00074,FC_00074,PROD_0004,2201.27,4.9014,10789.3,0.21
FCD_00075,FC_00075,PROD_0007,18277.48,0.6493,11867.57,0.21
FCD_00076,FC_00076,PROD_0008,9268.01,0.7845,7270.75,0.21
FCD_00077,FC_00077,PROD_0009,216.38,6.72,1454.07,0.21
FCD_00078,FC_00078,PROD_0010,35.85,19.0156,681.71,0.21
FCD_00079,FC_00079,PROD_0012,1964.85,1.2287,2414.21,0.21
FCD_00080,FC_00080,PROD_0006,23535.94,0.7183,16905.87,0.21
FCD_00081,FC_00081,PROD_0007,21083.25,0.6221,13115.89,0.21
FCD_00082,FC_00082,PROD_0008,11675.51,0.8071,9423.3,0.21
FCD_00083,FC_00083,PROD_0011,76.1,20.4984,1559.93,0.21
FCD_00084,FC_00084,PROD_0012,3420.41,1.1774,4027.19,0.21
FCD_00085,FC_00085,PROD_0004,2444.15,4.6936,11471.86,0.21
FCD_00086,FC_00086,PROD_0007,20025.36,0.6933,13883.58,0.21
FCD_00087,FC_00087,PROD_0008,10312.6,0.8276,8534.71,0.21
FCD_00088,FC_00088,PROD_0009,231.84,6.3038,1461.47,0.21
FCD_00089,FC_00089,PROD_0010,38.64,18.4274,712.03,0.21
FCD_00090,FC_00090,PROD_0012,2256.07,1.152,2598.99,0.21
FCD_00091,FC_00091,PROD_0004,3775.65,5.1069,19281.87,0.21
FCD_00092,FC_00092,PROD_0007,30900.34,0.6276,19393.05,0.21
FCD_00093,FC_00093,PROD_0008,15261.94,0.8092,12349.96,0.21
FCD_00094,FC_00094,PROD_0009,356.91,6.788,2422.71,0.21
FCD_00095,FC_00095,PROD_0010,59.71,18.8966,1128.32,0.21
FCD_00096,FC_00096,PROD_0012,3797.52,1.1958,4541.07,0.21
FCD_00097,FC_00097,PROD_0005,14873.64,1.1891,17686.25,0.21
FCD_00098,FC_00098,PROD_0008,11678.66,0.7827,9140.89,0.21
FCD_00099,FC_00099,PROD_0009,580.9,6.3933,3713.87,0.21
FCD_00100,FC_00100,PROD_0010,61.83,19.3053,1193.65,0.21
FCD_00101,FC_00101,PROD_0012,5004.37,1.2466,6238.45,0.21
FCD_00102,FC_00102,PROD_0005,10312.85,1.2138,12517.74,0.21
FCD_00103,FC_00103,PROD_0008,7731.41,0.7646,5911.44,0.21
FCD_00104,FC_00104,PROD_0009,390.37,6.9207,2701.63,0.21
FCD_00105,FC_00105,PROD_0010,40.5,17.3595,703.06,0.21
FCD_00106,FC_00106,PROD_0012,2981.83,1.2546,3741.0,0.21
FCD_00107,FC_00107,PROD_0006,24172.16,0.69,16678.79,0.21
FCD_00108,FC_00108,PROD_0007,21554.98,0.6794,14644.45,0.21
FCD_00109,FC_00109,PROD_0008,11384.42,0.7882,8973.2,0.21
FCD_00110,FC_00110,PROD_0011,73.21,23.1474,1694.62,0.21
FCD_00111,FC_00111,PROD_0012,3581.99,1.2447,4458.5,0.21
FCD_00112,FC_00112,PROD_0004,2748.49,5.1456,14142.63,0.21
FCD_00113,FC_00113,PROD_0007,23977.74,0.6202,14870.99,0.21
FCD_00114,FC_00114,PROD_0008,11488.35,0.7753,8906.92,0.21
FCD_00115,FC_00115,PROD_0009,282.36,6.5174,1840.25,0.21
FCD_00116,FC_00116,PROD_0010,45.15,18.6206,840.72,0.21
FCD_00117,FC_00117,PROD_0012,2290.44,1.1363,2602.63,0.21
FCD_00118,FC_00118,PROD_0005,7034.8,1.3807,9712.95,0.21
FCD_00119,FC_00119,PROD_0008,5687.19,0.7773,4420.65,0.21
FCD_00120,FC_00120,PROD_0009,269.53,6.1444,1656.1,0.21
FCD_00121,FC_00121,PROD_0010,28.26,19.7754,558.85,0.21
FCD_00122,FC_00122,PROD_0012,1925.85,1.2363,2380.93,0.21
FCD_00123,FC_00123,PROD_0004,3126.33,5.0928,15921.77,0.21
FCD_00124,FC_00124,PROD_0007,26491.98,0.6346,16811.81,0.21
FCD_00125,FC_00125,PROD_0008,12448.86,0.716,8913.38,0.21
FCD_00126,FC_00126,PROD_0009,287.48,5.9591,1713.12,0.21
FCD_00127,FC_00127,PROD_0010,49.65,18.0565,896.51,0.21
FCD_00128,FC_00128,PROD_0012,2437.95,1.1801,2877.02,0.21
FCD_00129,FC_00129,PROD_0013,99.98,15.1352,1513.22,0.21
FCD_00130,FC_00130,PROD_0014,45.37,41.6471,1889.53,0.21
FCD_00131,FC_00131,PROD_0015,102.14,25.3895,2593.28,0.21
FCD_00132,FC_00132,PROD_0013,94.93,15.2058,1443.49,0.21
FCD_00133,FC_00133,PROD_0014,44.54,40.4087,1799.8,0.21
FCD_00134,FC_00134,PROD_0015,123.44,24.5701,3032.93,0.21
FCD_00135,FC_00135,PROD_0012,3924.92,1.1925,4680.47,0.21
FCD_00136,FC_00136,PROD_0016,22.15,41.7242,924.19,0.21
FCD_00137,FC_00137,PROD_0012,3688.23,1.2159,4484.52,0.21
FCD_00138,FC_00138,PROD_0017,440.51,14.5344,6402.55,0.21
FCD_00139,FC_00139,PROD_0013,30.51,16.3236,498.03,0.21
FCD_00140,FC_00140,PROD_0015,31.61,25.6563,811.0,0.21
FCD_00141,FC_00141,PROD_0012,3434.33,1.1304,3882.17,0.21
FCD_00142,FC_00142,PROD_0016,27.3,40.9935,1119.12,0.21
FCD_00143,FC_00143,PROD_0012,5415.74,1.1635,6301.21,0.21
FCD_00144,FC_00144,PROD_0017,250.25,13.8818,3473.92,0.21
FCD_00145,FC_00145,PROD_0013,33.13,16.779,555.89,0.21
FCD_00146,FC_00146,PROD_0015,37.89,27.2841,1033.79,0.21
FCD_00147,FC_00147,PROD_0012,5841.14,1.1887,6943.36,0.21
FCD_00148,FC_00148,PROD_0017,232.12,14.8286,3442.01,0.21
