viaje_id,transportista_id,vehiculo_id,dispatch_date,delivery_date,distance_km,mode,total_cost
VIA_00097,TRP_0003,ACT_0006,2024-01-08,2024-01-09,241,PROPIO,189.25
VIA_00098,TRP_0003,ACT_0006,2024-01-08,2024-01-10,226,PROPIO,184.21
VIA_00099,TRP_0003,ACT_0006,2024-01-08,2024-01-10,167,PROPIO,194.35
VIA_00100,TRP_0001,,2024-04-30,2024-05-02,270,TERCERO,326.73
VIA_00101,TRP_0001,,2024-04-30,2024-05-02,279,TERCERO,249.35
VIA_00102,TRP_0001,,2024-04-30,2024-05-02,147,TERCERO,309.16
VIA_00103,TRP_0001,,2024-04-30,2024-05-02,170,TERCERO,310.9
VIA_00104,TRP_0001,,2024-04-30,2024-05-01,180,TERCERO,379.31
VIA_00105,TRP_0001,,2024-04-30,2024-05-01,170,TERCERO,265.26
VIA_00106,TRP_0001,,2024-04-30,2024-05-01,150,TERCERO,252.75
VIA_00107,TRP_0001,,2024-04-30,2024-05-01,187,TERCERO,301.91
VIA_00108,TRP_0001,,2024-04-30,2024-05-02,137,TERCERO,345.92
VIA_00109,TRP_0001,,2024-04-30,2024-05-01,214,TERCERO,322.06
VIA_00110,TRP_0001,,2024-04-30,2024-05-01,274,TERCERO,376.23
VIA_00111,TRP_0001,,2024-04-30,2024-05-01,272,TERCERO,330.33
VIA_00112,TRP_0001,,2024-04-30,2024-05-01,98,TERCERO,332.51
VIA_00113,TRP_0001,,2024-07-31,2024-08-01,225,TERCERO,278.9
VIA_00114,TRP_0001,,2024-07-31,2024-08-01,258,TERCERO,319.16
VIA_00115,TRP_0001,,2024-07-31,2024-08-01,225,TERCERO,371.37
VIA_00116,TRP_0001,,2024-07-31,2024-08-02,279,TERCERO,277.89
VIA_00117,TRP_0001,,2024-07-31,2024-08-02,119,TERCERO,281.85
VIA_00118,TRP_0001,,2024-07-31,2024-08-02,114,TERCERO,331.45
VIA_00119,TRP_0001,,2024-07-31,2024-08-01,278,TERCERO,392.37
VIA_00120,TRP_0001,,2024-07-31,2024-08-02,173,TERCERO,339.9
VIA_00121,TRP_0001,,2024-07-31,2024-08-01,248,TERCERO,383.8
VIA_00122,TRP_0001,,2024-07-31,2024-08-02,100,TERCERO,323.39
VIA_00123,TRP_0001,,2024-07-31,2024-08-02,242,TERCERO,289.73
VIA_00124,TRP_0001,,2024-07-31,2024-08-01,153,TERCERO,391.67
VIA_00125,TRP_0001,,2024-07-31,2024-08-02,276,TERCERO,379.79
VIA_00126,TRP_0001,,2024-07-31,2024-08-01,234,TERCERO,284.64
VIA_00127,TRP_0001,,2024-07-31,2024-08-01,127,TERCERO,326.19
VIA_00128,TRP_0001,,2024-07-31,2024-08-02,181,TERCERO,319.95
VIA_00129,TRP_0001,,2024-07-31,2024-08-02,198,TERCERO,305.44
VIA_00130,TRP_0001,,2024-07-31,2024-08-01,223,TERCERO,294.27
VIA_00131,TRP_0001,,2024-07-31,2024-08-01,129,TERCERO,263.45
VIA_00132,TRP_0001,,2024-07-31,2024-08-02,97,TERCERO,371.49
VIA_00133,TRP_0001,,2024-07-31,2024-08-01,155,TERCERO,278.48
VIA_00134,TRP_0001,,2024-07-31,2024-08-01,225,TERCERO,327.19
VIA_00135,TRP_0001,,2024-08-26,2024-08-27,80,TERCERO,347.84
VIA_00136,TRP_0001,,2024-08-26,2024-08-27,255,TERCERO,258.17
VIA_00137,TRP_0001,,2024-08-26,2024-08-27,57,TERCERO,336.58
VIA_00138,TRP_0001,,2024-08-26,2024-08-27,236,TERCERO,377.11
VIA_00139,TRP_0001,,2024-08-26,2024-08-27,78,TERCERO,340.35
VIA_00140,TRP_0001,,2024-08-26,2024-08-27,106,TERCERO,315.51
VIA_00141,TRP_0001,,2024-08-26,2024-08-27,141,TERCERO,370.12
VIA_00142,TRP_0001,,2024-08-26,2024-08-28,196,TERCERO,249.98
VIA_00143,TRP_0001,,2024-08-26,2024-08-27,178,TERCERO,385.47
VIA_00144,TRP_0001,,2024-08-26,2024-08-28,130,TERCERO,271.08
VIA_00145,TRP_0002,,2024-05-07,2024-05-08,203,TERCERO,339.21
VIA_00146,TRP_0002,,2024-05-07,2024-05-09,189,TERCERO,372.01
VIA_00147,TRP_0002,,2024-05-07,2024-05-09,166,TERCERO,278.22
VIA_00148,TRP_0002,,2024-05-07,2024-05-09,162,TERCERO,286.75
VIA_00149,TRP_0002,,2024-05-07,2024-05-08,105,TERCERO,241.68
VIA_00150,TRP_0002,,2024-05-07,2024-05-08,134,TERCERO,337.28
VIA_00151,TRP_0002,,2024-05-07,2024-05-09,59,TERCERO,298.17
VIA_00152,TRP_0002,,2024-05-07,2024-05-09,199,TERCERO,322.77
VIA_00153,TRP_0002,,2024-05-07,2024-05-08,229,TERCERO,351.52
VIA_00154,TRP_0002,,2024-05-07,2024-05-09,215,TERCERO,249.85
VIA_00155,TRP_0002,,2024-05-07,2024-05-09,161,TERCERO,321.77
VIA_00156,TRP_0002,,2024-05-07,2024-05-09,110,TERCERO,241.19
VIA_00157,TRP_0002,,2024-05-07,2024-05-08,105,TERCERO,300.43
VIA_00158,TRP_0001,,2024-06-06,2024-06-08,86,TERCERO,390.33
VIA_00159,TRP_0001,,2024-06-06,2024-06-07,153,TERCERO,390.92
VIA_00160,TRP_0001,,2024-06-06,2024-06-07,174,TERCERO,390.22
VIA_00161,TRP_0001,,2024-06-06,2024-06-08,171,TERCERO,251.14
VIA_00162,TRP_0001,,2024-06-06,2024-06-08,251,TERCERO,397.11
VIA_00163,TRP_0001,,2024-06-06,2024-06-08,99,TERCERO,397.19
VIA_00164,TRP_0001,,2024-06-06,2024-06-08,98,TERCERO,261.21
VIA_00165,TRP_0001,,2024-06-06,2024-06-08,70,TERCERO,342.82
VIA_00166,TRP_0001,,2024-06-06,2024-06-08,266,TERCERO,312.87
VIA_00167,TRP_0001,,2024-06-06,2024-06-08,198,TERCERO,272.7
VIA_00168,TRP_0001,,2024-06-06,2024-06-08,204,TERCERO,260.73
VIA_00169,TRP_0001,,2024-06-06,2024-06-08,213,TERCERO,378.64
VIA_00170,TRP_0001,,2024-06-06,2024-06-07,172,TERCERO,326.97
VIA_00171,TRP_0001,,2024-06-06,2024-06-07,177,TERCERO,397.0
VIA_00172,TRP_0001,,2024-06-06,2024-06-08,84,TERCERO,305.52
VIA_00173,TRP_0002,,2024-08-17,2024-08-19,104,TERCERO,319.52
VIA_00174,TRP_0002,,2024-08-17,2024-08-18,267,TERCERO,360.63
VIA_00175,TRP_0002,,2024-08-17,2024-08-19,103,TERCERO,379.71
VIA_00176,TRP_0002,,2024-08-17,2024-08-19,140,TERCERO,378.51
VIA_00177,TRP_0002,,2024-08-17,2024-08-18,109,TERCERO,343.06
VIA_00178,TRP_0002,,2024-08-17,2024-08-18,263,TERCERO,288.17
VIA_00179,TRP_0002,,2024-08-17,2024-08-19,210,TERCERO,399.14
VIA_00180,TRP_0002,,2024-08-17,2024-08-19,88,TERCERO,262.39
VIA_00181,TRP_0002,,2024-08-17,2024-08-18,206,TERCERO,300.62
VIA_00182,TRP_0002,,2024-08-17,2024-08-19,71,TERCERO,321.25
VIA_00183,TRP_0002,,2024-08-17,2024-08-19,224,TERCERO,292.32
VIA_00184,TRP_0002,,2024-08-17,2024-08-19,130,TERCERO,377.6
VIA_00185,TRP_0002,,2024-08-17,2024-08-18,172,TERCERO,377.14
VIA_00186,TRP_0002,,2024-08-17,2024-08-18,155,TERCERO,393.92
VIA_00187,TRP_0001,,2024-06-24,2024-06-26,134,TERCERO,323.02
VIA_00188,TRP_0001,,2024-06-24,2024-06-25,118,TERCERO,271.87
VIA_00189,TRP_0001,,2024-06-24,2024-06-26,97,TERCERO,255.87
VIA_00190,TRP_0001,,2024-06-24,2024-06-25,177,TERCERO,269.91
VIA_00191,TRP_0001,,2024-06-24,2024-06-25,102,TERCERO,311.64
VIA_00192,TRP_0001,,2024-06-24,2024-06-26,176,TERCERO,291.16
VIA_00193,TRP_0001,,2024-06-24,2024-06-25,150,TERCERO,342.04
VIA_00194,TRP_0001,,2024-06-24,2024-06-25,123,TERCERO,347.65
VIA_00195,TRP_0001,,2024-06-24,2024-06-25,225,TERCERO,250.76
VIA_00196,TRP_0001,,2024-06-24,2024-06-25,156,TERCERO,318.05
VIA_00197,TRP_0001,,2024-06-24,2024-06-25,127,TERCERO,371.81
VIA_00198,TRP_0001,,2024-06-24,2024-06-25,56,TERCERO,329.28
VIA_00199,TRP_0001,,2024-06-24,2024-06-26,101,TERCERO,251.99
VIA_00200,TRP_0002,,2024-06-21,2024-06-23,132,TERCERO,251.46
VIA_00201,TRP_0002,,2024-06-21,2024-06-23,77,TERCERO,295.65
VIA_00202,TRP_0002,,2024-06-21,2024-06-23,267,TERCERO,202.7
VIA_00203,TRP_0002,,2024-06-21,2024-06-23,190,TERCERO,293.33
VIA_00204,TRP_0003,ACT_0006,2024-09-28,2024-09-30,167,PROPIO,207.7
VIA_00205,TRP_0003,ACT_0006,2024-09-28,2024-09-30,276,PROPIO,148.84
VIA_00206,TRP_0003,ACT_0006,2024-09-28,2024-09-29,137,PROPIO,182.33
VIA_00207,TRP_0003,ACT_0006,2024-09-28,2024-09-29,175,PROPIO,168.35
VIA_00208,TRP_0003,ACT_0006,2024-09-28,2024-09-30,75,PROPIO,147.1
VIA_00209,TRP_0003,ACT_0006,2024-09-28,2024-09-29,72,PROPIO,201.96
VIA_00210,TRP_0002,,2024-06-06,2024-06-07,162,TERCERO,318.07
VIA_00211,TRP_0002,,2024-06-06,2024-06-07,161,TERCERO,215.01
VIA_00212,TRP_0002,,2024-06-06,2024-06-08,66,TERCERO,314.1
VIA_00213,TRP_0002,,2024-06-06,2024-06-07,114,TERCERO,260.4
VIA_00214,TRP_0002,,2024-07-16,2024-07-18,56,TERCERO,305.26
VIA_00215,TRP_0002,,2024-07-16,2024-07-18,277,TERCERO,270.49
VIA_00216,TRP_0002,,2024-07-16,2024-07-18,253,TERCERO,356.23
VIA_00217,TRP_0002,,2024-07-16,2024-07-17,91,TERCERO,273.44
VIA_00218,TRP_0003,ACT_0006,2024-09-24,2024-09-26,142,PROPIO,157.56
VIA_00219,TRP_0003,ACT_0006,2024-09-24,2024-09-26,274,PROPIO,137.7
VIA_00220,TRP_0003,ACT_0006,2024-09-24,2024-09-25,122,PROPIO,128.73
VIA_00221,TRP_0003,ACT_0006,2024-09-24,2024-09-26,143,PROPIO,138.49
VIA_00222,TRP_0003,ACT_0006,2024-09-24,2024-09-26,208,PROPIO,137.4
VIA_00223,TRP_0001,,2025-06-09,2025-06-10,168,TERCERO,300.81
VIA_00224,TRP_0001,,2025-06-09,2025-06-11,123,TERCERO,318.64
VIA_00225,TRP_0001,,2025-06-09,2025-06-10,201,TERCERO,377.14
VIA_00226,TRP_0001,,2025-06-09,2025-06-11,67,TERCERO,280.35
VIA_00227,TRP_0001,,2025-06-09,2025-06-11,64,TERCERO,299.87
VIA_00228,TRP_0001,,2025-06-09,2025-06-10,221,TERCERO,322.89
VIA_00229,TRP_0001,,2025-06-09,2025-06-10,179,TERCERO,284.08
VIA_00230,TRP_0001,,2025-06-09,2025-06-11,207,TERCERO,267.76
VIA_00231,TRP_0001,,2025-06-09,2025-06-11,121,TERCERO,389.91
VIA_00232,TRP_0001,,2025-06-09,2025-06-11,105,TERCERO,355.59
VIA_00233,TRP_0001,,2025-06-09,2025-06-11,148,TERCERO,398.39
VIA_00234,TRP_0001,,2025-06-09,2025-06-10,164,TERCERO,272.63
VIA_00235,TRP_0001,,2025-06-09,2025-06-11,80,TERCERO,328.75
VIA_00236,TRP_0001,,2025-06-09,2025-06-10,230,TERCERO,340.85
VIA_00237,TRP_0001,,2025-06-09,2025-06-10,133,TERCERO,388.51
VIA_00238,TRP_0001,,2025-06-09,2025-06-10,191,TERCERO,253.94
VIA_00239,TRP_0002,,2025-05-17,2025-05-19,109,TERCERO,284.94
VIA_00240,TRP_0002,,2025-05-17,2025-05-18,62,TERCERO,285.75
VIA_00241,TRP_0002,,2025-05-17,2025-05-18,98,TERCERO,300.56
VIA_00242,TRP_0002,,2025-05-17,2025-05-18,141,TERCERO,294.65
VIA_00243,TRP_0002,,2025-05-17,2025-05-19,128,TERCERO,257.46
VIA_00244,TRP_0002,,2025-05-17,2025-05-18,60,TERCERO,274.23
VIA_00245,TRP_0002,,2025-05-17,2025-05-18,225,TERCERO,391.87
VIA_00246,TRP_0002,,2025-05-17,2025-05-19,263,TERCERO,319.29
VIA_00247,TRP_0002,,2025-05-17,2025-05-18,174,TERCERO,291.0
VIA_00248,TRP_0002,,2025-05-17,2025-05-19,229,TERCERO,358.15
VIA_00249,TRP_0002,,2025-05-17,2025-05-18,244,TERCERO,377.65
VIA_00250,TRP_0002,,2025-05-17,2025-05-19,152,TERCERO,358.47
VIA_00251,TRP_0002,,2025-05-17,2025-05-18,236,TERCERO,290.09
VIA_00252,TRP_0002,,2025-05-17,2025-05-19,264,TERCERO,258.15
VIA_00253,TRP_0002,,2025-05-17,2025-05-18,278,TERCERO,358.95
VIA_00254,TRP_0002,,2025-05-17,2025-05-18,75,TERCERO,341.96
VIA_00255,TRP_0002,,2025-05-17,2025-05-19,62,TERCERO,358.96
VIA_00256,TRP_0002,,2025-05-17,2025-05-19,234,TERCERO,333.94
VIA_00257,TRP_0002,,2025-05-17,2025-05-19,247,TERCERO,258.68
VIA_00258,TRP_0002,,2025-05-17,2025-05-19,117,TERCERO,305.86
VIA_00259,TRP_0002,,2025-05-17,2025-05-18,64,TERCERO,310.94
VIA_00260,TRP_0001,,2025-06-24,2025-06-25,246,TERCERO,371.79
VIA_00261,TRP_0001,,2025-06-24,2025-06-25,96,TERCERO,373.91
VIA_00262,TRP_0001,,2025-06-24,2025-06-25,261,TERCERO,290.28
VIA_00263,TRP_0001,,2025-06-24,2025-06-26,221,TERCERO,303.57
VIA_00264,TRP_0001,,2025-06-24,2025-06-25,160,TERCERO,316.12
VIA_00265,TRP_0001,,2025-06-24,2025-06-25,66,TERCERO,293.84
VIA_00266,TRP_0001,,2025-06-24,2025-06-26,191,TERCERO,302.93
VIA_00267,TRP_0001,,2025-06-24,2025-06-26,163,TERCERO,279.77
VIA_00268,TRP_0001,,2025-06-24,2025-06-26,205,TERCERO,357.8
VIA_00269,TRP_0001,,2025-06-24,2025-06-26,166,TERCERO,365.69
VIA_00270,TRP_0001,,2025-06-24,2025-06-25,92,TERCERO,319.63
VIA_00271,TRP_0001,,2025-06-24,2025-06-25,180,TERCERO,362.75
VIA_00272,TRP_0001,,2025-06-24,2025-06-26,123,TERCERO,280.76
VIA_00273,TRP_0001,,2025-06-24,2025-06-26,92,TERCERO,258.85
VIA_00274,TRP_0001,,2025-06-24,2025-06-26,134,TERCERO,348.39
VIA_00275,TRP_0001,,2025-06-24,2025-06-25,113,TERCERO,330.18
VIA_00276,TRP_0001,,2025-06-24,2025-06-26,95,TERCERO,251.81
VIA_00277,TRP_0001,,2025-06-24,2025-06-26,169,TERCERO,280.04
VIA_00278,TRP_0001,,2025-06-24,2025-06-26,70,TERCERO,259.37
VIA_00279,TRP_0001,,2025-06-24,2025-06-26,144,TERCERO,374.06
VIA_00280,TRP_0001,,2025-06-24,2025-06-25,113,TERCERO,289.6
VIA_00281,TRP_0002,,2025-08-14,2025-08-15,216,TERCERO,299.13
VIA_00282,TRP_0002,,2025-08-14,2025-08-16,90,TERCERO,250.43
VIA_00283,TRP_0002,,2025-08-14,2025-08-15,279,TERCERO,300.96
VIA_00284,TRP_0002,,2025-08-14,2025-08-16,251,TERCERO,304.84
VIA_00285,TRP_0002,,2025-08-14,2025-08-16,262,TERCERO,248.07
VIA_00286,TRP_0002,,2025-08-14,2025-08-16,80,TERCERO,369.2
VIA_00287,TRP_0002,,2025-08-14,2025-08-15,268,TERCERO,280.72
VIA_00288,TRP_0002,,2025-08-14,2025-08-16,134,TERCERO,300.54
VIA_00289,TRP_0002,,2025-08-14,2025-08-16,148,TERCERO,262.78
VIA_00290,TRP_0002,,2025-08-14,2025-08-15,257,TERCERO,271.89
VIA_00291,TRP_0002,,2025-08-14,2025-08-16,213,TERCERO,245.1
VIA_00292,TRP_0002,,2025-08-14,2025-08-15,63,TERCERO,329.5
VIA_00293,TRP_0002,,2025-08-14,2025-08-15,131,TERCERO,329.75
VIA_00294,TRP_0002,,2025-08-14,2025-08-16,76,TERCERO,372.1
VIA_00295,TRP_0003,ACT_0006,2025-05-21,2025-05-22,164,PROPIO,171.5
VIA_00296,TRP_0003,ACT_0006,2025-05-21,2025-05-22,266,PROPIO,186.26
VIA_00297,TRP_0003,ACT_0006,2025-05-21,2025-05-22,160,PROPIO,153.84
VIA_00298,TRP_0003,ACT_0006,2025-05-21,2025-05-22,160,PROPIO,167.03
VIA_00299,TRP_0003,ACT_0006,2025-05-21,2025-05-22,204,PROPIO,163.11
VIA_00300,TRP_0003,ACT_0006,2025-05-21,2025-05-22,211,PROPIO,192.37
VIA_00301,TRP_0003,ACT_0006,2025-05-21,2025-05-22,129,PROPIO,173.21
VIA_00302,TRP_0003,ACT_0006,2025-05-21,2025-05-23,210,PROPIO,202.24
VIA_00303,TRP_0003,ACT_0006,2025-05-21,2025-05-22,58,PROPIO,189.69
VIA_00304,TRP_0003,ACT_0006,2025-08-18,2025-08-20,172,PROPIO,215.59
VIA_00305,TRP_0003,ACT_0006,2025-08-18,2025-08-20,233,PROPIO,156.59
VIA_00306,TRP_0003,ACT_0006,2025-08-18,2025-08-20,151,PROPIO,200.93
VIA_00307,TRP_0003,ACT_0006,2025-08-18,2025-08-19,277,PROPIO,184.29
VIA_00308,TRP_0003,ACT_0006,2025-08-18,2025-08-19,75,PROPIO,191.48
VIA_00309,TRP_0003,ACT_0006,2025-08-18,2025-08-19,83,PROPIO,204.61
VIA_00310,TRP_0003,ACT_0006,2025-08-18,2025-08-20,169,PROPIO,202.67
VIA_00311,TRP_0003,ACT_0006,2025-08-18,2025-08-20,250,PROPIO,196.12
VIA_00312,TRP_0003,ACT_0006,2025-08-18,2025-08-20,192,PROPIO,204.83
VIA_00313,TRP_0003,ACT_0006,2025-08-18,2025-08-19,244,PROPIO,212.76
VIA_00314,TRP_0003,ACT_0006,2025-08-18,2025-08-20,63,PROPIO,191.07
VIA_00315,TRP_0003,ACT_0006,2025-08-18,2025-08-20,103,PROPIO,212.16
VIA_00316,TRP_0003,ACT_0006,2025-08-18,2025-08-19,200,PROPIO,181.65
VIA_00317,TRP_0003,ACT_0006,2025-08-18,2025-08-20,97,PROPIO,176.02
VIA_00318,TRP_0003,ACT_0006,2025-08-18,2025-08-20,213,PROPIO,166.68
VIA_00319,TRP_0003,ACT_0006,2025-08-18,2025-08-20,76,PROPIO,214.08
VIA_00320,TRP_0003,ACT_0006,2025-08-18,2025-08-19,226,PROPIO,166.37
VIA_00321,TRP_0003,ACT_0006,2025-01-21,2025-01-23,92,PROPIO,192.24
VIA_00322,TRP_0003,ACT_0006,2025-01-21,2025-01-22,103,PROPIO,170.94
VIA_00323,TRP_0003,ACT_0006,2025-01-21,2025-01-22,211,PROPIO,200.31
VIA_00324,TRP_0003,ACT_0006,2025-01-21,2025-01-22,193,PROPIO,150.81
VIA_00325,TRP_0003,ACT_0006,2025-01-21,2025-01-23,269,PROPIO,215.38
VIA_00326,TRP_0003,ACT_0006,2025-01-21,2025-01-23,125,PROPIO,182.74
VIA_00327,TRP_0003,ACT_0006,2025-01-21,2025-01-22,109,PROPIO,180.31
VIA_00328,TRP_0003,ACT_0006,2025-01-21,2025-01-22,75,PROPIO,186.17
VIA_00329,TRP_0003,ACT_0006,2025-01-21,2025-01-22,181,PROPIO,191.39
