cuenta_pagar_id,proveedor_id,factura_compra_id,invoice_date,due_date,open_amount,status
AP_00030,SUP_0009,FC_00030,2023-09-01,2023-10-16,0.0,PAGADA
AP_00031,SUP_0004,FC_00031,2024-05-18,2024-07-17,0.0,PAGADA
AP_00032,SUP_0001,FC_00032,2023-10-19,2023-12-03,0.0,PAGADA
AP_00033,SUP_0002,FC_00033,2023-11-28,2024-01-12,0.0,PAGADA
AP_00034,SUP_0009,FC_00034,2023-12-27,2024-02-10,0.0,PAGADA
AP_00035,SUP_0009,FC_00035,2023-12-20,2024-02-03,0.0,PAGADA
AP_00036,SUP_0004,FC_00036,2023-11-04,2024-01-03,0.0,PAGADA
AP_00037,SUP_0001,FC_00037,2023-10-29,2023-12-13,1230.97,PARCIAL
AP_00038,SUP_0002,FC_00038,2023-11-17,2024-01-01,0.0,PAGADA
AP_00039,SUP_0009,FC_00039,2023-12-28,2024-02-11,0.0,PAGADA
AP_00040,SUP_0003,FC_00040,2023-12-28,2024-02-11,0.0,PAGADA
AP_00041,SUP_0004,FC_00041,2023-10-25,2023-12-24,0.0,PAGADA
AP_00042,SUP_0001,FC_00042,2023-08-24,2023-10-08,0.0,PAGADA
AP_00043,SUP_0002,FC_00043,2023-10-13,2023-11-27,0.0,PAGADA
AP_00044,SUP_0002,FC_00044,2023-10-10,2023-11-24,0.0,PAGADA
AP_00045,SUP_0009,FC_00045,2023-11-10,2023-12-25,0.0,PAGADA
AP_00046,SUP_0003,FC_00046,2023-11-25,2024-01-09,0.0,PAGADA
AP_00047,SUP_0004,FC_00047,2023-08-30,2023-10-29,0.0,PAGADA
AP_00048,SUP_0008,FC_00048,2023-10-13,2023-11-27,0.0,PAGADA
AP_00049,SUP_0002,FC_00049,2023-11-27,2024-01-11,0.0,PAGADA
AP_00050,SUP_0009,FC_00050,2023-12-22,2024-02-05,0.0,PAGADA
AP_00051,SUP_0003,FC_00051,2023-12-12,2024-01-26,0.0,PAGADA
AP_00052,SUP_0004,FC_00052,2023-10-26,2023-12-25,0.0,PAGADA
AP_00053,SUP_0001,FC_00053,2023-10-18,2023-12-02,0.0,PAGADA
AP_00054,SUP_0002,FC_00054,2023-11-14,2023-12-29,0.0,PAGADA
AP_00055,SUP_0003,FC_00055,2023-12-24,2024-02-07,0.0,PAGADA
AP_00056,SUP_0009,FC_00056,2023-12-18,2024-02-01,0.0,PAGADA
AP_00057,SUP_0004,FC_00057,2023-10-30,2023-12-29,0.0,PAGADA
AP_00058,SUP_0008,FC_00058,2023-10-06,2023-11-20,0.0,PAGADA
AP_00059,SUP_0002,FC_00059,2023-11-12,2023-12-27,0.0,PAGADA
AP_00060,SUP_0009,FC_00060,2024-01-03,2024-02-17,0.0,PAGADA
AP_00061,SUP_0003,FC_00061,2023-12-17,2024-01-31,0.0,PAGADA
AP_00062,SUP_0004,FC_00062,2023-10-14,2023-12-13,0.0,PAGADA
AP_00063,SUP_0001,FC_00063,2024-10-27,2024-12-11,0.0,PAGADA
AP_00064,SUP_0002,FC_00064,2024-11-27,2025-01-11,0.0,PAGADA
AP_00065,SUP_0003,FC_00065,2024-12-10,2025-01-24,0.0,PAGADA
AP_00066,SUP_0003,FC_00066,2024-12-16,2025-01-30,0.0,PAGADA
AP_00067,SUP_0004,FC_00067,2024-10-23,2024-12-22,512.7,PARCIAL
AP_00068,SUP_0001,FC_00068,2024-08-13,2024-09-27,0.0,PAGADA
AP_00069,SUP_0002,FC_00069,2024-10-27,2024-12-11,0.0,PAGADA
AP_00070,SUP_0002,FC_00070,2024-10-16,2024-11-30,4134.79,PARCIAL
AP_00071,SUP_0009,FC_00071,2024-11-23,2025-01-07,0.0,PAGADA
AP_00072,SUP_0009,FC_00072,2024-11-16,2024-12-31,0.0,PAGADA
AP_00073,SUP_0004,FC_00073,2024-08-28,2024-10-27,1344.8,PARCIAL
AP_00074,SUP_0008,FC_00074,2024-08-23,2024-10-07,652.75,PARCIAL
AP_00075,SUP_0002,FC_00075,2024-11-02,2024-12-17,0.0,PAGADA
AP_00076,SUP_0002,FC_00076,2024-10-26,2024-12-10,439.88,PARCIAL
AP_00077,SUP_0009,FC_00077,2024-11-14,2024-12-29,0.0,PAGADA
AP_00078,SUP_0009,FC_00078,2024-11-16,2024-12-31,0.0,PAGADA
AP_00079,SUP_0004,FC_00079,2024-08-08,2024-10-07,146.06,PARCIAL
AP_00080,SUP_0008,FC_00080,2025-05-30,2025-07-14,6136.83,PARCIAL
AP_00081,SUP_0002,FC_00081,2024-07-20,2024-09-03,0.0,PAGADA
AP_00082,SUP_0002,FC_00082,2024-07-18,2024-09-01,2508.48,PARCIAL
AP_00083,SUP_0003,FC_00083,2024-08-26,2024-10-10,0.0,PAGADA
AP_00084,SUP_0004,FC_00084,2025-05-30,2025-07-29,2436.45,PARCIAL
AP_00085,SUP_0001,FC_00085,2024-08-19,2024-10-03,0.0,PAGADA
AP_00086,SUP_0002,FC_00086,2024-10-09,2024-11-23,839.96,PARCIAL
AP_00087,SUP_0002,FC_00087,2024-10-11,2024-11-25,0.0,PAGADA
AP_00088,SUP_0003,FC_00088,2024-12-02,2025-01-16,0.0,PAGADA
AP_00089,SUP_0003,FC_00089,2024-11-07,2024-12-22,0.0,PAGADA
AP_00090,SUP_0004,FC_00090,2024-08-19,2024-10-18,0.0,PAGADA
AP_00091,SUP_0008,FC_00091,2024-08-20,2024-10-04,0.0,PAGADA
AP_00092,SUP_0002,FC_00092,2024-10-11,2024-11-25,0.0,PAGADA
AP_00093,SUP_0002,FC_00093,2024-10-31,2024-12-15,1793.21,PARCIAL
AP_00094,SUP_0003,FC_00094,2024-11-10,2024-12-25,0.0,PAGADA
AP_00095,SUP_0003,FC_00095,2024-11-11,2024-12-26,0.0,PAGADA
AP_00096,SUP_0004,FC_00096,2024-08-26,2024-10-25,274.73,PARCIAL
AP_00097,SUP_0001,FC_00097,2024-10-09,2024-11-23,2568.04,PARCIAL
AP_00098,SUP_0002,FC_00098,2024-11-27,2025-01-11,0.0,PAGADA
AP_00099,SUP_0009,FC_00099,2024-12-25,2025-02-08,224.69,PARCIAL
AP_00100,SUP_0003,FC_00100,2024-12-30,2025-02-13,173.32,PARCIAL
AP_00101,SUP_0004,FC_00101,2024-10-13,2024-12-12,0.0,PAGADA
AP_00102,SUP_0008,FC_00102,2024-10-19,2024-12-03,0.0,PAGADA
AP_00103,SUP_0002,FC_00103,2024-11-07,2024-12-22,0.0,PAGADA
AP_00104,SUP_0009,FC_00104,2024-12-09,2025-01-23,0.0,PAGADA
AP_00105,SUP_0009,FC_00105,2024-12-26,2025-02-09,0.0,PAGADA
AP_00106,SUP_0004,FC_00106,2024-10-24,2024-12-23,0.0,PAGADA
AP_00107,SUP_0008,FC_00107,2025-05-22,2025-07-06,1210.88,PARCIAL
AP_00108,SUP_0002,FC_00108,2024-07-30,2024-09-13,0.0,PAGADA
AP_00109,SUP_0002,FC_00109,2024-07-25,2024-09-08,0.0,PAGADA
AP_00110,SUP_0003,FC_00110,2024-08-11,2024-09-25,451.11,PARCIAL
AP_00111,SUP_0004,FC_00111,2025-05-30,2025-07-29,1618.43,PARCIAL
AP_00112,SUP_0001,FC_00112,2024-08-13,2024-09-27,0.0,PAGADA
AP_00113,SUP_0002,FC_00113,2024-10-17,2024-12-01,2159.27,PARCIAL
AP_00114,SUP_0002,FC_00114,2024-10-25,2024-12-09,0.0,PAGADA
AP_00115,SUP_0003,FC_00115,2024-11-23,2025-01-07,489.87,PARCIAL
AP_00116,SUP_0009,FC_00116,2024-11-27,2025-01-11,0.0,PAGADA
AP_00117,SUP_0004,FC_00117,2024-08-29,2024-10-28,0.0,PAGADA
AP_00118,SUP_0008,FC_00118,2024-10-24,2024-12-08,0.0,PAGADA
AP_00119,SUP_0002,FC_00119,2024-11-21,2025-01-05,0.0,PAGADA
AP_00120,SUP_0009,FC_00120,2025-01-01,2025-02-15,0.0,PAGADA
AP_00121,SUP_0003,FC_00121,2024-12-30,2025-02-13,0.0,PAGADA
AP_00122,SUP_0004,FC_00122,2024-10-16,2024-12-15,0.0,PAGADA
AP_00123,SUP_0001,FC_00123,2024-08-26,2024-10-10,4238.37,PARCIAL
AP_00124,SUP_0002,FC_00124,2024-10-23,2024-12-07,2441.07,PARCIAL
AP_00125,SUP_0002,FC_00125,2024-10-29,2024-12-13,0.0,PAGADA
AP_00126,SUP_0003,FC_00126,2024-11-13,2024-12-28,248.75,PARCIAL
AP_00127,SUP_0003,FC_00127,2024-11-13,2024-12-28,0.0,PAGADA
AP_00128,SUP_0004,FC_00128,2024-08-24,2024-10-23,0.0,PAGADA
AP_00129,SUP_0005,FC_00129,2023-08-19,2023-09-18,0.0,PAGADA
AP_00130,SUP_0005,FC_00130,2023-08-30,2023-09-29,0.0,PAGADA
AP_00131,SUP_0010,FC_00131,2023-08-26,2023-09-25,0.0,PAGADA
AP_00132,SUP_0005,FC_00132,2024-08-31,2024-09-30,0.0,PAGADA
AP_00133,SUP_0005,FC_00133,2024-08-15,2024-09-14,0.0,PAGADA
AP_00134,SUP_0005,FC_00134,2024-08-14,2024-09-13,0.0,PAGADA
AP_00135,SUP_0004,FC_00135,2025-07-10,2025-09-08,339.8,PARCIAL
AP_00136,SUP_0007,FC_00136,2025-07-12,2025-08-26,0.0,PAGADA
AP_00137,SUP_0004,FC_00137,2025-08-26,2025-10-25,868.2,PARCIAL
AP_00138,SUP_0007,FC_00138,2025-08-29,2025-10-13,464.83,PARCIAL
AP_00139,SUP_0010,FC_00139,2025-09-05,2025-10-05,301.31,PARCIAL
AP_00140,SUP_0005,FC_00140,2025-09-02,2025-10-02,58.88,PARCIAL
AP_00141,SUP_0004,FC_00141,2025-09-18,2025-11-17,281.85,PARCIAL
AP_00142,SUP_0006,FC_00142,2025-09-21,2025-11-05,677.07,PARCIAL
AP_00143,SUP_0004,FC_00143,2025-10-10,2025-12-09,3812.23,PARCIAL
AP_00144,SUP_0006,FC_00144,2025-10-13,2025-11-27,0.0,PAGADA
AP_00145,SUP_0010,FC_00145,2025-10-12,2025-11-11,107.62,PARCIAL
AP_00146,SUP_0005,FC_00146,2025-10-11,2025-11-10,625.44,PARCIAL
AP_00147,SUP_0004,FC_00147,2025-11-14,2026-01-13,0.0,PAGADA
AP_00148,SUP_0007,FC_00148,2025-11-14,2025-12-29,249.89,PARCIAL
