orden_trabajo_id,activo_id,work_type,order_date,close_date,labor_hours,internal_labor_cost,status
MOT_00036,ACT_0002,PREVENTIVO,2023-11-02,2023-11-04,7.89,202.82,CERRADA
MOT_00037,ACT_0002,PREVENTIVO,2023-12-08,2023-12-10,7.92,178.44,CERRADA
MOT_00038,ACT_0002,PREVENTIVO,2024-01-12,2024-01-14,3.22,82.88,CERRADA
MOT_00039,ACT_0002,PREVENTIVO,2024-02-06,2024-02-07,4.3,118.63,CERRADA
MOT_00040,ACT_0002,PREVENTIVO,2024-03-02,2024-03-05,7.98,193.71,CERRADA
MOT_00041,ACT_0002,PREVENTIVO,2024-04-08,2024-04-10,7.81,174.52,CERRADA
MOT_00042,ACT_0002,PREVENTIVO,2024-05-12,2024-05-15,5.41,141.88,CERRADA
MOT_00043,ACT_0002,PREVENTIVO,2024-06-02,2024-06-03,5.2,135.41,CERRADA
MOT_00044,ACT_0002,PREVENTIVO,2024-07-06,2024-07-07,2.93,68.75,CERRADA
MOT_00045,ACT_0002,PREVENTIVO,2024-08-11,2024-08-14,2.21,58.02,CERRADA
MOT_00046,ACT_0002,PREVENTIVO,2024-09-12,2024-09-13,2.04,46.85,CERRADA
MOT_00047,ACT_0002,PREVENTIVO,2024-10-09,2024-10-10,2.36,60.27,CERRADA
MOT_00048,ACT_0002,PREVENTIVO,2024-11-09,2024-11-11,5.53,133.78,CERRADA
MOT_00049,ACT_0002,PREVENTIVO,2024-12-09,2024-12-12,5.57,129.48,CERRADA
MOT_00050,ACT_0002,PREVENTIVO,2025-01-07,2025-01-10,7.29,189.55,CERRADA
MOT_00051,ACT_0002,PREVENTIVO,2025-02-06,2025-02-09,3.93,88.49,CERRADA
MOT_00052,ACT_0002,PREVENTIVO,2025-03-03,2025-03-06,2.07,57.79,CERRADA
MOT_00053,ACT_0002,PREVENTIVO,2025-04-03,2025-04-05,6.89,158.55,CERRADA
MOT_00054,ACT_0002,PREVENTIVO,2025-05-04,2025-05-06,4.51,108.0,CERRADA
MOT_00055,ACT_0002,PREVENTIVO,2025-06-10,2025-06-13,7.75,211.2,CERRADA
MOT_00056,ACT_0002,PREVENTIVO,2025-07-02,2025-07-04,6.66,152.43,CERRADA
MOT_00057,ACT_0002,PREVENTIVO,2025-08-11,2025-08-14,5.11,122.73,CERRADA
MOT_00058,ACT_0002,PREVENTIVO,2025-09-02,2025-09-05,2.07,48.62,CERRADA
MOT_00059,ACT_0002,PREVENTIVO,2025-10-11,2025-10-14,6.78,188.61,CERRADA
MOT_00060,ACT_0002,PREVENTIVO,2025-11-02,2025-11-05,5.55,130.66,CERRADA
MOT_00061,ACT_0002,PREVENTIVO,2025-12-07,2025-12-08,3.92,92.91,CERRADA
MOT_00062,ACT_0002,CORRECTIVO,2025-12-24,2025-12-25,7.63,197.65,CERRADA
MOT_00063,ACT_0002,CORRECTIVO,2025-10-31,2025-11-03,11.83,306.67,CERRADA
MOT_00064,ACT_0003,PREVENTIVO,2023-07-03,2023-07-05,3.67,82.93,CERRADA
MOT_00065,ACT_0003,PREVENTIVO,2023-08-09,2023-08-11,2.4,56.27,CERRADA
MOT_00066,ACT_0003,PREVENTIVO,2023-09-06,2023-09-07,5.29,121.47,CERRADA
MOT_00067,ACT_0003,PREVENTIVO,2023-10-03,2023-10-05,6.75,181.79,CERRADA
MOT_00068,ACT_0003,PREVENTIVO,2023-11-02,2023-11-03,5.29,134.25,CERRADA
MOT_00069,ACT_0003,PREVENTIVO,2023-12-01,2023-12-03,5.93,137.93,CERRADA
MOT_00070,ACT_0003,PREVENTIVO,2024-01-11,2024-01-14,2.59,69.87,CERRADA
MOT_00071,ACT_0003,PREVENTIVO,2024-02-08,2024-02-10,3.47,91.86,CERRADA
MOT_00072,ACT_0003,PREVENTIVO,2024-03-01,2024-03-02,6.65,169.84,CERRADA
MOT_00073,ACT_0003,PREVENTIVO,2024-04-07,2024-04-08,2.48,65.73,CERRADA
MOT_00074,ACT_0003,PREVENTIVO,2024-05-04,2024-05-05,7.34,195.04,CERRADA
MOT_00075,ACT_0003,PREVENTIVO,2024-06-06,2024-06-09,3.67,96.35,CERRADA
MOT_00076,ACT_0003,PREVENTIVO,2024-07-10,2024-07-13,2.55,61.09,CERRADA
MOT_00077,ACT_0003,PREVENTIVO,2024-08-06,2024-08-07,4.36,115.34,CERRADA
MOT_00078,ACT_0003,PREVENTIVO,2024-09-08,2024-09-10,5.42,129.46,CERRADA
MOT_00079,ACT_0003,PREVENTIVO,2024-10-05,2024-10-06,3.6,97.77,CERRADA
MOT_00080,ACT_0003,PREVENTIVO,2024-11-01,2024-11-03,4.27,114.18,CERRADA
MOT_00081,ACT_0003,PREVENTIVO,2024-12-05,2024-12-06,3.52,82.3,CERRADA
MOT_00082,ACT_0003,PREVENTIVO,2025-01-02,2025-01-05,6.24,160.41,CERRADA
MOT_00083,ACT_0003,PREVENTIVO,2025-02-11,2025-02-12,3.11,80.28,CERRADA
MOT_00084,ACT_0003,PREVENTIVO,2025-03-11,2025-03-13,7.55,200.74,CERRADA
MOT_00085,ACT_0003,PREVENTIVO,2025-04-06,2025-04-08,6.5,181.04,CERRADA
MOT_00086,ACT_0003,PREVENTIVO,2025-05-03,2025-05-05,5.86,161.22,CERRADA
MOT_00087,ACT_0003,PREVENTIVO,2025-06-10,2025-06-11,7.32,165.32,CERRADA
MOT_00088,ACT_0003,PREVENTIVO,2025-07-10,2025-07-12,6.7,172.11,CERRADA
MOT_00089,ACT_0003,PREVENTIVO,2025-08-11,2025-08-13,5.7,130.59,CERRADA
MOT_00090,ACT_0003,PREVENTIVO,2025-09-11,2025-09-12,3.62,92.62,CERRADA
MOT_00091,ACT_0003,PREVENTIVO,2025-10-10,2025-10-12,3.47,94.72,CERRADA
MOT_00092,ACT_0003,PREVENTIVO,2025-11-04,2025-11-06,4.68,114.46,CERRADA
MOT_00093,ACT_0003,PREVENTIVO,2025-12-08,2025-12-09,6.39,157.77,CERRADA
MOT_00094,ACT_0003,CORRECTIVO,2023-08-29,2023-08-31,13.57,364.96,CERRADA
MOT_00095,ACT_0004,PREVENTIVO,2023-07-08,2023-07-10,5.67,145.45,CERRADA
MOT_00096,ACT_0004,PREVENTIVO,2023-08-10,2023-08-11,3.33,75.54,CERRADA
MOT_00097,ACT_0004,PREVENTIVO,2023-09-03,2023-09-05,6.69,177.72,CERRADA
MOT_00098,ACT_0004,PREVENTIVO,2023-10-07,2023-10-08,3.23,79.85,CERRADA
MOT_00099,ACT_0004,PREVENTIVO,2023-11-09,2023-11-11,7.51,204.64,CERRADA
MOT_00100,ACT_0004,PREVENTIVO,2023-12-03,2023-12-06,7.1,197.29,CERRADA
MOT_00101,ACT_0004,PREVENTIVO,2024-01-02,2024-01-04,2.28,51.3,CERRADA
MOT_00102,ACT_0004,PREVENTIVO,2024-02-04,2024-02-06,3.55,81.72,CERRADA
MOT_00103,ACT_0004,PREVENTIVO,2024-03-12,2024-03-15,3.17,87.99,CERRADA
MOT_00104,ACT_0004,PREVENTIVO,2024-04-09,2024-04-12,5.85,152.43,CERRADA
MOT_00105,ACT_0004,PREVENTIVO,2024-05-07,2024-05-08,5.88,135.95,CERRADA
MOT_00106,ACT_0004,PREVENTIVO,2024-06-01,2024-06-04,3.81,89.65,CERRADA
MOT_00107,ACT_0004,PREVENTIVO,2024-07-05,2024-07-08,5.94,146.76,CERRADA
MOT_00108,ACT_0004,PREVENTIVO,2024-08-06,2024-08-08,2.96,77.08,CERRADA
MOT_00109,ACT_0004,PREVENTIVO,2024-09-10,2024-09-11,3.64,83.62,CERRADA
MOT_00110,ACT_0004,PREVENTIVO,2024-10-12,2024-10-13,3.99,98.65,CERRADA
MOT_00111,ACT_0004,PREVENTIVO,2024-11-01,2024-11-02,3.16,79.79,CERRADA
MOT_00112,ACT_0004,PREVENTIVO,2024-12-04,2024-12-05,6.13,169.58,CERRADA
MOT_00113,ACT_0004,PREVENTIVO,2025-01-02,2025-01-04,7.41,167.39,CERRADA
MOT_00114,ACT_0004,PREVENTIVO,2025-02-09,2025-02-10,6.33,168.16,CERRADA
MOT_00115,ACT_0004,PREVENTIVO,2025-03-07,2025-03-10,2.34,62.39,CERRADA
MOT_00116,ACT_0004,PREVENTIVO,2025-04-01,2025-04-03,3.82,88.01,CERRADA
MOT_00117,ACT_0004,PREVENTIVO,2025-05-06,2025-05-09,2.38,64.17,CERRADA
MOT_00118,ACT_0004,PREVENTIVO,2025-06-05,2025-06-07,6.41,168.39,CERRADA
MOT_00119,ACT_0004,PREVENTIVO,2025-07-02,2025-07-05,3.1,68.22,CERRADA
MOT_00120,ACT_0004,PREVENTIVO,2025-08-02,2025-08-04,4.12,93.7,CERRADA
MOT_00121,ACT_0004,PREVENTIVO,2025-09-05,2025-09-06,3.99,89.46,CERRADA
MOT_00122,ACT_0004,PREVENTIVO,2025-10-11,2025-10-12,7.5,179.04,CERRADA
MOT_00123,ACT_0004,PREVENTIVO,2025-11-10,2025-11-13,7.79,178.04,CERRADA
MOT_00124,ACT_0004,PREVENTIVO,2025-12-01,2025-12-04,5.6,146.41,CERRADA
MOT_00125,ACT_0004,CORRECTIVO,2023-11-06,2023-11-09,4.26,95.68,CERRADA
MOT_00126,ACT_0005,PREVENTIVO,2023-07-03,2023-07-06,7.91,206.2,CERRADA
MOT_00127,ACT_0005,PREVENTIVO,2023-08-05,2023-08-06,7.2,174.15,CERRADA
MOT_00128,ACT_0005,PREVENTIVO,2023-09-09,2023-09-10,5.04,139.22,CERRADA
MOT_00129,ACT_0005,PREVENTIVO,2023-10-10,2023-10-11,4.95,114.06,CERRADA
MOT_00130,ACT_0005,PREVENTIVO,2023-11-01,2023-11-02,2.48,65.38,CERRADA
MOT_00131,ACT_0005,PREVENTIVO,2023-12-02,2023-12-05,2.86,67.87,CERRADA
MOT_00132,ACT_0005,PREVENTIVO,2024-01-04,2024-01-05,2.16,54.69,CERRADA
MOT_00133,ACT_0005,PREVENTIVO,2024-02-06,2024-02-09,5.89,143.29,CERRADA
MOT_00134,ACT_0005,PREVENTIVO,2024-03-04,2024-03-06,2.56,58.69,CERRADA
MOT_00135,ACT_0005,PREVENTIVO,2024-04-07,2024-04-10,6.57,180.91,CERRADA
MOT_00136,ACT_0005,PREVENTIVO,2024-05-10,2024-05-13,5.9,162.66,CERRADA
MOT_00137,ACT_0005,PREVENTIVO,2024-06-11,2024-06-13,2.02,45.2,CERRADA
MOT_00138,ACT_0005,PREVENTIVO,2024-07-03,2024-07-04,2.57,61.96,CERRADA
MOT_00139,ACT_0005,PREVENTIVO,2024-08-03,2024-08-06,6.74,172.15,CERRADA
MOT_00140,ACT_0005,PREVENTIVO,2024-09-09,2024-09-10,6.49,156.6,CERRADA
MOT_00141,ACT_0005,PREVENTIVO,2024-10-08,2024-10-09,3.68,88.26,CERRADA
MOT_00142,ACT_0005,PREVENTIVO,2024-11-11,2024-11-12,6.87,182.46,CERRADA
MOT_00143,ACT_0005,PREVENTIVO,2024-12-04,2024-12-07,2.83,75.98,CERRADA
MOT_00144,ACT_0005,PREVENTIVO,2025-01-12,2025-01-15,3.17,82.07,CERRADA
MOT_00145,ACT_0005,PREVENTIVO,2025-02-05,2025-02-07,4.64,105.2,CERRADA
MOT_00146,ACT_0005,PREVENTIVO,2025-03-02,2025-03-04,2.6,59.76,CERRADA
MOT_00147,ACT_0005,PREVENTIVO,2025-04-01,2025-04-02,7.72,183.03,CERRADA
MOT_00148,ACT_0005,PREVENTIVO,2025-05-03,2025-05-05,3.93,107.64,CERRADA
MOT_00149,ACT_0005,PREVENTIVO,2025-06-12,2025-06-14,7.51,178.73,CERRADA
MOT_00150,ACT_0005,PREVENTIVO,2025-07-02,2025-07-03,5.34,128.55,CERRADA
MOT_00151,ACT_0005,PREVENTIVO,2025-08-04,2025-08-07,7.28,180.8,CERRADA
MOT_00152,ACT_0005,PREVENTIVO,2025-09-02,2025-09-05,5.32,125.69,CERRADA
MOT_00153,ACT_0005,PREVENTIVO,2025-10-12,2025-10-14,2.22,59.55,CERRADA
MOT_00154,ACT_0005,PREVENTIVO,2025-11-02,2025-11-03,3.85,97.76,CERRADA
MOT_00155,ACT_0005,PREVENTIVO,2025-12-03,2025-12-04,2.48,64.92,CERRADA
MOT_00156,ACT_0005,CORRECTIVO,2023-10-16,2023-10-17,7.72,185.53,CERRADA
MOT_00157,ACT_0006,PREVENTIVO,2023-07-05,2023-07-08,2.84,78.83,CERRADA
MOT_00158,ACT_0006,PREVENTIVO,2023-09-04,2023-09-06,5.85,153.62,CERRADA
MOT_00159,ACT_0006,PREVENTIVO,2023-11-07,2023-11-10,6.92,172.31,CERRADA
MOT_00160,ACT_0006,PREVENTIVO,2024-01-05,2024-01-07,3.94,89.17,CERRADA
MOT_00161,ACT_0006,PREVENTIVO,2024-03-08,2024-03-10,2.2,52.04,CERRADA
MOT_00162,ACT_0006,PREVENTIVO,2024-05-02,2024-05-03,3.14,81.11,CERRADA
MOT_00163,ACT_0006,PREVENTIVO,2024-07-01,2024-07-03,4.53,102.11,CERRADA
MOT_00164,ACT_0006,PREVENTIVO,2024-09-02,2024-09-04,4.12,108.45,CERRADA
MOT_00165,ACT_0006,PREVENTIVO,2024-11-09,2024-11-11,4.95,123.36,CERRADA
MOT_00166,ACT_0006,PREVENTIVO,2025-01-01,2025-01-04,6.54,163.38,CERRADA
MOT_00167,ACT_0006,PREVENTIVO,2025-03-11,2025-03-13,2.16,59.73,CERRADA
MOT_00168,ACT_0006,PREVENTIVO,2025-05-06,2025-05-07,3.54,99.11,CERRADA
MOT_00169,ACT_0006,PREVENTIVO,2025-07-02,2025-07-05,2.28,51.01,CERRADA
MOT_00170,ACT_0006,PREVENTIVO,2025-09-03,2025-09-04,5.6,125.6,CERRADA
MOT_00171,ACT_0006,PREVENTIVO,2025-11-02,2025-11-05,7.62,192.61,CERRADA
MOT_00172,ACT_0006,CORRECTIVO,2025-01-31,2025-02-01,5.5,123.11,CERRADA
MOT_00173,ACT_0006,CORRECTIVO,2025-07-02,2025-07-03,2.15,52.9,CERRADA
MOT_00174,ACT_0006,CORRECTIVO,2025-07-11,2025-07-12,12.16,297.18,CERRADA
MOT_00175,ACT_0007,PREVENTIVO,2023-07-01,2023-07-04,3.65,80.87,CERRADA
MOT_00176,ACT_0007,PREVENTIVO,2023-08-01,2023-08-02,4.2,101.25,CERRADA
MOT_00177,ACT_0007,PREVENTIVO,2023-09-05,2023-09-07,7.3,173.4,CERRADA
MOT_00178,ACT_0007,PREVENTIVO,2023-10-11,2023-10-13,4.04,108.8,CERRADA
MOT_00179,ACT_0007,PREVENTIVO,2023-11-05,2023-11-06,2.62,65.55,CERRADA
MOT_00180,ACT_0007,PREVENTIVO,2023-12-06,2023-12-09,6.77,172.89,CERRADA
MOT_00181,ACT_0007,PREVENTIVO,2024-01-11,2024-01-14,4.36,96.78,CERRADA
MOT_00182,ACT_0007,PREVENTIVO,2024-02-07,2024-02-08,2.23,53.46,CERRADA
MOT_00183,ACT_0007,PREVENTIVO,2024-03-03,2024-03-05,4.14,105.01,CERRADA
MOT_00184,ACT_0007,PREVENTIVO,2024-04-12,2024-04-14,6.07,157.83,CERRADA
MOT_00185,ACT_0007,PREVENTIVO,2024-05-11,2024-05-12,4.08,104.08,CERRADA
MOT_00186,ACT_0007,PREVENTIVO,2024-06-11,2024-06-13,3.89,93.29,CERRADA
MOT_00187,ACT_0007,PREVENTIVO,2024-07-08,2024-07-11,5.88,134.12,CERRADA
MOT_00188,ACT_0007,PREVENTIVO,2024-08-05,2024-08-07,7.36,163.52,CERRADA
MOT_00189,ACT_0007,PREVENTIVO,2024-09-11,2024-09-14,2.98,74.63,CERRADA
MOT_00190,ACT_0007,PREVENTIVO,2024-10-09,2024-10-11,2.06,56.63,CERRADA
MOT_00191,ACT_0007,PREVENTIVO,2024-11-07,2024-11-09,7.73,183.36,CERRADA
MOT_00192,ACT_0007,PREVENTIVO,2024-12-02,2024-12-05,7.53,190.82,CERRADA
MOT_00193,ACT_0007,PREVENTIVO,2025-01-07,2025-01-08,6.11,154.55,CERRADA
MOT_00194,ACT_0007,PREVENTIVO,2025-02-12,2025-02-15,4.64,109.56,CERRADA
MOT_00195,ACT_0007,PREVENTIVO,2025-03-11,2025-03-12,6.19,172.36,CERRADA
MOT_00196,ACT_0007,PREVENTIVO,2025-04-08,2025-04-09,6.44,177.5,CERRADA
MOT_00197,ACT_0007,PREVENTIVO,2025-05-11,2025-05-12,2.66,69.56,CERRADA
MOT_00198,ACT_0007,PREVENTIVO,2025-06-06,2025-06-08,2.41,65.09,CERRADA
MOT_00199,ACT_0007,PREVENTIVO,2025-07-06,2025-07-08,7.44,202.87,CERRADA
MOT_00200,ACT_0007,PREVENTIVO,2025-08-10,2025-08-13,5.1,119.9,CERRADA
MOT_00201,ACT_0007,PREVENTIVO,2025-09-11,2025-09-13,2.6,67.48,CERRADA
MOT_00202,ACT_0007,PREVENTIVO,2025-10-12,2025-10-13,5.07,113.19,CERRADA
MOT_00203,ACT_0007,PREVENTIVO,2025-11-06,2025-11-07,3.39,87.19,CERRADA
MOT_00204,ACT_0007,PREVENTIVO,2025-12-01,2025-12-04,2.34,63.42,CERRADA
MOT_00205,ACT_0007,CORRECTIVO,2025-09-01,2025-09-02,6.11,158.58,CERRADA
MOT_00206,ACT_0008,PREVENTIVO,2023-07-09,2023-07-10,7.27,200.26,CERRADA
MOT_00207,ACT_0008,PREVENTIVO,2023-08-06,2023-08-09,5.38,136.36,CERRADA
MOT_00208,ACT_0008,PREVENTIVO,2023-09-11,2023-09-14,3.49,78.37,CERRADA
MOT_00209,ACT_0008,PREVENTIVO,2023-10-02,2023-10-04,3.97,95.02,CERRADA
MOT_00210,ACT_0008,PREVENTIVO,2023-11-06,2023-11-07,5.58,131.6,CERRADA
MOT_00211,ACT_0008,PREVENTIVO,2023-12-10,2023-12-11,2.24,54.18,CERRADA
MOT_00212,ACT_0008,PREVENTIVO,2024-01-02,2024-01-05,4.02,104.82,CERRADA
MOT_00213,ACT_0008,PREVENTIVO,2024-02-09,2024-02-12,3.97,106.91,CERRADA
MOT_00214,ACT_0008,PREVENTIVO,2024-03-01,2024-03-04,5.36,117.95,CERRADA
MOT_00215,ACT_0008,PREVENTIVO,2024-04-01,2024-04-02,7.95,212.21,CERRADA
MOT_00216,ACT_0008,PREVENTIVO,2024-05-04,2024-05-07,7.41,163.93,CERRADA
MOT_00217,ACT_0008,PREVENTIVO,2024-06-01,2024-06-04,4.71,125.93,CERRADA
MOT_00218,ACT_0008,PREVENTIVO,2024-07-05,2024-07-06,3.73,98.87,CERRADA
MOT_00219,ACT_0008,PREVENTIVO,2024-08-02,2024-08-05,5.72,136.18,CERRADA
MOT_00220,ACT_0008,PREVENTIVO,2024-09-06,2024-09-07,7.8,192.16,CERRADA
MOT_00221,ACT_0008,PREVENTIVO,2024-10-07,2024-10-09,5.31,129.87,CERRADA
MOT_00222,ACT_0008,PREVENTIVO,2024-11-05,2024-11-07,4.59,123.75,CERRADA
MOT_00223,ACT_0008,PREVENTIVO,2024-12-06,2024-12-09,7.59,192.68,CERRADA
MOT_00224,ACT_0008,PREVENTIVO,2025-01-04,2025-01-06,6.23,168.4,CERRADA
MOT_00225,ACT_0008,PREVENTIVO,2025-02-11,2025-02-13,6.2,164.29,CERRADA
MOT_00226,ACT_0008,PREVENTIVO,2025-03-03,2025-03-06,6.48,150.67,CERRADA
MOT_00227,ACT_0008,PREVENTIVO,2025-04-08,2025-04-10,5.53,121.74,CERRADA
MOT_00228,ACT_0008,PREVENTIVO,2025-05-12,2025-05-15,5.66,128.91,CERRADA
MOT_00229,ACT_0008,PREVENTIVO,2025-06-07,2025-06-10,6.3,167.26,CERRADA
MOT_00230,ACT_0008,PREVENTIVO,2025-07-05,2025-07-07,7.13,174.57,CERRADA
MOT_00231,ACT_0008,PREVENTIVO,2025-08-12,2025-08-14,2.0,51.74,CERRADA
MOT_00232,ACT_0008,PREVENTIVO,2025-09-12,2025-09-15,5.4,134.89,CERRADA
MOT_00233,ACT_0008,PREVENTIVO,2025-10-06,2025-10-09,6.09,144.14,CERRADA
MOT_00234,ACT_0008,PREVENTIVO,2025-11-07,2025-11-10,6.24,174.27,CERRADA
MOT_00235,ACT_0008,PREVENTIVO,2025-12-03,2025-12-06,7.51,199.26,CERRADA
MOT_00236,ACT_0008,CORRECTIVO,2025-01-25,2025-01-28,4.07,102.81,CERRADA
MOT_00237,ACT_0008,CORRECTIVO,2025-08-15,2025-08-16,6.57,164.49,CERRADA
MOT_00238,ACT_0008,CORRECTIVO,2023-11-17,2023-11-19,12.05,300.12,CERRADA
