orden_compra_id,empresa_id,proveedor_id,order_date,currency_code,status
OC_00045,EMP_0001,SUP_0009,2023-11-03,USD,RECIBIDA
OC_00046,EMP_0001,SUP_0003,2023-11-17,USD,RECIBIDA
OC_00047,EMP_0001,SUP_0004,2023-08-19,USD,RECIBIDA
OC_00048,EMP_0001,SUP_0008,2023-10-09,USD,RECIBIDA
OC_00049,EMP_0001,SUP_0002,2023-11-24,USD,RECIBIDA
OC_00050,EMP_0001,SUP_0009,2023-12-15,USD,RECIBIDA
OC_00051,EMP_0001,SUP_0003,2023-12-05,USD,RECIBIDA
OC_00052,EMP_0001,SUP_0004,2023-10-15,USD,RECIBIDA
OC_00053,EMP_0001,SUP_0001,2023-10-09,USD,RECIBIDA
OC_00054,EMP_0001,SUP_0002,2023-11-09,USD,RECIBIDA
OC_00055,EMP_0001,SUP_0003,2023-12-14,USD,RECIBIDA
OC_00056,EMP_0001,SUP_0009,2023-12-14,USD,RECIBIDA
OC_00057,EMP_0001,SUP_0004,2023-10-24,USD,RECIBIDA
OC_00058,EMP_0001,SUP_0008,2023-10-03,USD,RECIBIDA
OC_00059,EMP_0001,SUP_0002,2023-11-06,USD,RECIBIDA
OC_00060,EMP_0001,SUP_0009,2023-12-24,USD,RECIBIDA
OC_00061,EMP_0001,SUP_0003,2023-12-09,USD,RECIBIDA
OC_00062,EMP_0001,SUP_0004,2023-10-04,USD,RECIBIDA
OC_00063,EMP_0001,SUP_0001,2024-10-18,USD,RECIBIDA
OC_00064,EMP_0001,SUP_0002,2024-11-19,USD,RECIBIDA
OC_00065,EMP_0001,SUP_0003,2024-12-04,USD,RECIBIDA
OC_00066,EMP_0001,SUP_0003,2024-12-07,USD,RECIBIDA
OC_00067,EMP_0001,SUP_0004,2024-10-18,USD,RECIBIDA
OC_00068,EMP_0001,SUP_0001,2024-08-05,USD,RECIBIDA
OC_00069,EMP_0001,SUP_0002,2024-10-23,USD,RECIBIDA
OC_00070,EMP_0001,SUP_0002,2024-10-09,USD,RECIBIDA
OC_00071,EMP_0001,SUP_0009,2024-11-16,USD,RECIBIDA
OC_00072,EMP_0001,SUP_0009,2024-11-12,USD,RECIBIDA
OC_00073,EMP_0001,SUP_0004,2024-08-21,USD,RECIBIDA
OC_00074,EMP_0001,SUP_0008,2024-08-15,USD,RECIBIDA
OC_00075,EMP_0001,SUP_0002,2024-10-23,USD,RECIBIDA
OC_00076,EMP_0001,SUP_0002,2024-10-19,USD,RECIBIDA
OC_00077,EMP_0001,SUP_0009,2024-11-08,USD,RECIBIDA
OC_00078,EMP_0001,SUP_0009,2024-11-11,USD,RECIBIDA
OC_00079,EMP_0001,SUP_0004,2024-08-05,USD,RECIBIDA
OC_00080,EMP_0001,SUP_0008,2025-05-24,USD,RECIBIDA
OC_00081,EMP_0001,SUP_0002,2024-07-12,USD,RECIBIDA
OC_00082,EMP_0001,SUP_0002,2024-07-09,USD,RECIBIDA
OC_00083,EMP_0001,SUP_0003,2024-08-18,USD,RECIBIDA
OC_00084,EMP_0001,SUP_0004,2025-05-23,USD,RECIBIDA
OC_00085,EMP_0001,SUP_0001,2024-08-08,USD,RECIBIDA
OC_00086,EMP_0001,SUP_0002,2024-10-03,USD,RECIBIDA
OC_00087,EMP_0001,SUP_0002,2024-10-07,USD,RECIBIDA
OC_00088,EMP_0001,SUP_0003,2024-11-24,USD,RECIBIDA
OC_00089,EMP_0001,SUP_0003,2024-11-03,USD,RECIBIDA
OC_00090,EMP_0001,SUP_0004,2024-08-08,USD,RECIBIDA
OC_00091,EMP_0001,SUP_0008,2024-08-14,USD,RECIBIDA
OC_00092,EMP_0001,SUP_0002,2024-10-03,USD,RECIBIDA
OC_00093,EMP_0001,SUP_0002,2024-10-23,USD,RECIBIDA
OC_00094,EMP_0001,SUP_0003,2024-11-06,USD,RECIBIDA
OC_00095,EMP_0001,SUP_0003,2024-11-07,USD,RECIBIDA
OC_00096,EMP_0001,SUP_0004,2024-08-16,USD,RECIBIDA
OC_00097,EMP_0001,SUP_0001,2024-10-04,USD,RECIBIDA
OC_00098,EMP_0001,SUP_0002,2024-11-19,USD,RECIBIDA
OC_00099,EMP_0001,SUP_0009,2024-12-15,USD,RECIBIDA
OC_00100,EMP_0001,SUP_0003,2024-12-24,USD,RECIBIDA
OC_00101,EMP_0001,SUP_0004,2024-10-06,USD,RECIBIDA
OC_00102,EMP_0001,SUP_0008,2024-10-12,USD,RECIBIDA
OC_00103,EMP_0001,SUP_0002,2024-11-03,USD,RECIBIDA
OC_00104,EMP_0001,SUP_0009,2024-12-04,USD,RECIBIDA
OC_00105,EMP_0001,SUP_0009,2024-12-17,USD,RECIBIDA
OC_00106,EMP_0001,SUP_0004,2024-10-17,USD,RECIBIDA
OC_00107,EMP_0001,SUP_0008,2025-05-14,USD,RECIBIDA
OC_00108,EMP_0001,SUP_0002,2024-07-21,USD,RECIBIDA
OC_00109,EMP_0001,SUP_0002,2024-07-18,USD,RECIBIDA
OC_00110,EMP_0001,SUP_0003,2024-08-05,USD,RECIBIDA
OC_00111,EMP_0001,SUP_0004,2025-05-22,USD,RECIBIDA
OC_00112,EMP_0001,SUP_0001,2024-08-07,USD,RECIBIDA
OC_00113,EMP_0001,SUP_0002,2024-10-09,USD,RECIBIDA
OC_00114,EMP_0001,SUP_0002,2024-10-16,USD,RECIBIDA
OC_00115,EMP_0001,SUP_0003,2024-11-12,USD,RECIBIDA
OC_00116,EMP_0001,SUP_0009,2024-11-19,USD,RECIBIDA
OC_00117,EMP_0001,SUP_0004,2024-08-24,USD,RECIBIDA
OC_00118,EMP_0001,SUP_0008,2024-10-15,USD,RECIBIDA
OC_00119,EMP_0001,SUP_0002,2024-11-12,USD,RECIBIDA
OC_00120,EMP_0001,SUP_0009,2024-12-24,USD,RECIBIDA
OC_00121,EMP_0001,SUP_0003,2024-12-20,USD,RECIBIDA
OC_00122,EMP_0001,SUP_0004,2024-10-08,USD,RECIBIDA
OC_00123,EMP_0001,SUP_0001,2024-08-20,USD,RECIBIDA
OC_00124,EMP_0001,SUP_0002,2024-10-18,USD,RECIBIDA
OC_00125,EMP_0001,SUP_0002,2024-10-24,USD,RECIBIDA
OC_00126,EMP_0001,SUP_0003,2024-11-08,USD,RECIBIDA
OC_00127,EMP_0001,SUP_0003,2024-11-09,USD,RECIBIDA
OC_00128,EMP_0001,SUP_0004,2024-08-21,USD,RECIBIDA
OC_00129,EMP_0001,SUP_0005,2023-08-13,USD,RECIBIDA
OC_00130,EMP_0001,SUP_0005,2023-08-21,USD,RECIBIDA
OC_00131,EMP_0001,SUP_0010,2023-08-13,USD,RECIBIDA
OC_00132,EMP_0001,SUP_0005,2024-08-23,USD,RECIBIDA
OC_00133,EMP_0001,SUP_0005,2024-08-06,USD,RECIBIDA
OC_00134,EMP_0001,SUP_0005,2024-08-03,USD,RECIBIDA
OC_00135,EMP_0001,SUP_0004,2025-07-06,USD,RECIBIDA
OC_00136,EMP_0001,SUP_0007,2025-07-08,USD,RECIBIDA
OC_00137,EMP_0001,SUP_0004,2025-08-21,USD,RECIBIDA
OC_00138,EMP_0001,SUP_0007,2025-08-28,USD,RECIBIDA
OC_00139,EMP_0001,SUP_0010,2025-08-28,USD,RECIBIDA
OC_00140,EMP_0001,SUP_0005,2025-08-26,USD,RECIBIDA
OC_00141,EMP_0001,SUP_0004,2025-09-14,USD,RECIBIDA
OC_00142,EMP_0001,SUP_0006,2025-09-20,USD,RECIBIDA
OC_00143,EMP_0001,SUP_0004,2025-10-03,USD,RECIBIDA
OC_00144,EMP_0001,SUP_0006,2025-10-11,USD,RECIBIDA
OC_00145,EMP_0001,SUP_0010,2025-10-10,USD,RECIBIDA
OC_00146,EMP_0001,SUP_0005,2025-10-06,USD,RECIBIDA
OC_00147,EMP_0001,SUP_0004,2025-11-11,USD,RECIBIDA
OC_00148,EMP_0001,SUP_0007,2025-11-13,USD,RECIBIDA
