viaje_det_id,viaje_id,despacho_venta_id,quantity,cost_per_ton
VDE_00073,VIA_00073,DESP_00007,27.26,9.5
VDE_00074,VIA_00074,DESP_00007,27.26,9.39
VDE_00075,VIA_00075,DESP_00007,27.26,9.41
VDE_00076,VIA_00076,DESP_00007,27.26,13.55
VDE_00077,VIA_00077,DESP_00008,27.39,12.47
VDE_00078,VIA_00078,DESP_00008,27.39,12.51
VDE_00079,VIA_00079,DESP_00008,27.39,12.92
VDE_00080,VIA_00080,DESP_00008,27.39,10.9
VDE_00081,VIA_00081,DESP_00008,27.39,9.93
VDE_00082,VIA_00082,DESP_00008,27.39,10.43
VDE_00083,VIA_00083,DESP_00009,25.62,10.82
VDE_00084,VIA_00084,DESP_00009,25.62,13.71
VDE_00085,VIA_00085,DESP_00009,25.62,13.21
VDE_00086,VIA_00086,DESP_00009,25.62,10.19
VDE_00087,VIA_00087,DESP_00009,25.62,14.0
VDE_00088,VIA_00088,DESP_00009,25.62,12.13
VDE_00089,VIA_00089,DESP_00009,25.62,12.05
VDE_00090,VIA_00090,DESP_00009,25.62,12.36
VDE_00091,VIA_00091,DESP_00009,25.62,9.74
VDE_00092,VIA_00092,DESP_00009,25.62,12.71
VDE_00093,VIA_00093,DESP_00010,27.57,6.62
VDE_00094,VIA_00094,DESP_00010,27.57,5.72
VDE_00095,VIA_00095,DESP_00010,27.57,6.6
VDE_00096,VIA_00096,DESP_00010,27.57,6.09
VDE_00097,VIA_00097,DESP_00010,27.57,6.86
VDE_00098,VIA_00098,DESP_00010,27.57,6.68
VDE_00099,VIA_00099,DESP_00010,27.57,7.05
VDE_00100,VIA_00100,DESP_00011,26.54,12.31
VDE_00101,VIA_00101,DESP_00011,26.54,9.4
VDE_00102,VIA_00102,DESP_00011,26.54,11.65
VDE_00103,VIA_00103,DESP_00011,26.54,11.71
VDE_00104,VIA_00104,DESP_00011,26.54,14.29
VDE_00105,VIA_00105,DESP_00011,26.54,9.99
VDE_00106,VIA_00106,DESP_00011,26.54,9.52
VDE_00107,VIA_00107,DESP_00011,26.54,11.38
VDE_00108,VIA_00108,DESP_00011,26.54,13.03
VDE_00109,VIA_00109,DESP_00011,26.54,12.13
VDE_00110,VIA_00110,DESP_00011,26.54,14.18
VDE_00111,VIA_00111,DESP_00011,26.54,12.45
VDE_00112,VIA_00112,DESP_00011,26.54,12.53
VDE_00113,VIA_00113,DESP_00012,27.16,10.27
VDE_00114,VIA_00114,DESP_00012,27.16,11.75
VDE_00115,VIA_00115,DESP_00012,27.16,13.67
VDE_00116,VIA_00116,DESP_00012,27.16,10.23
VDE_00117,VIA_00117,DESP_00012,27.16,10.38
VDE_00118,VIA_00118,DESP_00012,27.16,12.2
VDE_00119,VIA_00119,DESP_00012,27.16,14.45
VDE_00120,VIA_00120,DESP_00012,27.16,12.51
VDE_00121,VIA_00121,DESP_00012,27.16,14.13
VDE_00122,VIA_00122,DESP_00012,27.16,11.91
VDE_00123,VIA_00123,DESP_00012,27.16,10.67
VDE_00124,VIA_00124,DESP_00012,27.16,14.42
VDE_00125,VIA_00125,DESP_00012,27.16,13.98
VDE_00126,VIA_00126,DESP_00012,27.16,10.48
VDE_00127,VIA_00127,DESP_00012,27.16,12.01
VDE_00128,VIA_00128,DESP_00012,27.16,11.78
VDE_00129,VIA_00129,DESP_00012,27.16,11.25
VDE_00130,VIA_00130,DESP_00012,27.16,10.83
VDE_00131,VIA_00131,DESP_00012,27.16,9.7
VDE_00132,VIA_00132,DESP_00012,27.16,13.68
VDE_00133,VIA_00133,DESP_00012,27.16,10.25
VDE_00134,VIA_00134,DESP_00012,27.16,12.05
VDE_00135,VIA_00135,DESP_00013,27.59,12.61
VDE_00136,VIA_00136,DESP_00013,27.59,9.36
VDE_00137,VIA_00137,DESP_00013,27.59,12.2
VDE_00138,VIA_00138,DESP_00013,27.59,13.67
VDE_00139,VIA_00139,DESP_00013,27.59,12.34
VDE_00140,VIA_00140,DESP_00013,27.59,11.44
VDE_00141,VIA_00141,DESP_00013,27.59,13.42
VDE_00142,VIA_00142,DESP_00013,27.59,9.06
VDE_00143,VIA_00143,DESP_00013,27.59,13.97
VDE_00144,VIA_00144,DESP_00013,27.59,9.83
VDE_00145,VIA_00145,DESP_00014,26.12,12.99
VDE_00146,VIA_00146,DESP_00014,26.12,14.24
VDE_00147,VIA_00147,DESP_00014,26.12,10.65
VDE_00148,VIA_00148,DESP_00014,26.12,10.98
VDE_00149,VIA_00149,DESP_00014,26.12,9.25
VDE_00150,VIA_00150,DESP_00014,26.12,12.91
VDE_00151,VIA_00151,DESP_00014,26.12,11.42
VDE_00152,VIA_00152,DESP_00014,26.12,12.36
VDE_00153,VIA_00153,DESP_00014,26.12,13.46
VDE_00154,VIA_00154,DESP_00014,26.12,9.57
VDE_00155,VIA_00155,DESP_00014,26.12,12.32
VDE_00156,VIA_00156,DESP_00014,26.12,9.23
VDE_00157,VIA_00157,DESP_00014,26.12,11.5
VDE_00158,VIA_00158,DESP_00015,27.7,14.09
VDE_00159,VIA_00159,DESP_00015,27.7,14.11
VDE_00160,VIA_00160,DESP_00015,27.7,14.09
VDE_00161,VIA_00161,DESP_00015,27.7,9.07
VDE_00162,VIA_00162,DESP_00015,27.7,14.34
VDE_00163,VIA_00163,DESP_00015,27.7,14.34
VDE_00164,VIA_00164,DESP_00015,27.7,9.43
VDE_00165,VIA_00165,DESP_00015,27.7,12.38
VDE_00166,VIA_00166,DESP_00015,27.7,11.29
VDE_00167,VIA_00167,DESP_00015,27.7,9.84
VDE_00168,VIA_00168,DESP_00015,27.7,9.41
VDE_00169,VIA_00169,DESP_00015,27.7,13.67
VDE_00170,VIA_00170,DESP_00015,27.7,11.8
VDE_00171,VIA_00171,DESP_00015,27.7,14.33
VDE_00172,VIA_00172,DESP_00015,27.7,11.03
VDE_00173,VIA_00173,DESP_00016,27.66,11.55
VDE_00174,VIA_00174,DESP_00016,27.66,13.04
VDE_00175,VIA_00175,DESP_00016,27.66,13.73
VDE_00176,VIA_00176,DESP_00016,27.66,13.68
VDE_00177,VIA_00177,DESP_00016,27.66,12.4
VDE_00178,VIA_00178,DESP_00016,27.66,10.42
VDE_00179,VIA_00179,DESP_00016,27.66,14.43
VDE_00180,VIA_00180,DESP_00016,27.66,9.49
VDE_00181,VIA_00181,DESP_00016,27.66,10.87
VDE_00182,VIA_00182,DESP_00016,27.66,11.61
VDE_00183,VIA_00183,DESP_00016,27.66,10.57
VDE_00184,VIA_00184,DESP_00016,27.66,13.65
VDE_00185,VIA_00185,DESP_00016,27.66,13.64
VDE_00186,VIA_00186,DESP_00016,27.66,14.24
VDE_00187,VIA_00187,DESP_00017,27.63,11.69
VDE_00188,VIA_00188,DESP_00017,27.63,9.84
VDE_00189,VIA_00189,DESP_00017,27.63,9.26
VDE_00190,VIA_00190,DESP_00017,27.63,9.77
VDE_00191,VIA_00191,DESP_00017,27.63,11.28
VDE_00192,VIA_00192,DESP_00017,27.63,10.54
VDE_00193,VIA_00193,DESP_00017,27.63,12.38
VDE_00194,VIA_00194,DESP_00017,27.63,12.58
VDE_00195,VIA_00195,DESP_00017,27.63,9.08
VDE_00196,VIA_00196,DESP_00017,27.63,11.51
VDE_00197,VIA_00197,DESP_00017,27.63,13.46
VDE_00198,VIA_00198,DESP_00017,27.63,11.92
VDE_00199,VIA_00199,DESP_00017,27.63,9.12
VDE_00200,VIA_00200,DESP_00018,22.22,11.32
VDE_00201,VIA_00201,DESP_00018,22.22,13.31
VDE_00202,VIA_00202,DESP_00018,22.22,9.12
VDE_00203,VIA_00203,DESP_00018,22.22,13.2
VDE_00204,VIA_00204,DESP_00019,26.55,7.82
VDE_00205,VIA_00205,DESP_00019,26.55,5.61
VDE_00206,VIA_00206,DESP_00019,26.55,6.87
VDE_00207,VIA_00207,DESP_00019,26.55,6.34
VDE_00208,VIA_00208,DESP_00019,26.55,5.54
VDE_00209,VIA_00209,DESP_00019,26.55,7.61
VDE_00210,VIA_00210,DESP_00020,22.12,14.38
VDE_00211,VIA_00211,DESP_00020,22.12,9.72
VDE_00212,VIA_00212,DESP_00020,22.12,14.2
VDE_00213,VIA_00213,DESP_00020,22.12,11.77
VDE_00214,VIA_00214,DESP_00021,25.95,11.76
VDE_00215,VIA_00215,DESP_00021,25.95,10.42
VDE_00216,VIA_00216,DESP_00021,25.95,13.73
VDE_00217,VIA_00217,DESP_00021,25.95,10.54
VDE_00218,VIA_00218,DESP_00022,23.08,6.83
VDE_00219,VIA_00219,DESP_00022,23.08,5.97
VDE_00220,VIA_00220,DESP_00022,23.08,5.58
VDE_00221,VIA_00221,DESP_00022,23.08,6.0
VDE_00222,VIA_00222,DESP_00022,23.08,5.95
VDE_00223,VIA_00223,DESP_00023,27.55,10.92
VDE_00224,VIA_00224,DESP_00023,27.55,11.57
VDE_00225,VIA_00225,DESP_00023,27.55,13.69
VDE_00226,VIA_00226,DESP_00023,27.55,10.18
VDE_00227,VIA_00227,DESP_00023,27.55,10.88
VDE_00228,VIA_00228,DESP_00023,27.55,11.72
VDE_00229,VIA_00229,DESP_00023,27.55,10.31
VDE_00230,VIA_00230,DESP_00023,27.55,9.72
VDE_00231,VIA_00231,DESP_00023,27.55,14.15
VDE_00232,VIA_00232,DESP_00023,27.55,12.91
VDE_00233,VIA_00233,DESP_00023,27.55,14.46
VDE_00234,VIA_00234,DESP_00023,27.55,9.9
VDE_00235,VIA_00235,DESP_00023,27.55,11.93
VDE_00236,VIA_00236,DESP_00023,27.55,12.37
VDE_00237,VIA_00237,DESP_00023,27.55,14.1
VDE_00238,VIA_00238,DESP_00023,27.55,9.22
VDE_00239,VIA_00239,DESP_00024,27.12,10.51
VDE_00240,VIA_00240,DESP_00024,27.12,10.54
VDE_00241,VIA_00241,DESP_00024,27.12,11.08
VDE_00242,VIA_00242,DESP_00024,27.12,10.86
VDE_00243,VIA_00243,DESP_00024,27.12,9.49
VDE_00244,VIA_00244,DESP_00024,27.12,10.11
VDE_00245,VIA_00245,DESP_00024,27.12,14.45
VDE_00246,VIA_00246,DESP_00024,27.12,11.77
VDE_00247,VIA_00247,DESP_00024,27.12,10.73
VDE_00248,VIA_00248,DESP_00024,27.12,13.21
VDE_00249,VIA_00249,DESP_00024,27.12,13.93
VDE_00250,VIA_00250,DESP_00024,27.12,13.22
VDE_00251,VIA_00251,DESP_00024,27.12,10.7
VDE_00252,VIA_00252,DESP_00024,27.12,9.52
VDE_00253,VIA_00253,DESP_00024,27.12,13.24
VDE_00254,VIA_00254,DESP_00024,27.12,12.61
VDE_00255,VIA_00255,DESP_00024,27.12,13.24
VDE_00256,VIA_00256,DESP_00024,27.12,12.31
VDE_00257,VIA_00257,DESP_00024,27.12,9.54
VDE_00258,VIA_00258,DESP_00024,27.12,11.28
VDE_00259,VIA_00259,DESP_00024,27.12,11.47
VDE_00260,VIA_00260,DESP_00025,26.87,13.84
VDE_00261,VIA_00261,DESP_00025,26.87,13.92
VDE_00262,VIA_00262,DESP_00025,26.87,10.8
VDE_00263,VIA_00263,DESP_00025,26.87,11.3
VDE_00264,VIA_00264,DESP_00025,26.87,11.76
VDE_00265,VIA_00265,DESP_00025,26.87,10.94
VDE_00266,VIA_00266,DESP_00025,26.87,11.27
VDE_00267,VIA_00267,DESP_00025,26.87,10.41
VDE_00268,VIA_00268,DESP_00025,26.87,13.32
VDE_00269,VIA_00269,DESP_00025,26.87,13.61
VDE_00270,VIA_00270,DESP_00025,26.87,11.9
VDE_00271,VIA_00271,DESP_00025,26.87,13.5
VDE_00272,VIA_00272,DESP_00025,26.87,10.45
VDE_00273,VIA_00273,DESP_00025,26.87,9.63
VDE_00274,VIA_00274,DESP_00025,26.87,12.97
VDE_00275,VIA_00275,DESP_00025,26.87,12.29
VDE_00276,VIA_00276,DESP_00025,26.87,9.37
VDE_00277,VIA_00277,DESP_00025,26.87,10.42
VDE_00278,VIA_00278,DESP_00025,26.87,9.65
VDE_00279,VIA_00279,DESP_00025,26.87,13.92
VDE_00280,VIA_00280,DESP_00025,26.87,10.78
VDE_00281,VIA_00281,DESP_00026,26.16,11.43
VDE_00282,VIA_00282,DESP_00026,26.16,9.57
VDE_00283,VIA_00283,DESP_00026,26.16,11.5
VDE_00284,VIA_00284,DESP_00026,26.16,11.65
VDE_00285,VIA_00285,DESP_00026,26.16,9.48
VDE_00286,VIA_00286,DESP_00026,26.16,14.11
VDE_00287,VIA_00287,DESP_00026,26.16,10.73
VDE_00288,VIA_00288,DESP_00026,26.16,11.49
VDE_00289,VIA_00289,DESP_00026,26.16,10.05
VDE_00290,VIA_00290,DESP_00026,26.16,10.39
VDE_00291,VIA_00291,DESP_00026,26.16,9.37
VDE_00292,VIA_00292,DESP_00026,26.16,12.6
VDE_00293,VIA_00293,DESP_00026,26.16,12.61
VDE_00294,VIA_00294,DESP_00026,26.16,14.22
VDE_00295,VIA_00295,DESP_00027,27.22,6.3
VDE_00296,VIA_00296,DESP_00027,27.22,6.84
VDE_00297,VIA_00297,DESP_00027,27.22,5.65
VDE_00298,VIA_00298,DESP_00027,27.22,6.14
VDE_00299,VIA_00299,DESP_00027,27.22,5.99
VDE_00300,VIA_00300,DESP_00027,27.22,7.07
VDE_00301,VIA_00301,DESP_00027,27.22,6.36
VDE_00302,VIA_00302,DESP_00027,27.22,7.43
VDE_00303,VIA_00303,DESP_00027,27.22,6.97
VDE_00304,VIA_00304,DESP_00028,27.73,7.77
VDE_00305,VIA_00305,DESP_00028,27.73,5.65
VDE_00306,VIA_00306,DESP_00028,27.73,7.25
VDE_00307,VIA_00307,DESP_00028,27.73,6.65
VDE_00308,VIA_00308,DESP_00028,27.73,6.91
VDE_00309,VIA_00309,DESP_00028,27.73,7.38
VDE_00310,VIA_00310,DESP_00028,27.73,7.31
VDE_00311,VIA_00311,DESP_00028,27.73,7.07
VDE_00312,VIA_00312,DESP_00028,27.73,7.39
VDE_00313,VIA_00313,DESP_00028,27.73,7.67
VDE_00314,VIA_00314,DESP_00028,27.73,6.89
VDE_00315,VIA_00315,DESP_00028,27.73,7.65
VDE_00316,VIA_00316,DESP_00028,27.73,6.55
VDE_00317,VIA_00317,DESP_00028,27.73,6.35
VDE_00318,VIA_00318,DESP_00028,27.73,6.01
VDE_00319,VIA_00319,DESP_00028,27.73,7.72
VDE_00320,VIA_00320,DESP_00028,27.73,6.0
VDE_00321,VIA_00321,DESP_00029,27.36,7.03
VDE_00322,VIA_00322,DESP_00029,27.36,6.25
VDE_00323,VIA_00323,DESP_00029,27.36,7.32
VDE_00324,VIA_00324,DESP_00029,27.36,5.51
VDE_00325,VIA_00325,DESP_00029,27.36,7.87
VDE_00326,VIA_00326,DESP_00029,27.36,6.68
VDE_00327,VIA_00327,DESP_00029,27.36,6.59
VDE_00328,VIA_00328,DESP_00029,27.36,6.8
VDE_00329,VIA_00329,DESP_00029,27.36,7.0
VDE_00330,VIA_00330,DESP_00029,27.36,7.99
VDE_00331,VIA_00331,DESP_00029,27.36,6.46
VDE_00332,VIA_00332,DESP_00029,27.36,6.38
VDE_00333,VIA_00333,DESP_00029,27.36,5.94
VDE_00334,VIA_00334,DESP_00029,27.36,6.74
VDE_00335,VIA_00335,DESP_00029,27.36,5.58
VDE_00336,VIA_00336,DESP_00029,27.36,6.51
VDE_00337,VIA_00337,DESP_00029,27.36,6.16
VDE_00338,VIA_00338,DESP_00029,27.36,6.02
VDE_00339,VIA_00339,DESP_00029,27.36,6.93
VDE_00340,VIA_00340,DESP_00029,27.36,6.95
VDE_00341,VIA_00341,DESP_00029,27.36,7.57
VDE_00342,VIA_00342,DESP_00030,27.7,12.79
VDE_00343,VIA_00343,DESP_00030,27.7,11.03
VDE_00344,VIA_00344,DESP_00030,27.7,9.38
VDE_00345,VIA_00345,DESP_00030,27.7,9.38
VDE_00346,VIA_00346,DESP_00030,27.7,10.58
VDE_00347,VIA_00347,DESP_00030,27.7,9.37
VDE_00348,VIA_00348,DESP_00030,27.7,13.6
VDE_00349,VIA_00349,DESP_00030,27.7,9.13
VDE_00350,VIA_00350,DESP_00030,27.7,13.69
VDE_00351,VIA_00351,DESP_00030,27.7,12.02
VDE_00352,VIA_00352,DESP_00030,27.7,13.38
VDE_00353,VIA_00353,DESP_00031,26.47,9.83
VDE_00354,VIA_00354,DESP_00031,26.47,9.28
VDE_00355,VIA_00355,DESP_00031,26.47,13.87
VDE_00356,VIA_00356,DESP_00031,26.47,12.77
VDE_00357,VIA_00357,DESP_00031,26.47,11.3
VDE_00358,VIA_00358,DESP_00031,26.47,11.87
VDE_00359,VIA_00359,DESP_00031,26.47,10.8
VDE_00360,VIA_00360,DESP_00031,26.47,10.38
VDE_00361,VIA_00361,DESP_00032,26.8,13.8
VDE_00362,VIA_00362,DESP_00032,26.8,9.74
VDE_00363,VIA_00363,DESP_00032,26.8,13.66
VDE_00364,VIA_00364,DESP_00032,26.8,9.83
VDE_00365,VIA_00365,DESP_00032,26.8,9.26
VDE_00366,VIA_00366,DESP_00032,26.8,14.43
VDE_00367,VIA_00367,DESP_00032,26.8,13.11
VDE_00368,VIA_00368,DESP_00032,26.8,12.26
VDE_00369,VIA_00369,DESP_00032,26.8,10.98
VDE_00370,VIA_00370,DESP_00033,27.68,10.42
VDE_00371,VIA_00371,DESP_00033,27.68,9.68
VDE_00372,VIA_00372,DESP_00033,27.68,12.28
VDE_00373,VIA_00373,DESP_00033,27.68,13.14
VDE_00374,VIA_00374,DESP_00033,27.68,13.43
VDE_00375,VIA_00375,DESP_00033,27.68,12.06
VDE_00376,VIA_00376,DESP_00033,27.68,10.81
VDE_00377,VIA_00377,DESP_00033,27.68,12.75
VDE_00378,VIA_00378,DESP_00033,27.68,11.29
VDE_00379,VIA_00379,DESP_00033,27.68,11.68
VDE_00380,VIA_00380,DESP_00033,27.68,10.3
VDE_00381,VIA_00381,DESP_00033,27.68,9.37
VDE_00382,VIA_00382,DESP_00033,27.68,9.68
VDE_00383,VIA_00383,DESP_00033,27.68,13.21
VDE_00384,VIA_00384,DESP_00033,27.68,13.95
VDE_00385,VIA_00385,DESP_00033,27.68,9.38
VDE_00386,VIA_00386,DESP_00033,27.68,12.47
VDE_00387,VIA_00387,DESP_00033,27.68,13.56
VDE_00388,VIA_00388,DESP_00033,27.68,12.22
VDE_00389,VIA_00389,DESP_00033,27.68,12.84
VDE_00390,VIA_00390,DESP_00033,27.68,12.23
VDE_00391,VIA_00391,DESP_00034,27.54,13.16
VDE_00392,VIA_00392,DESP_00034,27.54,9.88
VDE_00393,VIA_00393,DESP_00034,27.54,11.97
VDE_00394,VIA_00394,DESP_00034,27.54,12.14
VDE_00395,VIA_00395,DESP_00034,27.54,11.22
VDE_00396,VIA_00396,DESP_00034,27.54,12.22
VDE_00397,VIA_00397,DESP_00034,27.54,12.96
VDE_00398,VIA_00398,DESP_00034,27.54,13.35
VDE_00399,VIA_00399,DESP_00034,27.54,11.96
VDE_00400,VIA_00400,DESP_00034,27.54,9.56
VDE_00401,VIA_00401,DESP_00034,27.54,11.9
VDE_00402,VIA_00402,DESP_00034,27.54,12.73
VDE_00403,VIA_00403,DESP_00034,27.54,12.26
VDE_00404,VIA_00404,DESP_00034,27.54,13.04
VDE_00405,VIA_00405,DESP_00034,27.54,12.26
VDE_00406,VIA_00406,DESP_00034,27.54,10.86
VDE_00407,VIA_00407,DESP_00034,27.54,13.75
VDE_00408,VIA_00408,DESP_00034,27.54,11.86
VDE_00409,VIA_00409,DESP_00034,27.54,9.28
VDE_00410,VIA_00410,DESP_00034,27.54,10.06
VDE_00411,VIA_00411,DESP_00034,27.54,14.19
VDE_00412,VIA_00412,DESP_00034,27.54,10.29
VDE_00413,VIA_00413,DESP_00034,27.54,10.86
VDE_00414,VIA_00414,DESP_00034,27.54,11.11
VDE_00415,VIA_00415,DESP_00034,27.54,13.41
VDE_00416,VIA_00416,DESP_00034,27.54,12.35
VDE_00417,VIA_00417,DESP_00034,27.54,11.21
VDE_00418,VIA_00418,DESP_00034,27.54,14.08
VDE_00419,VIA_00419,DESP_00034,27.54,11.87
VDE_00420,VIA_00420,DESP_00034,27.54,10.16
VDE_00421,VIA_00421,DESP_00035,26.82,12.76
VDE_00422,VIA_00422,DESP_00035,26.82,13.56
VDE_00423,VIA_00423,DESP_00035,26.82,9.29
VDE_00424,VIA_00424,DESP_00035,26.82,14.15
VDE_00425,VIA_00425,DESP_00035,26.82,12.53
VDE_00426,VIA_00426,DESP_00035,26.82,11.31
VDE_00427,VIA_00427,DESP_00035,26.82,9.53
VDE_00428,VIA_00428,DESP_00036,27.5,9.8
VDE_00429,VIA_00429,DESP_00036,27.5,12.02
VDE_00430,VIA_00430,DESP_00036,27.5,9.9
VDE_00431,VIA_00431,DESP_00036,27.5,11.02
VDE_00432,VIA_00432,DESP_00036,27.5,14.02
VDE_00433,VIA_00433,DESP_00036,27.5,14.02
VDE_00434,VIA_00434,DESP_00036,27.5,13.56
VDE_00435,VIA_00435,DESP_00036,27.5,12.41
VDE_00436,VIA_00436,DESP_00036,27.5,12.8
VDE_00437,VIA_00437,DESP_00036,27.5,14.27
VDE_00438,VIA_00438,DESP_00036,27.5,13.3
VDE_00439,VIA_00439,DESP_00036,27.5,9.07
VDE_00440,VIA_00440,DESP_00036,27.5,11.79
VDE_00441,VIA_00441,DESP_00036,27.5,10.87
VDE_00442,VIA_00442,DESP_00036,27.5,11.9
VDE_00443,VIA_00443,DESP_00037,27.46,6.3
VDE_00444,VIA_00444,DESP_00037,27.46,6.86
VDE_00445,VIA_00445,DESP_00037,27.46,7.11
VDE_00446,VIA_00446,DESP_00037,27.46,6.21
VDE_00447,VIA_00447,DESP_00037,27.46,5.56
VDE_00448,VIA_00448,DESP_00038,25.04,9.17
VDE_00449,VIA_00449,DESP_00038,25.04,12.73
VDE_00450,VIA_00450,DESP_00038,25.04,11.84
VDE_00451,VIA_00451,DESP_00038,25.04,11.18
VDE_00452,VIA_00452,DESP_00038,25.04,9.55
VDE_00453,VIA_00453,DESP_00038,25.04,14.48
VDE_00454,VIA_00454,DESP_00038,25.04,12.07
VDE_00455,VIA_00455,DESP_00038,25.04,13.55
VDE_00456,VIA_00456,DESP_00038,25.04,12.41
VDE_00457,VIA_00457,DESP_00039,27.21,7.82
VDE_00458,VIA_00458,DESP_00039,27.21,7.59
VDE_00459,VIA_00459,DESP_00039,27.21,5.99
VDE_00460,VIA_00460,DESP_00039,27.21,6.61
VDE_00461,VIA_00461,DESP_00039,27.21,5.91
VDE_00462,VIA_00462,DESP_00039,27.21,6.51
VDE_00463,VIA_00463,DESP_00039,27.21,7.73
VDE_00464,VIA_00464,DESP_00039,27.21,5.81
VDE_00465,VIA_00465,DESP_00039,27.21,7.78
VDE_00466,VIA_00466,DESP_00039,27.21,6.52
VDE_00467,VIA_00467,DESP_00039,27.21,7.88
VDE_00468,VIA_00468,DESP_00039,27.21,7.17
VDE_00469,VIA_00469,DESP_00039,27.21,7.38
VDE_00470,VIA_00470,DESP_00039,27.21,5.86
VDE_00471,VIA_00471,DESP_00039,27.21,6.08
VDE_00472,VIA_00472,DESP_00039,27.21,6.38
VDE_00473,VIA_00473,DESP_00039,27.21,7.55
VDE_00474,VIA_00474,DESP_00039,27.21,7.43
VDE_00475,VIA_00475,DESP_00039,27.21,6.74
VDE_00476,VIA_00476,DESP_00039,27.21,7.65
VDE_00477,VIA_00477,DESP_00040,27.56,7.69
VDE_00478,VIA_00478,DESP_00040,27.56,6.07
VDE_00479,VIA_00479,DESP_00040,27.56,6.93
VDE_00480,VIA_00480,DESP_00040,27.56,6.9
