mov_tesoreria_id,cuenta_financiera_id,movement_date,movement_type,source_table,source_id,amount
TES_00038,BANK_0002,2023-12-30,PAGO_PROVEEDOR,fin_pagos,PAG_00038,-7187.41
TES_00039,BANK_0002,2024-02-22,PAGO_PROVEEDOR,fin_pagos,PAG_00039,-2838.33
TES_00040,BANK_0002,2024-02-15,PAGO_PROVEEDOR,fin_pagos,PAG_00040,-941.98
TES_00041,BANK_0002,2023-12-22,PAGO_PROVEEDOR,fin_pagos,PAG_00041,-4212.57
TES_00042,BANK_0002,2023-10-16,PAGO_PROVEEDOR,fin_pagos,PAG_00042,-23241.8
TES_00043,BANK_0002,2023-12-05,PAGO_PROVEEDOR,fin_pagos,PAG_00043,-24447.48
TES_00044,BANK_0002,2023-11-30,PAGO_PROVEEDOR,fin_pagos,PAG_00044,-12711.78
TES_00045,BANK_0002,2023-12-28,PAGO_PROVEEDOR,fin_pagos,PAG_00045,-3027.15
TES_00046,BANK_0002,2024-01-11,PAGO_PROVEEDOR,fin_pagos,PAG_00046,-1421.22
TES_00047,BANK_0002,2023-10-31,PAGO_PROVEEDOR,fin_pagos,PAG_00047,-5242.29
TES_00048,BANK_0002,2023-12-05,PAGO_PROVEEDOR,fin_pagos,PAG_00048,-15678.59
TES_00049,BANK_0002,2024-01-19,PAGO_PROVEEDOR,fin_pagos,PAG_00049,-6127.02
TES_00050,BANK_0002,2024-02-09,PAGO_PROVEEDOR,fin_pagos,PAG_00050,-2845.96
TES_00051,BANK_0002,2024-01-31,PAGO_PROVEEDOR,fin_pagos,PAG_00051,-906.89
TES_00052,BANK_0002,2023-12-23,PAGO_PROVEEDOR,fin_pagos,PAG_00052,-4148.45
TES_00053,BANK_0002,2023-12-11,PAGO_PROVEEDOR,fin_pagos,PAG_00053,-11554.92
TES_00054,BANK_0002,2023-12-30,PAGO_PROVEEDOR,fin_pagos,PAG_00054,-6003.44
TES_00055,BANK_0002,2024-02-15,PAGO_PROVEEDOR,fin_pagos,PAG_00055,-2125.93
TES_00056,BANK_0002,2024-01-30,PAGO_PROVEEDOR,fin_pagos,PAG_00056,-667.44
TES_00057,BANK_0002,2024-01-08,PAGO_PROVEEDOR,fin_pagos,PAG_00057,-2681.88
TES_00058,BANK_0002,2023-11-29,PAGO_PROVEEDOR,fin_pagos,PAG_00058,-14487.57
TES_00059,BANK_0002,2023-12-24,PAGO_PROVEEDOR,fin_pagos,PAG_00059,-7763.6
TES_00060,BANK_0002,2024-02-24,PAGO_PROVEEDOR,fin_pagos,PAG_00060,-2596.42
TES_00061,BANK_0002,2024-02-11,PAGO_PROVEEDOR,fin_pagos,PAG_00061,-919.82
TES_00062,BANK_0002,2023-12-18,PAGO_PROVEEDOR,fin_pagos,PAG_00062,-3841.21
TES_00063,BANK_0002,2024-12-17,PAGO_PROVEEDOR,fin_pagos,PAG_00063,-16448.66
TES_00064,BANK_0002,2025-02-05,PAGO_PROVEEDOR,fin_pagos,PAG_00064,-6923.79
TES_00065,BANK_0002,2025-02-04,PAGO_PROVEEDOR,fin_pagos,PAG_00065,-2863.78
TES_00066,BANK_0002,2025-02-09,PAGO_PROVEEDOR,fin_pagos,PAG_00066,-847.87
TES_00067,BANK_0002,2024-12-29,PAGO_PROVEEDOR,fin_pagos,PAG_00067,-3759.76
TES_00068,BANK_0002,2024-09-26,PAGO_PROVEEDOR,fin_pagos,PAG_00068,-28901.72
TES_00069,BANK_0002,2024-12-10,PAGO_PROVEEDOR,fin_pagos,PAG_00069,-30037.37
TES_00070,BANK_0002,2024-11-27,PAGO_PROVEEDOR,fin_pagos,PAG_00070,-14659.69
TES_00071,BANK_0002,2025-01-18,PAGO_PROVEEDOR,fin_pagos,PAG_00071,-3487.32
TES_00072,BANK_0002,2025-01-17,PAGO_PROVEEDOR,fin_pagos,PAG_00072,-1588.58
TES_00073,BANK_0002,2024-10-27,PAGO_PROVEEDOR,fin_pagos,PAG_00073,-4767.94
TES_00074,BANK_0002,2024-10-07,PAGO_PROVEEDOR,fin_pagos,PAG_00074,-12402.3
TES_00075,BANK_0002,2024-12-30,PAGO_PROVEEDOR,fin_pagos,PAG_00075,-14359.76
TES_00076,BANK_0002,2024-12-08,PAGO_PROVEEDOR,fin_pagos,PAG_00076,-8357.73
TES_00077,BANK_0002,2025-01-18,PAGO_PROVEEDOR,fin_pagos,PAG_00077,-1759.42
TES_00078,BANK_0002,2025-01-26,PAGO_PROVEEDOR,fin_pagos,PAG_00078,-824.87
TES_00079,BANK_0002,2024-10-16,PAGO_PROVEEDOR,fin_pagos,PAG_00079,-2775.13
TES_00080,BANK_0002,2025-08-11,PAGO_PROVEEDOR,fin_pagos,PAG_00080,-14319.27
TES_00081,BANK_0002,2024-09-05,PAGO_PROVEEDOR,fin_pagos,PAG_00081,-15870.23
TES_00082,BANK_0002,2024-09-08,PAGO_PROVEEDOR,fin_pagos,PAG_00082,-8893.71
TES_00083,BANK_0002,2024-10-07,PAGO_PROVEEDOR,fin_pagos,PAG_00083,-1887.52
TES_00084,BANK_0002,2025-08-13,PAGO_PROVEEDOR,fin_pagos,PAG_00084,-2436.45
TES_00085,BANK_0002,2024-10-08,PAGO_PROVEEDOR,fin_pagos,PAG_00085,-13880.95
TES_00086,BANK_0002,2024-11-29,PAGO_PROVEEDOR,fin_pagos,PAG_00086,-15959.17
TES_00087,BANK_0002,2024-12-01,PAGO_PROVEEDOR,fin_pagos,PAG_00087,-10327.0
TES_00088,BANK_0002,2025-02-07,PAGO_PROVEEDOR,fin_pagos,PAG_00088,-1768.38
TES_00089,BANK_0002,2025-01-01,PAGO_PROVEEDOR,fin_pagos,PAG_00089,-861.56
TES_00090,BANK_0002,2024-10-28,PAGO_PROVEEDOR,fin_pagos,PAG_00090,-3144.78
TES_00091,BANK_0002,2024-10-07,PAGO_PROVEEDOR,fin_pagos,PAG_00091,-23331.06
TES_00092,BANK_0002,2024-12-04,PAGO_PROVEEDOR,fin_pagos,PAG_00092,-23465.59
TES_00093,BANK_0002,2025-01-16,PAGO_PROVEEDOR,fin_pagos,PAG_00093,-13150.24
TES_00094,BANK_0002,2025-01-04,PAGO_PROVEEDOR,fin_pagos,PAG_00094,-2931.48
TES_00095,BANK_0002,2025-01-21,PAGO_PROVEEDOR,fin_pagos,PAG_00095,-1365.27
TES_00096,BANK_0002,2024-11-01,PAGO_PROVEEDOR,fin_pagos,PAG_00096,-5219.96
TES_00097,BANK_0002,2024-12-01,PAGO_PROVEEDOR,fin_pagos,PAG_00097,-18832.32
TES_00098,BANK_0002,2025-02-14,PAGO_PROVEEDOR,fin_pagos,PAG_00098,-11060.48
TES_00099,BANK_0002,2025-02-17,PAGO_PROVEEDOR,fin_pagos,PAG_00099,-4269.09
TES_00100,BANK_0002,2025-03-06,PAGO_PROVEEDOR,fin_pagos,PAG_00100,-1271.0
TES_00101,BANK_0002,2024-12-11,PAGO_PROVEEDOR,fin_pagos,PAG_00101,-7548.52
TES_00102,BANK_0002,2024-12-13,PAGO_PROVEEDOR,fin_pagos,PAG_00102,-15146.47
TES_00103,BANK_0002,2025-01-25,PAGO_PROVEEDOR,fin_pagos,PAG_00103,-7152.84
TES_00104,BANK_0002,2025-02-19,PAGO_PROVEEDOR,fin_pagos,PAG_00104,-3268.97
TES_00105,BANK_0002,2025-02-20,PAGO_PROVEEDOR,fin_pagos,PAG_00105,-850.7
TES_00106,BANK_0002,2025-01-03,PAGO_PROVEEDOR,fin_pagos,PAG_00106,-4526.61
TES_00107,BANK_0002,2025-08-07,PAGO_PROVEEDOR,fin_pagos,PAG_00107,-18970.46
TES_00108,BANK_0002,2024-09-14,PAGO_PROVEEDOR,fin_pagos,PAG_00108,-17719.78
TES_00109,BANK_0002,2024-09-10,PAGO_PROVEEDOR,fin_pagos,PAG_00109,-10857.57
TES_00110,BANK_0002,2024-10-05,PAGO_PROVEEDOR,fin_pagos,PAG_00110,-1599.38
TES_00111,BANK_0002,2025-08-15,PAGO_PROVEEDOR,fin_pagos,PAG_00111,-3776.35
TES_00112,BANK_0002,2024-10-04,PAGO_PROVEEDOR,fin_pagos,PAG_00112,-17112.58
TES_00113,BANK_0002,2024-12-11,PAGO_PROVEEDOR,fin_pagos,PAG_00113,-15834.63
TES_00114,BANK_0002,2024-12-09,PAGO_PROVEEDOR,fin_pagos,PAG_00114,-10777.37
TES_00115,BANK_0002,2025-01-19,PAGO_PROVEEDOR,fin_pagos,PAG_00115,-1736.83
TES_00116,BANK_0002,2025-02-11,PAGO_PROVEEDOR,fin_pagos,PAG_00116,-1017.27
TES_00117,BANK_0002,2024-11-04,PAGO_PROVEEDOR,fin_pagos,PAG_00117,-3149.18
TES_00118,BANK_0002,2024-12-12,PAGO_PROVEEDOR,fin_pagos,PAG_00118,-11752.67
TES_00119,BANK_0002,2025-01-28,PAGO_PROVEEDOR,fin_pagos,PAG_00119,-5348.99
TES_00120,BANK_0002,2025-02-26,PAGO_PROVEEDOR,fin_pagos,PAG_00120,-2003.88
TES_00121,BANK_0002,2025-03-10,PAGO_PROVEEDOR,fin_pagos,PAG_00121,-676.21
TES_00122,BANK_0002,2024-12-19,PAGO_PROVEEDOR,fin_pagos,PAG_00122,-2880.93
TES_00123,BANK_0002,2024-10-18,PAGO_PROVEEDOR,fin_pagos,PAG_00123,-15026.97
TES_00124,BANK_0002,2024-12-13,PAGO_PROVEEDOR,fin_pagos,PAG_00124,-17901.22
TES_00125,BANK_0002,2025-01-07,PAGO_PROVEEDOR,fin_pagos,PAG_00125,-10785.19
TES_00126,BANK_0002,2025-01-21,PAGO_PROVEEDOR,fin_pagos,PAG_00126,-1824.13
TES_00127,BANK_0002,2025-01-17,PAGO_PROVEEDOR,fin_pagos,PAG_00127,-1084.78
TES_00128,BANK_0002,2024-10-22,PAGO_PROVEEDOR,fin_pagos,PAG_00128,-3481.19
TES_00129,BANK_0002,2023-09-17,PAGO_PROVEEDOR,fin_pagos,PAG_00129,-1831.0
TES_00130,BANK_0002,2023-10-02,PAGO_PROVEEDOR,fin_pagos,PAG_00130,-2286.33
TES_00131,BANK_0002,2023-10-02,PAGO_PROVEEDOR,fin_pagos,PAG_00131,-3137.87
TES_00132,BANK_0002,2024-10-06,PAGO_PROVEEDOR,fin_pagos,PAG_00132,-1746.62
TES_00133,BANK_0002,2024-09-11,PAGO_PROVEEDOR,fin_pagos,PAG_00133,-2177.76
TES_00134,BANK_0002,2024-09-20,PAGO_PROVEEDOR,fin_pagos,PAG_00134,-3669.85
TES_00135,BANK_0002,2025-09-30,PAGO_PROVEEDOR,fin_pagos,PAG_00135,-5323.57
TES_00136,BANK_0002,2025-09-08,PAGO_PROVEEDOR,fin_pagos,PAG_00136,-1118.27
TES_00137,BANK_0002,2025-11-13,PAGO_PROVEEDOR,fin_pagos,PAG_00137,-4558.07
TES_00138,BANK_0002,2025-10-22,PAGO_PROVEEDOR,fin_pagos,PAG_00138,-7282.26
TES_00139,BANK_0002,2025-10-31,PAGO_PROVEEDOR,fin_pagos,PAG_00139,-301.31
TES_00140,BANK_0002,2025-11-03,PAGO_PROVEEDOR,fin_pagos,PAG_00140,-922.43
TES_00141,BANK_0002,2025-12-17,PAGO_PROVEEDOR,fin_pagos,PAG_00141,-4415.58
TES_00142,BANK_0002,2025-11-25,PAGO_PROVEEDOR,fin_pagos,PAG_00142,-677.07
TES_00143,BANK_0002,2025-12-29,PAGO_PROVEEDOR,fin_pagos,PAG_00143,-3812.23
TES_00144,BANK_0002,2025-12-08,PAGO_PROVEEDOR,fin_pagos,PAG_00144,-4203.44
TES_00145,BANK_0002,2025-12-10,PAGO_PROVEEDOR,fin_pagos,PAG_00145,-565.01
TES_00146,BANK_0002,2025-12-11,PAGO_PROVEEDOR,fin_pagos,PAG_00146,-625.45
TES_00147,BANK_0002,2026-02-16,PAGO_PROVEEDOR,fin_pagos,PAG_00147,-8401.47
TES_00148,BANK_0002,2026-01-21,PAGO_PROVEEDOR,fin_pagos,PAG_00148,-3914.94
TES_00149,BANK_0003,2024-09-09,COBRANZA_CLIENTE,fin_cobranzas,COB_00001,131136.51
TES_00150,BANK_0003,2024-03-16,COBRANZA_CLIENTE,fin_cobranzas,COB_00002,62147.84
TES_00151,BANK_0003,2024-05-06,COBRANZA_CLIENTE,fin_cobranzas,COB_00003,80903.72
TES_00152,BANK_0003,2024-07-10,COBRANZA_CLIENTE,fin_cobranzas,COB_00004,86158.84
TES_00153,BANK_0003,2024-10-28,COBRANZA_CLIENTE,fin_cobranzas,COB_00005,110117.02
TES_00154,BANK_0003,2024-10-04,COBRANZA_CLIENTE,fin_cobranzas,COB_00006,155870.66
TES_00155,BANK_0003,2024-07-16,COBRANZA_CLIENTE,fin_cobranzas,COB_00007,48729.8
TES_00156,BANK_0003,2024-08-11,COBRANZA_CLIENTE,fin_cobranzas,COB_00008,43331.66
TES_00157,BANK_0003,2024-11-09,COBRANZA_CLIENTE,fin_cobranzas,COB_00009,65307.22
TES_00158,BANK_0003,2024-03-07,COBRANZA_CLIENTE,fin_cobranzas,COB_00010,53754.47
TES_00159,BANK_0003,2024-07-09,COBRANZA_CLIENTE,fin_cobranzas,COB_00011,90140.49
TES_00160,BANK_0003,2024-08-25,COBRANZA_CLIENTE,fin_cobranzas,COB_00012,240866.35
TES_00161,BANK_0003,2024-11-14,COBRANZA_CLIENTE,fin_cobranzas,COB_00013,112275.59
TES_00162,BANK_0003,2024-07-15,COBRANZA_CLIENTE,fin_cobranzas,COB_00014,78289.04
TES_00163,BANK_0003,2024-08-05,COBRANZA_CLIENTE,fin_cobranzas,COB_00015,105664.07
TES_00164,BANK_0003,2024-10-23,COBRANZA_CLIENTE,fin_cobranzas,COB_00016,106073.14
TES_00165,BANK_0003,2024-07-23,COBRANZA_CLIENTE,fin_cobranzas,COB_00017,138262.42
TES_00166,BANK_0003,2024-09-03,COBRANZA_CLIENTE,fin_cobranzas,COB_00018,35024.48
TES_00167,BANK_0003,2024-10-28,COBRANZA_CLIENTE,fin_cobranzas,COB_00019,66896.86
TES_00168,BANK_0003,2024-07-13,COBRANZA_CLIENTE,fin_cobranzas,COB_00020,34207.41
TES_00169,BANK_0003,2024-10-04,COBRANZA_CLIENTE,fin_cobranzas,COB_00021,41196.99
TES_00170,BANK_0003,2024-10-23,COBRANZA_CLIENTE,fin_cobranzas,COB_00022,44484.4
TES_00171,BANK_0003,2025-09-08,COBRANZA_CLIENTE,fin_cobranzas,COB_00023,84587.68
TES_00172,BANK_0003,2025-07-30,COBRANZA_CLIENTE,fin_cobranzas,COB_00024,142655.82
TES_00173,BANK_0003,2025-08-17,COBRANZA_CLIENTE,fin_cobranzas,COB_00025,117228.65
TES_00174,BANK_0003,2025-11-13,COBRANZA_CLIENTE,fin_cobranzas,COB_00026,81136.23
TES_00175,BANK_0003,2025-08-06,COBRANZA_CLIENTE,fin_cobranzas,COB_00027,55613.43
TES_00176,BANK_0003,2025-11-13,COBRANZA_CLIENTE,fin_cobranzas,COB_00028,106408.61
TES_00177,BANK_0003,2025-05-01,COBRANZA_CLIENTE,fin_cobranzas,COB_00029,156710.77
TES_00178,BANK_0003,2025-08-15,COBRANZA_CLIENTE,fin_cobranzas,COB_00030,69556.42
TES_00179,BANK_0003,2025-08-21,COBRANZA_CLIENTE,fin_cobranzas,COB_00031,40962.71
TES_00180,BANK_0003,2025-11-30,COBRANZA_CLIENTE,fin_cobranzas,COB_00032,51557.79
TES_00181,BANK_0003,2025-06-17,COBRANZA_CLIENTE,fin_cobranzas,COB_00033,135608.02
TES_00182,BANK_0003,2025-09-20,COBRANZA_CLIENTE,fin_cobranzas,COB_00034,147274.27
TES_00183,BANK_0003,2025-08-27,COBRANZA_CLIENTE,fin_cobranzas,COB_00035,67095.94
TES_00184,BANK_0003,2025-12-27,COBRANZA_CLIENTE,fin_cobranzas,COB_00036,86985.78
TES_00185,BANK_0003,2025-09-05,COBRANZA_CLIENTE,fin_cobranzas,COB_00037,37644.91
TES_00186,BANK_0003,2026-01-05,COBRANZA_CLIENTE,fin_cobranzas,COB_00038,74046.77
TES_00187,BANK_0003,2025-04-12,COBRANZA_CLIENTE,fin_cobranzas,COB_00039,152993.63
TES_00188,BANK_0003,2025-07-30,COBRANZA_CLIENTE,fin_cobranzas,COB_00040,63552.62
TES_00189,BANK_0003,2025-09-28,COBRANZA_CLIENTE,fin_cobranzas,COB_00041,81183.12
TES_00190,BANK_0003,2025-10-29,COBRANZA_CLIENTE,fin_cobranzas,COB_00042,59392.28
TES_00191,BANK_0003,2025-09-05,COBRANZA_CLIENTE,fin_cobranzas,COB_00043,75098.49
TES_00192,BANK_0003,2025-07-23,COBRANZA_CLIENTE,fin_cobranzas,COB_00044,83714.9
TES_00193,BANK_0003,2025-09-20,COBRANZA_CLIENTE,fin_cobranzas,COB_00045,74009.93
TES_00194,BANK_0003,2025-11-14,COBRANZA_CLIENTE,fin_cobranzas,COB_00046,30034.57
TES_00195,BANK_0002,2024-07-09,PAGO_LOGISTICA,log_viajes,VIA_00001,-273.82
TES_00196,BANK_0002,2024-07-03,PAGO_LOGISTICA,log_viajes,VIA_00002,-349.01
TES_00197,BANK_0002,2024-06-28,PAGO_LOGISTICA,log_viajes,VIA_00003,-358.18
TES_00198,BANK_0002,2024-07-01,PAGO_LOGISTICA,log_viajes,VIA_00004,-237.77
TES_00199,BANK_0002,2024-07-03,PAGO_LOGISTICA,log_viajes,VIA_00005,-381.22
TES_00200,BANK_0002,2024-07-11,PAGO_LOGISTICA,log_viajes,VIA_00006,-267.29
TES_00201,BANK_0002,2024-06-29,PAGO_LOGISTICA,log_viajes,VIA_00007,-354.53
TES_00202,BANK_0002,2024-07-01,PAGO_LOGISTICA,log_viajes,VIA_00008,-294.43
TES_00203,BANK_0002,2024-07-07,PAGO_LOGISTICA,log_viajes,VIA_00009,-291.0
TES_00204,BANK_0002,2024-06-30,PAGO_LOGISTICA,log_viajes,VIA_00010,-265.48
TES_00205,BANK_0002,2024-07-11,PAGO_LOGISTICA,log_viajes,VIA_00011,-306.63
TES_00206,BANK_0002,2024-07-12,PAGO_LOGISTICA,log_viajes,VIA_00012,-330.23
TES_00207,BANK_0002,2024-07-03,PAGO_LOGISTICA,log_viajes,VIA_00013,-379.61
TES_00208,BANK_0002,2024-02-26,PAGO_LOGISTICA,log_viajes,VIA_00014,-392.08
TES_00209,BANK_0002,2024-02-26,PAGO_LOGISTICA,log_viajes,VIA_00015,-362.44
TES_00210,BANK_0002,2024-02-25,PAGO_LOGISTICA,log_viajes,VIA_00016,-265.63
TES_00211,BANK_0002,2024-02-17,PAGO_LOGISTICA,log_viajes,VIA_00017,-281.37
TES_00212,BANK_0002,2024-02-14,PAGO_LOGISTICA,log_viajes,VIA_00018,-321.7
TES_00213,BANK_0002,2024-02-19,PAGO_LOGISTICA,log_viajes,VIA_00019,-372.59
TES_00214,BANK_0002,2024-02-17,PAGO_LOGISTICA,log_viajes,VIA_00020,-373.61
TES_00215,BANK_0002,2024-02-18,PAGO_LOGISTICA,log_viajes,VIA_00021,-292.64
TES_00216,BANK_0002,2024-03-25,PAGO_LOGISTICA,log_viajes,VIA_00022,-286.78
TES_00217,BANK_0002,2024-03-24,PAGO_LOGISTICA,log_viajes,VIA_00023,-349.34
TES_00218,BANK_0002,2024-03-17,PAGO_LOGISTICA,log_viajes,VIA_00024,-235.16
TES_00219,BANK_0002,2024-03-14,PAGO_LOGISTICA,log_viajes,VIA_00025,-320.16
TES_00220,BANK_0002,2024-03-18,PAGO_LOGISTICA,log_viajes,VIA_00026,-259.9
TES_00221,BANK_0002,2024-03-22,PAGO_LOGISTICA,log_viajes,VIA_00027,-349.95
TES_00222,BANK_0002,2024-03-28,PAGO_LOGISTICA,log_viajes,VIA_00028,-262.25
TES_00223,BANK_0002,2024-03-20,PAGO_LOGISTICA,log_viajes,VIA_00029,-352.26
TES_00224,BANK_0002,2024-03-18,PAGO_LOGISTICA,log_viajes,VIA_00030,-317.3
TES_00225,BANK_0002,2024-03-24,PAGO_LOGISTICA,log_viajes,VIA_00031,-248.27
TES_00226,BANK_0002,2024-03-16,PAGO_LOGISTICA,log_viajes,VIA_00032,-362.26
TES_00227,BANK_0002,2024-08-18,PAGO_LOGISTICA,log_viajes,VIA_00045,-300.38
TES_00228,BANK_0002,2024-08-15,PAGO_LOGISTICA,log_viajes,VIA_00046,-246.27
TES_00229,BANK_0002,2024-08-22,PAGO_LOGISTICA,log_viajes,VIA_00047,-357.54
TES_00230,BANK_0002,2024-08-21,PAGO_LOGISTICA,log_viajes,VIA_00048,-345.05
TES_00231,BANK_0002,2024-08-23,PAGO_LOGISTICA,log_viajes,VIA_00049,-372.41
TES_00232,BANK_0002,2024-08-25,PAGO_LOGISTICA,log_viajes,VIA_00050,-275.81
TES_00233,BANK_0002,2024-08-21,PAGO_LOGISTICA,log_viajes,VIA_00051,-280.87
TES_00234,BANK_0002,2024-08-29,PAGO_LOGISTICA,log_viajes,VIA_00052,-326.65
TES_00235,BANK_0002,2024-08-30,PAGO_LOGISTICA,log_viajes,VIA_00053,-236.4
TES_00236,BANK_0002,2024-08-15,PAGO_LOGISTICA,log_viajes,VIA_00054,-334.25
TES_00237,BANK_0002,2024-08-30,PAGO_LOGISTICA,log_viajes,VIA_00055,-303.46
TES_00238,BANK_0002,2024-08-16,PAGO_LOGISTICA,log_viajes,VIA_00056,-379.31
TES_00239,BANK_0002,2024-08-16,PAGO_LOGISTICA,log_viajes,VIA_00057,-308.24
TES_00240,BANK_0002,2024-08-21,PAGO_LOGISTICA,log_viajes,VIA_00058,-255.85
TES_00241,BANK_0002,2024-08-13,PAGO_LOGISTICA,log_viajes,VIA_00059,-287.19
TES_00242,BANK_0002,2024-08-19,PAGO_LOGISTICA,log_viajes,VIA_00060,-361.26
TES_00243,BANK_0002,2024-08-16,PAGO_LOGISTICA,log_viajes,VIA_00061,-280.87
TES_00244,BANK_0002,2024-08-21,PAGO_LOGISTICA,log_viajes,VIA_00062,-366.29
TES_00245,BANK_0002,2024-08-25,PAGO_LOGISTICA,log_viajes,VIA_00063,-283.12
TES_00246,BANK_0002,2024-08-27,PAGO_LOGISTICA,log_viajes,VIA_00064,-393.47
TES_00247,BANK_0002,2024-08-15,PAGO_LOGISTICA,log_viajes,VIA_00065,-344.5
TES_00248,BANK_0002,2024-08-21,PAGO_LOGISTICA,log_viajes,VIA_00066,-328.74
TES_00249,BANK_0002,2024-08-20,PAGO_LOGISTICA,log_viajes,VIA_00067,-316.29
TES_00250,BANK_0002,2024-08-19,PAGO_LOGISTICA,log_viajes,VIA_00068,-278.69
TES_00251,BANK_0002,2024-08-22,PAGO_LOGISTICA,log_viajes,VIA_00069,-371.22
TES_00252,BANK_0002,2024-06-06,PAGO_LOGISTICA,log_viajes,VIA_00070,-391.12
TES_00253,BANK_0002,2024-05-28,PAGO_LOGISTICA,log_viajes,VIA_00071,-383.56
TES_00254,BANK_0002,2024-05-22,PAGO_LOGISTICA,log_viajes,VIA_00072,-270.7
TES_00255,BANK_0002,2024-06-05,PAGO_LOGISTICA,log_viajes,VIA_00073,-258.83
TES_00256,BANK_0002,2024-06-05,PAGO_LOGISTICA,log_viajes,VIA_00074,-256.03
TES_00257,BANK_0002,2024-05-27,PAGO_LOGISTICA,log_viajes,VIA_00075,-256.44
TES_00258,BANK_0002,2024-05-29,PAGO_LOGISTICA,log_viajes,VIA_00076,-369.37
TES_00259,BANK_0002,2024-07-07,PAGO_LOGISTICA,log_viajes,VIA_00077,-341.55
TES_00260,BANK_0002,2024-07-01,PAGO_LOGISTICA,log_viajes,VIA_00078,-342.69
TES_00261,BANK_0002,2024-07-01,PAGO_LOGISTICA,log_viajes,VIA_00079,-353.88
