comp_impuesto_id,tipo_impuesto_id,source_table,source_id,period_id,amount
TCL_000071,TAX_0002,fin_facturas_compra,FC_00071,202411,605.24
TCL_000072,TAX_0002,fin_facturas_compra,FC_00072,202411,275.7
TCL_000073,TAX_0002,fin_facturas_compra,FC_00073,202408,1060.89
TCL_000074,TAX_0002,fin_facturas_compra,FC_00074,202408,2265.75
TCL_000075,TAX_0002,fin_facturas_compra,FC_00075,202411,2492.19
TCL_000076,TAX_0002,fin_facturas_compra,FC_00076,202410,1526.86
TCL_000077,TAX_0002,fin_facturas_compra,FC_00077,202411,305.35
TCL_000078,TAX_0002,fin_facturas_compra,FC_00078,202411,143.16
TCL_000079,TAX_0002,fin_facturas_compra,FC_00079,202408,506.98
TCL_000080,TAX_0002,fin_facturas_compra,FC_00080,202505,3550.23
TCL_000081,TAX_0002,fin_facturas_compra,FC_00081,202407,2754.34
TCL_000082,TAX_0002,fin_facturas_compra,FC_00082,202407,1978.89
TCL_000083,TAX_0002,fin_facturas_compra,FC_00083,202408,327.59
TCL_000084,TAX_0002,fin_facturas_compra,FC_00084,202505,845.71
TCL_000085,TAX_0002,fin_facturas_compra,FC_00085,202408,2409.09
TCL_000086,TAX_0002,fin_facturas_compra,FC_00086,202410,2915.55
TCL_000087,TAX_0002,fin_facturas_compra,FC_00087,202410,1792.29
TCL_000088,TAX_0002,fin_facturas_compra,FC_00088,202412,306.91
TCL_000089,TAX_0002,fin_facturas_compra,FC_00089,202411,149.53
TCL_000090,TAX_0002,fin_facturas_compra,FC_00090,202408,545.79
TCL_000091,TAX_0002,fin_facturas_compra,FC_00091,202408,4049.19
TCL_000092,TAX_0002,fin_facturas_compra,FC_00092,202410,4072.54
TCL_000093,TAX_0002,fin_facturas_compra,FC_00093,202410,2593.49
TCL_000094,TAX_0002,fin_facturas_compra,FC_00094,202411,508.77
TCL_000095,TAX_0002,fin_facturas_compra,FC_00095,202411,236.95
TCL_000096,TAX_0002,fin_facturas_compra,FC_00096,202408,953.62
TCL_000097,TAX_0002,fin_facturas_compra,FC_00097,202410,3714.11
TCL_000098,TAX_0002,fin_facturas_compra,FC_00098,202411,1919.59
TCL_000099,TAX_0002,fin_facturas_compra,FC_00099,202412,779.91
TCL_000100,TAX_0002,fin_facturas_compra,FC_00100,202412,250.67
TCL_000101,TAX_0002,fin_facturas_compra,FC_00101,202410,1310.07
TCL_000102,TAX_0002,fin_facturas_compra,FC_00102,202410,2628.73
TCL_000103,TAX_0002,fin_facturas_compra,FC_00103,202411,1241.4
TCL_000104,TAX_0002,fin_facturas_compra,FC_00104,202412,567.34
TCL_000105,TAX_0002,fin_facturas_compra,FC_00105,202412,147.64
TCL_000106,TAX_0002,fin_facturas_compra,FC_00106,202410,785.61
TCL_000107,TAX_0002,fin_facturas_compra,FC_00107,202505,3502.55
TCL_000108,TAX_0002,fin_facturas_compra,FC_00108,202407,3075.33
TCL_000109,TAX_0002,fin_facturas_compra,FC_00109,202407,1884.37
TCL_000110,TAX_0002,fin_facturas_compra,FC_00110,202408,355.87
TCL_000111,TAX_0002,fin_facturas_compra,FC_00111,202505,936.28
TCL_000112,TAX_0002,fin_facturas_compra,FC_00112,202408,2969.95
TCL_000113,TAX_0002,fin_facturas_compra,FC_00113,202410,3122.91
TCL_000114,TAX_0002,fin_facturas_compra,FC_00114,202410,1870.45
TCL_000115,TAX_0002,fin_facturas_compra,FC_00115,202411,386.45
TCL_000116,TAX_0002,fin_facturas_compra,FC_00116,202411,176.55
TCL_000117,TAX_0002,fin_facturas_compra,FC_00117,202408,546.55
TCL_000118,TAX_0002,fin_facturas_compra,FC_00118,202410,2039.72
TCL_000119,TAX_0002,fin_facturas_compra,FC_00119,202411,928.34
TCL_000120,TAX_0002,fin_facturas_compra,FC_00120,202501,347.78
TCL_000121,TAX_0002,fin_facturas_compra,FC_00121,202412,117.36
TCL_000122,TAX_0002,fin_facturas_compra,FC_00122,202410,500.0
TCL_000123,TAX_0002,fin_facturas_compra,FC_00123,202408,3343.57
TCL_000124,TAX_0002,fin_facturas_compra,FC_00124,202410,3530.48
TCL_000125,TAX_0002,fin_facturas_compra,FC_00125,202410,1871.81
TCL_000126,TAX_0002,fin_facturas_compra,FC_00126,202411,359.76
TCL_000127,TAX_0002,fin_facturas_compra,FC_00127,202411,188.27
TCL_000128,TAX_0002,fin_facturas_compra,FC_00128,202408,604.17
TCL_000129,TAX_0002,fin_facturas_compra,FC_00129,202308,317.78
TCL_000130,TAX_0002,fin_facturas_compra,FC_00130,202308,396.8
TCL_000131,TAX_0002,fin_facturas_compra,FC_00131,202308,544.59
TCL_000132,TAX_0002,fin_facturas_compra,FC_00132,202408,303.13
TCL_000133,TAX_0002,fin_facturas_compra,FC_00133,202408,377.96
TCL_000134,TAX_0002,fin_facturas_compra,FC_00134,202408,636.92
TCL_000135,TAX_0002,fin_facturas_compra,FC_00135,202507,982.9
TCL_000136,TAX_0002,fin_facturas_compra,FC_00136,202507,194.08
TCL_000137,TAX_0002,fin_facturas_compra,FC_00137,202508,941.75
TCL_000138,TAX_0002,fin_facturas_compra,FC_00138,202508,1344.54
TCL_000139,TAX_0002,fin_facturas_compra,FC_00139,202509,104.59
TCL_000140,TAX_0002,fin_facturas_compra,FC_00140,202509,170.31
TCL_000141,TAX_0002,fin_facturas_compra,FC_00141,202509,815.26
TCL_000142,TAX_0002,fin_facturas_compra,FC_00142,202509,235.02
TCL_000143,TAX_0002,fin_facturas_compra,FC_00143,202510,1323.25
TCL_000144,TAX_0002,fin_facturas_compra,FC_00144,202510,729.52
TCL_000145,TAX_0002,fin_facturas_compra,FC_00145,202510,116.74
TCL_000146,TAX_0002,fin_facturas_compra,FC_00146,202510,217.1
TCL_000147,TAX_0002,fin_facturas_compra,FC_00147,202511,1458.11
TCL_000148,TAX_0002,fin_facturas_compra,FC_00148,202511,722.82
TCL_000149,TAX_0001,fin_facturas_venta,FV_00001,202406,22759.23
TCL_000150,TAX_0001,fin_facturas_venta,FV_00002,202402,10785.99
TCL_000151,TAX_0001,fin_facturas_venta,FV_00003,202403,14041.14
TCL_000152,TAX_0001,fin_facturas_venta,FV_00004,202404,14953.19
TCL_000153,TAX_0001,fin_facturas_venta,FV_00005,202408,19111.22
TCL_000154,TAX_0001,fin_facturas_venta,FV_00006,202408,27051.93
TCL_000155,TAX_0001,fin_facturas_venta,FV_00007,202405,8457.24
TCL_000156,TAX_0001,fin_facturas_venta,FV_00008,202406,7520.37
TCL_000157,TAX_0001,fin_facturas_venta,FV_00009,202409,11334.31
TCL_000158,TAX_0001,fin_facturas_venta,FV_00010,202401,9329.29
TCL_000159,TAX_0001,fin_facturas_venta,FV_00011,202405,15644.22
TCL_000160,TAX_0001,fin_facturas_venta,FV_00012,202407,41803.25
TCL_000161,TAX_0001,fin_facturas_venta,FV_00013,202408,19485.85
TCL_000162,TAX_0001,fin_facturas_venta,FV_00014,202405,13864.65
TCL_000163,TAX_0001,fin_facturas_venta,FV_00015,202406,18338.39
TCL_000164,TAX_0001,fin_facturas_venta,FV_00016,202408,18409.39
TCL_000165,TAX_0001,fin_facturas_venta,FV_00017,202406,25258.9
TCL_000166,TAX_0001,fin_facturas_venta,FV_00018,202406,6078.63
TCL_000167,TAX_0001,fin_facturas_venta,FV_00019,202409,11610.2
TCL_000168,TAX_0001,fin_facturas_venta,FV_00020,202406,5936.82
TCL_000169,TAX_0001,fin_facturas_venta,FV_00021,202407,7149.89
TCL_000170,TAX_0001,fin_facturas_venta,FV_00022,202409,7959.21
TCL_000171,TAX_0001,fin_facturas_venta,FV_00023,202506,29361.01
TCL_000172,TAX_0001,fin_facturas_venta,FV_00024,202505,24758.45
TCL_000173,TAX_0001,fin_facturas_venta,FV_00025,202506,24811.55
TCL_000174,TAX_0001,fin_facturas_venta,FV_00026,202508,17172.55
TCL_000175,TAX_0001,fin_facturas_venta,FV_00027,202505,9950.43
TCL_000176,TAX_0001,fin_facturas_venta,FV_00028,202508,22521.48
TCL_000177,TAX_0001,fin_facturas_venta,FV_00029,202501,27197.74
TCL_000178,TAX_0001,fin_facturas_venta,FV_00030,202506,12980.4
TCL_000179,TAX_0001,fin_facturas_venta,FV_00031,202506,8669.79
TCL_000180,TAX_0001,fin_facturas_venta,FV_00032,202509,10912.25
TCL_000181,TAX_0001,fin_facturas_venta,FV_00033,202504,23535.28
TCL_000182,TAX_0001,fin_facturas_venta,FV_00034,202507,36514.28
TCL_000183,TAX_0001,fin_facturas_venta,FV_00035,202506,12521.24
TCL_000184,TAX_0001,fin_facturas_venta,FV_00036,202509,30193.41
TCL_000185,TAX_0001,fin_facturas_venta,FV_00037,202506,9333.45
TCL_000186,TAX_0001,fin_facturas_venta,FV_00038,202510,15672.06
TCL_000187,TAX_0001,fin_facturas_venta,FV_00039,202501,26552.61
TCL_000188,TAX_0001,fin_facturas_venta,FV_00040,202505,11029.79
TCL_000189,TAX_0001,fin_facturas_venta,FV_00041,202507,17182.48
TCL_000190,TAX_0001,fin_facturas_venta,FV_00042,202509,12570.43
TCL_000191,TAX_0001,fin_facturas_venta,FV_00043,202506,18619.46
TCL_000192,TAX_0001,fin_facturas_venta,FV_00044,202505,14529.03
TCL_000193,TAX_0001,fin_facturas_venta,FV_00045,202507,18349.57
TCL_000194,TAX_0001,fin_facturas_venta,FV_00046,202509,7446.59
TCL_000195,TAX_0003,rrhh_liquidaciones,202307,202307,7638.88
TCL_000196,TAX_0003,rrhh_liquidaciones,202308,202308,7654.27
TCL_000197,TAX_0003,rrhh_liquidaciones,202309,202309,7660.62
TCL_000198,TAX_0003,rrhh_liquidaciones,202310,202310,7624.92
TCL_000199,TAX_0003,rrhh_liquidaciones,202311,202311,7982.33
TCL_000200,TAX_0003,rrhh_liquidaciones,202312,202312,8052.95
TCL_000201,TAX_0003,rrhh_liquidaciones,202401,202401,7710.65
TCL_000202,TAX_0003,rrhh_liquidaciones,202402,202402,7609.94
TCL_000203,TAX_0003,rrhh_liquidaciones,202403,202403,7663.94
TCL_000204,TAX_0003,rrhh_liquidaciones,202404,202404,8008.46
TCL_000205,TAX_0003,rrhh_liquidaciones,202405,202405,8097.45
TCL_000206,TAX_0003,rrhh_liquidaciones,202406,202406,7683.62
TCL_000207,TAX_0003,rrhh_liquidaciones,202407,202407,7640.37
TCL_000208,TAX_0003,rrhh_liquidaciones,202408,202408,7599.76
TCL_000209,TAX_0003,rrhh_liquidaciones,202409,202409,7618.1
TCL_000210,TAX_0003,rrhh_liquidaciones,202410,202410,7583.43
TCL_000211,TAX_0003,rrhh_liquidaciones,202411,202411,8004.6
TCL_000212,TAX_0003,rrhh_liquidaciones,202412,202412,8108.53
TCL_000213,TAX_0003,rrhh_liquidaciones,202501,202501,7623.8
TCL_000214,TAX_0003,rrhh_liquidaciones,202502,202502,7676.88
TCL_000215,TAX_0003,rrhh_liquidaciones,202503,202503,7637.06
TCL_000216,TAX_0003,rrhh_liquidaciones,202504,202504,8111.36
TCL_000217,TAX_0003,rrhh_liquidaciones,202505,202505,8035.99
TCL_000218,TAX_0003,rrhh_liquidaciones,202506,202506,7652.81
TCL_000219,TAX_0003,rrhh_liquidaciones,202507,202507,7676.23
TCL_000220,TAX_0003,rrhh_liquidaciones,202508,202508,7618.61
TCL_000221,TAX_0003,rrhh_liquidaciones,202509,202509,7653.23
TCL_000222,TAX_0003,rrhh_liquidaciones,202510,202510,7614.59
TCL_000223,TAX_0003,rrhh_liquidaciones,202511,202511,8090.76
TCL_000224,TAX_0003,rrhh_liquidaciones,202512,202512,8033.66
