factura_compra_id,proveedor_id,recepcion_compra_id,invoice_date,due_date,currency_code,net_amount,vat_amount,total_amount
FC_00099,SUP_0009,RC_00099,2024-12-25,2025-02-08,USD,3713.87,779.91,4493.78
FC_00100,SUP_0003,RC_00100,2024-12-30,2025-02-13,USD,1193.65,250.67,1444.32
FC_00101,SUP_0004,RC_00101,2024-10-13,2024-12-12,USD,6238.45,1310.07,7548.52
FC_00102,SUP_0008,RC_00102,2024-10-19,2024-12-03,USD,12517.74,2628.73,15146.47
FC_00103,SUP_0002,RC_00103,2024-11-07,2024-12-22,USD,5911.44,1241.4,7152.84
FC_00104,SUP_0009,RC_00104,2024-12-09,2025-01-23,USD,2701.63,567.34,3268.97
FC_00105,SUP_0009,RC_00105,2024-12-26,2025-02-09,USD,703.06,147.64,850.7
FC_00106,SUP_0004,RC_00106,2024-10-24,2024-12-23,USD,3741.0,785.61,4526.61
FC_00107,SUP_0008,RC_00107,2025-05-22,2025-07-06,USD,16678.79,3502.55,20181.34
FC_00108,SUP_0002,RC_00108,2024-07-30,2024-09-13,USD,14644.45,3075.33,17719.78
FC_00109,SUP_0002,RC_00109,2024-07-25,2024-09-08,USD,8973.2,1884.37,10857.57
FC_00110,SUP_0003,RC_00110,2024-08-11,2024-09-25,USD,1694.62,355.87,2050.49
FC_00111,SUP_0004,RC_00111,2025-05-30,2025-07-29,USD,4458.5,936.28,5394.78
FC_00112,SUP_0001,RC_00112,2024-08-13,2024-09-27,USD,14142.63,2969.95,17112.58
FC_00113,SUP_0002,RC_00113,2024-10-17,2024-12-01,USD,14870.99,3122.91,17993.9
FC_00114,SUP_0002,RC_00114,2024-10-25,2024-12-09,USD,8906.92,1870.45,10777.37
FC_00115,SUP_0003,RC_00115,2024-11-23,2025-01-07,USD,1840.25,386.45,2226.7
FC_00116,SUP_0009,RC_00116,2024-11-27,2025-01-11,USD,840.72,176.55,1017.27
FC_00117,SUP_0004,RC_00117,2024-08-29,2024-10-28,USD,2602.63,546.55,3149.18
FC_00118,SUP_0008,RC_00118,2024-10-24,2024-12-08,USD,9712.95,2039.72,11752.67
FC_00119,SUP_0002,RC_00119,2024-11-21,2025-01-05,USD,4420.65,928.34,5348.99
FC_00120,SUP_0009,RC_00120,2025-01-01,2025-02-15,USD,1656.1,347.78,2003.88
FC_00121,SUP_0003,RC_00121,2024-12-30,2025-02-13,USD,558.85,117.36,676.21
FC_00122,SUP_0004,RC_00122,2024-10-16,2024-12-15,USD,2380.93,500.0,2880.93
FC_00123,SUP_0001,RC_00123,2024-08-26,2024-10-10,USD,15921.77,3343.57,19265.34
FC_00124,SUP_0002,RC_00124,2024-10-23,2024-12-07,USD,16811.81,3530.48,20342.29
FC_00125,SUP_0002,RC_00125,2024-10-29,2024-12-13,USD,8913.38,1871.81,10785.19
FC_00126,SUP_0003,RC_00126,2024-11-13,2024-12-28,USD,1713.12,359.76,2072.88
FC_00127,SUP_0003,RC_00127,2024-11-13,2024-12-28,USD,896.51,188.27,1084.78
FC_00128,SUP_0004,RC_00128,2024-08-24,2024-10-23,USD,2877.02,604.17,3481.19
FC_00129,SUP_0005,RC_00129,2023-08-19,2023-09-18,USD,1513.22,317.78,1831.0
FC_00130,SUP_0005,RC_00130,2023-08-30,2023-09-29,USD,1889.53,396.8,2286.33
FC_00131,SUP_0010,RC_00131,2023-08-26,2023-09-25,USD,2593.28,544.59,3137.87
FC_00132,SUP_0005,RC_00132,2024-08-31,2024-09-30,USD,1443.49,303.13,1746.62
FC_00133,SUP_0005,RC_00133,2024-08-15,2024-09-14,USD,1799.8,377.96,2177.76
FC_00134,SUP_0005,RC_00134,2024-08-14,2024-09-13,USD,3032.93,636.92,3669.85
FC_00135,SUP_0004,RC_00135,2025-07-10,2025-09-08,USD,4680.47,982.9,5663.37
FC_00136,SUP_0007,RC_00136,2025-07-12,2025-08-26,USD,924.19,194.08,1118.27
FC_00137,SUP_0004,RC_00137,2025-08-26,2025-10-25,USD,4484.52,941.75,5426.27
FC_00138,SUP_0007,RC_00138,2025-08-29,2025-10-13,USD,6402.55,1344.54,7747.09
FC_00139,SUP_0010,RC_00139,2025-09-05,2025-10-05,USD,498.03,104.59,602.62
FC_00140,SUP_0005,RC_00140,2025-09-02,2025-10-02,USD,811.0,170.31,981.31
FC_00141,SUP_0004,RC_00141,2025-09-18,2025-11-17,USD,3882.17,815.26,4697.43
FC_00142,SUP_0006,RC_00142,2025-09-21,2025-11-05,USD,1119.12,235.02,1354.14
FC_00143,SUP_0004,RC_00143,2025-10-10,2025-12-09,USD,6301.21,1323.25,7624.46
FC_00144,SUP_0006,RC_00144,2025-10-13,2025-11-27,USD,3473.92,729.52,4203.44
FC_00145,SUP_0010,RC_00145,2025-10-12,2025-11-11,USD,555.89,116.74,672.63
FC_00146,SUP_0005,RC_00146,2025-10-11,2025-11-10,USD,1033.79,217.1,1250.89
FC_00147,SUP_0004,RC_00147,2025-11-14,2026-01-13,USD,6943.36,1458.11,8401.47
FC_00148,SUP_0007,RC_00148,2025-11-14,2025-12-29,USD,3442.01,722.82,4164.83
