recepcion_compra_det_id,recepcion_compra_id,producto_id,orden_compra_det_id,received_quantity,unit_cost,line_total
RCD_00108,RC_00108,PROD_0007,OCD_00108,21554.98,0.6794,14644.45
RCD_00109,RC_00109,PROD_0008,OCD_00109,11384.42,0.7882,8973.2
RCD_00110,RC_00110,PROD_0011,OCD_00110,73.21,23.1474,1694.62
RCD_00111,RC_00111,PROD_0012,OCD_00111,3581.99,1.2447,4458.5
RCD_00112,RC_00112,PROD_0004,OCD_00112,2748.49,5.1456,14142.63
RCD_00113,RC_00113,PROD_0007,OCD_00113,23977.74,0.6202,14870.99
RCD_00114,RC_00114,PROD_0008,OCD_00114,11488.35,0.7753,8906.92
RCD_00115,RC_00115,PROD_0009,OCD_00115,282.36,6.5174,1840.25
RCD_00116,RC_00116,PROD_0010,OCD_00116,45.15,18.6206,840.72
RCD_00117,RC_00117,PROD_0012,OCD_00117,2290.44,1.1363,2602.63
RCD_00118,RC_00118,PROD_0005,OCD_00118,7034.8,1.3807,9712.95
RCD_00119,RC_00119,PROD_0008,OCD_00119,5687.19,0.7773,4420.65
RCD_00120,RC_00120,PROD_0009,OCD_00120,269.53,6.1444,1656.1
RCD_00121,RC_00121,PROD_0010,OCD_00121,28.26,19.7754,558.85
RCD_00122,RC_00122,PROD_0012,OCD_00122,1925.85,1.2363,2380.93
RCD_00123,RC_00123,PROD_0004,OCD_00123,3126.33,5.0928,15921.77
RCD_00124,RC_00124,PROD_0007,OCD_00124,26491.98,0.6346,16811.81
RCD_00125,RC_00125,PROD_0008,OCD_00125,12448.86,0.716,8913.38
RCD_00126,RC_00126,PROD_0009,OCD_00126,287.48,5.9591,1713.12
RCD_00127,RC_00127,PROD_0010,OCD_00127,49.65,18.0565,896.51
RCD_00128,RC_00128,PROD_0012,OCD_00128,2437.95,1.1801,2877.02
RCD_00129,RC_00129,PROD_0013,OCD_00129,99.98,15.1352,1513.22
RCD_00130,RC_00130,PROD_0014,OCD_00130,45.37,41.6471,1889.53
RCD_00131,RC_00131,PROD_0015,OCD_00131,102.14,25.3895,2593.28
RCD_00132,RC_00132,PROD_0013,OCD_00132,94.93,15.2058,1443.49
RCD_00133,RC_00133,PROD_0014,OCD_00133,44.54,40.4087,1799.8
RCD_00134,RC_00134,PROD_0015,OCD_00134,123.44,24.5701,3032.93
RCD_00135,RC_00135,PROD_0012,OCD_00135,3924.92,1.1925,4680.47
RCD_00136,RC_00136,PROD_0016,OCD_00136,22.15,41.7242,924.19
RCD_00137,RC_00137,PROD_0012,OCD_00137,3688.23,1.2159,4484.52
RCD_00138,RC_00138,PROD_0017,OCD_00138,440.51,14.5344,6402.55
RCD_00139,RC_00139,PROD_0013,OCD_00139,30.51,16.3236,498.03
RCD_00140,RC_00140,PROD_0015,OCD_00140,31.61,25.6563,811.0
RCD_00141,RC_00141,PROD_0012,OCD_00141,3434.33,1.1304,3882.17
RCD_00142,RC_00142,PROD_0016,OCD_00142,27.3,40.9935,1119.12
RCD_00143,RC_00143,PROD_0012,OCD_00143,5415.74,1.1635,6301.21
RCD_00144,RC_00144,PROD_0017,OCD_00144,250.25,13.8818,3473.92
RCD_00145,RC_00145,PROD_0013,OCD_00145,33.13,16.779,555.89
RCD_00146,RC_00146,PROD_0015,OCD_00146,37.89,27.2841,1033.79
RCD_00147,RC_00147,PROD_0012,OCD_00147,5841.14,1.1887,6943.36
RCD_00148,RC_00148,PROD_0017,OCD_00148,232.12,14.8286,3442.01
