recepcion_compra_id,orden_compra_id,deposito_id,receipt_date,status
RC_00040,OC_00040,DEP_0001,2023-12-26,CONFIRMADA
RC_00041,OC_00041,DEP_0001,2023-10-25,CONFIRMADA
RC_00042,OC_00042,DEP_0001,2023-08-24,CONFIRMADA
RC_00043,OC_00043,DEP_0001,2023-10-11,CONFIRMADA
RC_00044,OC_00044,DEP_0001,2023-10-10,CONFIRMADA
RC_00045,OC_00045,DEP_0001,2023-11-09,CONFIRMADA
RC_00046,OC_00046,DEP_0001,2023-11-23,CONFIRMADA
RC_00047,OC_00047,DEP_0001,2023-08-27,CONFIRMADA
RC_00048,OC_00048,DEP_0001,2023-10-13,CONFIRMADA
RC_00049,OC_00049,DEP_0001,2023-11-27,CONFIRMADA
RC_00050,OC_00050,DEP_0001,2023-12-20,CONFIRMADA
RC_00051,OC_00051,DEP_0001,2023-12-12,CONFIRMADA
RC_00052,OC_00052,DEP_0001,2023-10-23,CONFIRMADA
RC_00053,OC_00053,DEP_0001,2023-10-17,CONFIRMADA
RC_00054,OC_00054,DEP_0001,2023-11-14,CONFIRMADA
RC_00055,OC_00055,DEP_0001,2023-12-22,CONFIRMADA
RC_00056,OC_00056,DEP_0001,2023-12-17,CONFIRMADA
RC_00057,OC_00057,DEP_0001,2023-10-27,CONFIRMADA
RC_00058,OC_00058,DEP_0001,2023-10-06,CONFIRMADA
RC_00059,OC_00059,DEP_0001,2023-11-09,CONFIRMADA
RC_00060,OC_00060,DEP_0001,2023-12-31,CONFIRMADA
RC_00061,OC_00061,DEP_0001,2023-12-17,CONFIRMADA
RC_00062,OC_00062,DEP_0001,2023-10-11,CONFIRMADA
RC_00063,OC_00063,DEP_0001,2024-10-24,CONFIRMADA
RC_00064,OC_00064,DEP_0001,2024-11-25,CONFIRMADA
RC_00065,OC_00065,DEP_0001,2024-12-10,CONFIRMADA
RC_00066,OC_00066,DEP_0001,2024-12-15,CONFIRMADA
RC_00067,OC_00067,DEP_0001,2024-10-23,CONFIRMADA
RC_00068,OC_00068,DEP_0001,2024-08-13,CONFIRMADA
RC_00069,OC_00069,DEP_0001,2024-10-27,CONFIRMADA
RC_00070,OC_00070,DEP_0001,2024-10-15,CONFIRMADA
RC_00071,OC_00071,DEP_0001,2024-11-21,CONFIRMADA
RC_00072,OC_00072,DEP_0001,2024-11-15,CONFIRMADA
RC_00073,OC_00073,DEP_0001,2024-08-25,CONFIRMADA
RC_00074,OC_00074,DEP_0001,2024-08-23,CONFIRMADA
RC_00075,OC_00075,DEP_0001,2024-10-31,CONFIRMADA
RC_00076,OC_00076,DEP_0001,2024-10-25,CONFIRMADA
RC_00077,OC_00077,DEP_0001,2024-11-12,CONFIRMADA
RC_00078,OC_00078,DEP_0001,2024-11-16,CONFIRMADA
RC_00079,OC_00079,DEP_0001,2024-08-08,CONFIRMADA
RC_00080,OC_00080,DEP_0001,2025-05-27,CONFIRMADA
RC_00081,OC_00081,DEP_0001,2024-07-19,CONFIRMADA
RC_00082,OC_00082,DEP_0001,2024-07-16,CONFIRMADA
RC_00083,OC_00083,DEP_0001,2024-08-25,CONFIRMADA
RC_00084,OC_00084,DEP_0001,2025-05-29,CONFIRMADA
RC_00085,OC_00085,DEP_0001,2024-08-16,CONFIRMADA
RC_00086,OC_00086,DEP_0001,2024-10-09,CONFIRMADA
RC_00087,OC_00087,DEP_0001,2024-10-11,CONFIRMADA
RC_00088,OC_00088,DEP_0001,2024-11-30,CONFIRMADA
RC_00089,OC_00089,DEP_0001,2024-11-06,CONFIRMADA
RC_00090,OC_00090,DEP_0001,2024-08-16,CONFIRMADA
RC_00091,OC_00091,DEP_0001,2024-08-20,CONFIRMADA
RC_00092,OC_00092,DEP_0001,2024-10-08,CONFIRMADA
RC_00093,OC_00093,DEP_0001,2024-10-29,CONFIRMADA
RC_00094,OC_00094,DEP_0001,2024-11-09,CONFIRMADA
RC_00095,OC_00095,DEP_0001,2024-11-11,CONFIRMADA
RC_00096,OC_00096,DEP_0001,2024-08-24,CONFIRMADA
RC_00097,OC_00097,DEP_0001,2024-10-07,CONFIRMADA
RC_00098,OC_00098,DEP_0001,2024-11-26,CONFIRMADA
RC_00099,OC_00099,DEP_0001,2024-12-23,CONFIRMADA
RC_00100,OC_00100,DEP_0001,2024-12-27,CONFIRMADA
RC_00101,OC_00101,DEP_0001,2024-10-10,CONFIRMADA
RC_00102,OC_00102,DEP_0001,2024-10-19,CONFIRMADA
RC_00103,OC_00103,DEP_0001,2024-11-06,CONFIRMADA
RC_00104,OC_00104,DEP_0001,2024-12-09,CONFIRMADA
RC_00105,OC_00105,DEP_0001,2024-12-24,CONFIRMADA
RC_00106,OC_00106,DEP_0001,2024-10-24,CONFIRMADA
RC_00107,OC_00107,DEP_0001,2025-05-19,CONFIRMADA
RC_00108,OC_00108,DEP_0001,2024-07-29,CONFIRMADA
RC_00109,OC_00109,DEP_0001,2024-07-24,CONFIRMADA
RC_00110,OC_00110,DEP_0001,2024-08-09,CONFIRMADA
RC_00111,OC_00111,DEP_0001,2025-05-30,CONFIRMADA
RC_00112,OC_00112,DEP_0001,2024-08-13,CONFIRMADA
RC_00113,OC_00113,DEP_0001,2024-10-14,CONFIRMADA
RC_00114,OC_00114,DEP_0001,2024-10-24,CONFIRMADA
RC_00115,OC_00115,DEP_0001,2024-11-20,CONFIRMADA
RC_00116,OC_00116,DEP_0001,2024-11-25,CONFIRMADA
RC_00117,OC_00117,DEP_0001,2024-08-28,CONFIRMADA
RC_00118,OC_00118,DEP_0001,2024-10-22,CONFIRMADA
RC_00119,OC_00119,DEP_0001,2024-11-20,CONFIRMADA
RC_00120,OC_00120,DEP_0001,2024-12-30,CONFIRMADA
RC_00121,OC_00121,DEP_0001,2024-12-27,CONFIRMADA
RC_00122,OC_00122,DEP_0001,2024-10-15,CONFIRMADA
RC_00123,OC_00123,DEP_0001,2024-08-23,CONFIRMADA
RC_00124,OC_00124,DEP_0001,2024-10-23,CONFIRMADA
RC_00125,OC_00125,DEP_0001,2024-10-28,CONFIRMADA
RC_00126,OC_00126,DEP_0001,2024-11-13,CONFIRMADA
RC_00127,OC_00127,DEP_0001,2024-11-12,CONFIRMADA
RC_00128,OC_00128,DEP_0001,2024-08-24,CONFIRMADA
RC_00129,OC_00129,DEP_0004,2023-08-17,CONFIRMADA
RC_00130,OC_00130,DEP_0004,2023-08-28,CONFIRMADA
RC_00131,OC_00131,DEP_0004,2023-08-23,CONFIRMADA
RC_00132,OC_00132,DEP_0004,2024-08-30,CONFIRMADA
RC_00133,OC_00133,DEP_0004,2024-08-14,CONFIRMADA
RC_00134,OC_00134,DEP_0004,2024-08-13,CONFIRMADA
RC_00135,OC_00135,DEP_0001,2025-07-08,CONFIRMADA
RC_00136,OC_00136,DEP_0004,2025-07-09,CONFIRMADA
RC_00137,OC_00137,DEP_0001,2025-08-25,CONFIRMADA
RC_00138,OC_00138,DEP_0002,2025-08-28,CONFIRMADA
RC_00139,OC_00139,DEP_0004,2025-09-02,CONFIRMADA
RC_00140,OC_00140,DEP_0004,2025-08-30,CONFIRMADA
RC_00141,OC_00141,DEP_0001,2025-09-17,CONFIRMADA
RC_00142,OC_00142,DEP_0004,2025-09-20,CONFIRMADA
RC_00143,OC_00143,DEP_0001,2025-10-08,CONFIRMADA
RC_00144,OC_00144,DEP_0002,2025-10-11,CONFIRMADA
RC_00145,OC_00145,DEP_0004,2025-10-12,CONFIRMADA
RC_00146,OC_00146,DEP_0004,2025-10-11,CONFIRMADA
RC_00147,OC_00147,DEP_0001,2025-11-13,CONFIRMADA
RC_00148,OC_00148,DEP_0002,2025-11-14,CONFIRMADA
