orden_trabajo_det_id,orden_trabajo_id,producto_id,quantity,unit_cost,total_cost
MOTD_00163,MOT_00082,PROD_0013,1,15.0,15.0
MOTD_00164,MOT_00082,PROD_0015,1,26.0,26.0
MOTD_00165,MOT_00083,PROD_0013,1,15.0,15.0
MOTD_00166,MOT_00083,PROD_0015,1,26.0,26.0
MOTD_00167,MOT_00084,PROD_0013,1,15.0,15.0
MOTD_00168,MOT_00084,PROD_0015,1,26.0,26.0
MOTD_00169,MOT_00085,PROD_0013,1,15.0,15.0
MOTD_00170,MOT_00085,PROD_0015,1,26.0,26.0
MOTD_00171,MOT_00086,PROD_0013,1,15.0,15.0
MOTD_00172,MOT_00086,PROD_0015,1,26.0,26.0
MOTD_00173,MOT_00087,PROD_0013,1,15.0,15.0
MOTD_00174,MOT_00087,PROD_0015,1,26.0,26.0
MOTD_00175,MOT_00088,PROD_0013,1,15.0,15.0
MOTD_00176,MOT_00088,PROD_0015,1,26.0,26.0
MOTD_00177,MOT_00089,PROD_0013,1,15.0,15.0
MOTD_00178,MOT_00089,PROD_0015,1,26.0,26.0
MOTD_00179,MOT_00090,PROD_0013,1,15.0,15.0
MOTD_00180,MOT_00090,PROD_0015,1,26.0,26.0
MOTD_00181,MOT_00091,PROD_0013,1,15.0,15.0
MOTD_00182,MOT_00091,PROD_0015,1,26.0,26.0
MOTD_00183,MOT_00092,PROD_0013,1,15.0,15.0
MOTD_00184,MOT_00092,PROD_0015,1,26.0,26.0
MOTD_00185,MOT_00093,PROD_0013,1,15.0,15.0
MOTD_00186,MOT_00093,PROD_0015,1,26.0,26.0
MOTD_00187,MOT_00094,PROD_0014,2,42.0,84.0
MOTD_00188,MOT_00094,PROD_0015,1,26.0,26.0
MOTD_00189,MOT_00095,PROD_0013,1,15.0,15.0
MOTD_00190,MOT_00095,PROD_0015,1,26.0,26.0
MOTD_00191,MOT_00096,PROD_0013,1,15.0,15.0
MOTD_00192,MOT_00096,PROD_0015,1,26.0,26.0
MOTD_00193,MOT_00097,PROD_0013,1,15.0,15.0
MOTD_00194,MOT_00097,PROD_0015,1,26.0,26.0
MOTD_00195,MOT_00098,PROD_0013,1,15.0,15.0
MOTD_00196,MOT_00098,PROD_0015,1,26.0,26.0
MOTD_00197,MOT_00099,PROD_0013,1,15.0,15.0
MOTD_00198,MOT_00099,PROD_0015,1,26.0,26.0
MOTD_00199,MOT_00100,PROD_0013,1,15.0,15.0
MOTD_00200,MOT_00100,PROD_0015,1,26.0,26.0
MOTD_00201,MOT_00101,PROD_0013,1,15.0,15.0
MOTD_00202,MOT_00101,PROD_0015,1,26.0,26.0
MOTD_00203,MOT_00102,PROD_0013,1,15.0,15.0
MOTD_00204,MOT_00102,PROD_0015,1,26.0,26.0
MOTD_00205,MOT_00103,PROD_0013,1,15.0,15.0
MOTD_00206,MOT_00103,PROD_0015,1,26.0,26.0
MOTD_00207,MOT_00104,PROD_0013,1,15.0,15.0
MOTD_00208,MOT_00104,PROD_0015,1,26.0,26.0
MOTD_00209,MOT_00105,PROD_0013,1,15.0,15.0
MOTD_00210,MOT_00105,PROD_0015,1,26.0,26.0
MOTD_00211,MOT_00106,PROD_0013,1,15.0,15.0
MOTD_00212,MOT_00106,PROD_0015,1,26.0,26.0
MOTD_00213,MOT_00107,PROD_0013,1,15.0,15.0
MOTD_00214,MOT_00107,PROD_0015,1,26.0,26.0
MOTD_00215,MOT_00108,PROD_0013,1,15.0,15.0
MOTD_00216,MOT_00108,PROD_0015,1,26.0,26.0
MOTD_00217,MOT_00109,PROD_0013,1,15.0,15.0
MOTD_00218,MOT_00109,PROD_0015,1,26.0,26.0
MOTD_00219,MOT_00110,PROD_0013,1,15.0,15.0
MOTD_00220,MOT_00110,PROD_0015,1,26.0,26.0
MOTD_00221,MOT_00111,PROD_0013,1,15.0,15.0
MOTD_00222,MOT_00111,PROD_0015,1,26.0,26.0
MOTD_00223,MOT_00112,PROD_0013,1,15.0,15.0
MOTD_00224,MOT_00112,PROD_0015,1,26.0,26.0
MOTD_00225,MOT_00113,PROD_0013,1,15.0,15.0
MOTD_00226,MOT_00113,PROD_0015,1,26.0,26.0
MOTD_00227,MOT_00114,PROD_0013,1,15.0,15.0
MOTD_00228,MOT_00114,PROD_0015,1,26.0,26.0
MOTD_00229,MOT_00115,PROD_0013,1,15.0,15.0
MOTD_00230,MOT_00115,PROD_0015,1,26.0,26.0
MOTD_00231,MOT_00116,PROD_0013,1,15.0,15.0
MOTD_00232,MOT_00116,PROD_0015,1,26.0,26.0
MOTD_00233,MOT_00117,PROD_0013,1,15.0,15.0
MOTD_00234,MOT_00117,PROD_0015,1,26.0,26.0
MOTD_00235,MOT_00118,PROD_0013,1,15.0,15.0
MOTD_00236,MOT_00118,PROD_0015,1,26.0,26.0
MOTD_00237,MOT_00119,PROD_0013,1,15.0,15.0
MOTD_00238,MOT_00119,PROD_0015,1,26.0,26.0
MOTD_00239,MOT_00120,PROD_0013,1,15.0,15.0
MOTD_00240,MOT_00120,PROD_0015,1,26.0,26.0
MOTD_00241,MOT_00121,PROD_0013,1,15.0,15.0
MOTD_00242,MOT_00121,PROD_0015,1,26.0,26.0
MOTD_00243,MOT_00122,PROD_0013,1,15.0,15.0
MOTD_00244,MOT_00122,PROD_0015,1,26.0,26.0
MOTD_00245,MOT_00123,PROD_0013,1,15.0,15.0
MOTD_00246,MOT_00123,PROD_0015,1,26.0,26.0
MOTD_00247,MOT_00124,PROD_0013,1,15.0,15.0
MOTD_00248,MOT_00124,PROD_0015,1,26.0,26.0
MOTD_00249,MOT_00125,PROD_0014,2,42.0,84.0
MOTD_00250,MOT_00125,PROD_0015,1,26.0,26.0
MOTD_00251,MOT_00126,PROD_0013,1,15.0,15.0
MOTD_00252,MOT_00126,PROD_0015,1,26.0,26.0
MOTD_00253,MOT_00127,PROD_0013,1,15.0,15.0
MOTD_00254,MOT_00127,PROD_0015,1,26.0,26.0
MOTD_00255,MOT_00128,PROD_0013,1,15.0,15.0
MOTD_00256,MOT_00128,PROD_0015,1,26.0,26.0
MOTD_00257,MOT_00129,PROD_0013,1,15.0,15.0
MOTD_00258,MOT_00129,PROD_0015,1,26.0,26.0
MOTD_00259,MOT_00130,PROD_0013,1,15.0,15.0
MOTD_00260,MOT_00130,PROD_0015,1,26.0,26.0
MOTD_00261,MOT_00131,PROD_0013,1,15.0,15.0
MOTD_00262,MOT_00131,PROD_0015,1,26.0,26.0
MOTD_00263,MOT_00132,PROD_0013,1,15.0,15.0
MOTD_00264,MOT_00132,PROD_0015,1,26.0,26.0
MOTD_00265,MOT_00133,PROD_0013,1,15.0,15.0
MOTD_00266,MOT_00133,PROD_0015,1,26.0,26.0
MOTD_00267,MOT_00134,PROD_0013,1,15.0,15.0
MOTD_00268,MOT_00134,PROD_0015,1,26.0,26.0
MOTD_00269,MOT_00135,PROD_0013,1,15.0,15.0
MOTD_00270,MOT_00135,PROD_0015,1,26.0,26.0
MOTD_00271,MOT_00136,PROD_0013,1,15.0,15.0
MOTD_00272,MOT_00136,PROD_0015,1,26.0,26.0
MOTD_00273,MOT_00137,PROD_0013,1,15.0,15.0
MOTD_00274,MOT_00137,PROD_0015,1,26.0,26.0
MOTD_00275,MOT_00138,PROD_0013,1,15.0,15.0
MOTD_00276,MOT_00138,PROD_0015,1,26.0,26.0
MOTD_00277,MOT_00139,PROD_0013,1,15.0,15.0
MOTD_00278,MOT_00139,PROD_0015,1,26.0,26.0
MOTD_00279,MOT_00140,PROD_0013,1,15.0,15.0
MOTD_00280,MOT_00140,PROD_0015,1,26.0,26.0
MOTD_00281,MOT_00141,PROD_0013,1,15.0,15.0
MOTD_00282,MOT_00141,PROD_0015,1,26.0,26.0
MOTD_00283,MOT_00142,PROD_0013,1,15.0,15.0
MOTD_00284,MOT_00142,PROD_0015,1,26.0,26.0
MOTD_00285,MOT_00143,PROD_0013,1,15.0,15.0
MOTD_00286,MOT_00143,PROD_0015,1,26.0,26.0
MOTD_00287,MOT_00144,PROD_0013,1,15.0,15.0
MOTD_00288,MOT_00144,PROD_0015,1,26.0,26.0
MOTD_00289,MOT_00145,PROD_0013,1,15.0,15.0
MOTD_00290,MOT_00145,PROD_0015,1,26.0,26.0
MOTD_00291,MOT_00146,PROD_0013,1,15.0,15.0
MOTD_00292,MOT_00146,PROD_0015,1,26.0,26.0
MOTD_00293,MOT_00147,PROD_0013,1,15.0,15.0
MOTD_00294,MOT_00147,PROD_0015,1,26.0,26.0
MOTD_00295,MOT_00148,PROD_0013,1,15.0,15.0
MOTD_00296,MOT_00148,PROD_0015,1,26.0,26.0
MOTD_00297,MOT_00149,PROD_0013,1,15.0,15.0
MOTD_00298,MOT_00149,PROD_0015,1,26.0,26.0
MOTD_00299,MOT_00150,PROD_0013,1,15.0,15.0
MOTD_00300,MOT_00150,PROD_0015,1,26.0,26.0
MOTD_00301,MOT_00151,PROD_0013,1,15.0,15.0
MOTD_00302,MOT_00151,PROD_0015,1,26.0,26.0
MOTD_00303,MOT_00152,PROD_0013,1,15.0,15.0
MOTD_00304,MOT_00152,PROD_0015,1,26.0,26.0
MOTD_00305,MOT_00153,PROD_0013,1,15.0,15.0
MOTD_00306,MOT_00153,PROD_0015,1,26.0,26.0
MOTD_00307,MOT_00154,PROD_0013,1,15.0,15.0
MOTD_00308,MOT_00154,PROD_0015,1,26.0,26.0
MOTD_00309,MOT_00155,PROD_0013,1,15.0,15.0
MOTD_00310,MOT_00155,PROD_0015,1,26.0,26.0
MOTD_00311,MOT_00156,PROD_0014,1,42.0,42.0
MOTD_00312,MOT_00156,PROD_0015,1,26.0,26.0
MOTD_00313,MOT_00157,PROD_0013,1,15.0,15.0
MOTD_00314,MOT_00157,PROD_0015,1,26.0,26.0
MOTD_00315,MOT_00158,PROD_0013,1,15.0,15.0
MOTD_00316,MOT_00158,PROD_0015,1,26.0,26.0
MOTD_00317,MOT_00159,PROD_0013,1,15.0,15.0
MOTD_00318,MOT_00159,PROD_0015,1,26.0,26.0
MOTD_00319,MOT_00160,PROD_0013,1,15.0,15.0
MOTD_00320,MOT_00160,PROD_0015,1,26.0,26.0
MOTD_00321,MOT_00161,PROD_0013,1,15.0,15.0
MOTD_00322,MOT_00161,PROD_0015,1,26.0,26.0
MOTD_00323,MOT_00162,PROD_0013,1,15.0,15.0
MOTD_00324,MOT_00162,PROD_0015,1,26.0,26.0
MOTD_00325,MOT_00163,PROD_0013,1,15.0,15.0
MOTD_00326,MOT_00163,PROD_0015,1,26.0,26.0
MOTD_00327,MOT_00164,PROD_0013,1,15.0,15.0
MOTD_00328,MOT_00164,PROD_0015,1,26.0,26.0
MOTD_00329,MOT_00165,PROD_0013,1,15.0,15.0
MOTD_00330,MOT_00165,PROD_0015,1,26.0,26.0
MOTD_00331,MOT_00166,PROD_0013,1,15.0,15.0
MOTD_00332,MOT_00166,PROD_0015,1,26.0,26.0
MOTD_00333,MOT_00167,PROD_0013,1,15.0,15.0
MOTD_00334,MOT_00167,PROD_0015,1,26.0,26.0
MOTD_00335,MOT_00168,PROD_0013,1,15.0,15.0
MOTD_00336,MOT_00168,PROD_0015,1,26.0,26.0
MOTD_00337,MOT_00169,PROD_0013,1,15.0,15.0
MOTD_00338,MOT_00169,PROD_0015,1,26.0,26.0
MOTD_00339,MOT_00170,PROD_0013,1,15.0,15.0
MOTD_00340,MOT_00170,PROD_0015,1,26.0,26.0
MOTD_00341,MOT_00171,PROD_0013,1,15.0,15.0
MOTD_00342,MOT_00171,PROD_0015,1,26.0,26.0
MOTD_00343,MOT_00172,PROD_0014,2,42.0,84.0
MOTD_00344,MOT_00172,PROD_0015,2,26.0,52.0
MOTD_00345,MOT_00173,PROD_0014,2,42.0,84.0
MOTD_00346,MOT_00173,PROD_0015,2,26.0,52.0
MOTD_00347,MOT_00174,PROD_0014,2,42.0,84.0
MOTD_00348,MOT_00174,PROD_0015,2,26.0,52.0
MOTD_00349,MOT_00175,PROD_0013,1,15.0,15.0
MOTD_00350,MOT_00175,PROD_0015,1,26.0,26.0
MOTD_00351,MOT_00176,PROD_0013,1,15.0,15.0
MOTD_00352,MOT_00176,PROD_0015,1,26.0,26.0
MOTD_00353,MOT_00177,PROD_0013,1,15.0,15.0
MOTD_00354,MOT_00177,PROD_0015,1,26.0,26.0
MOTD_00355,MOT_00178,PROD_0013,1,15.0,15.0
MOTD_00356,MOT_00178,PROD_0015,1,26.0,26.0
MOTD_00357,MOT_00179,PROD_0013,1,15.0,15.0
MOTD_00358,MOT_00179,PROD_0015,1,26.0,26.0
MOTD_00359,MOT_00180,PROD_0013,1,15.0,15.0
MOTD_00360,MOT_00180,PROD_0015,1,26.0,26.0
MOTD_00361,MOT_00181,PROD_0013,1,15.0,15.0
MOTD_00362,MOT_00181,PROD_0015,1,26.0,26.0
MOTD_00363,MOT_00182,PROD_0013,1,15.0,15.0
MOTD_00364,MOT_00182,PROD_0015,1,26.0,26.0
MOTD_00365,MOT_00183,PROD_0013,1,15.0,15.0
MOTD_00366,MOT_00183,PROD_0015,1,26.0,26.0
MOTD_00367,MOT_00184,PROD_0013,1,15.0,15.0
MOTD_00368,MOT_00184,PROD_0015,1,26.0,26.0
MOTD_00369,MOT_00185,PROD_0013,1,15.0,15.0
MOTD_00370,MOT_00185,PROD_0015,1,26.0,26.0
MOTD_00371,MOT_00186,PROD_0013,1,15.0,15.0
MOTD_00372,MOT_00186,PROD_0015,1,26.0,26.0
MOTD_00373,MOT_00187,PROD_0013,1,15.0,15.0
MOTD_00374,MOT_00187,PROD_0015,1,26.0,26.0
MOTD_00375,MOT_00188,PROD_0013,1,15.0,15.0
MOTD_00376,MOT_00188,PROD_0015,1,26.0,26.0
MOTD_00377,MOT_00189,PROD_0013,1,15.0,15.0
MOTD_00378,MOT_00189,PROD_0015,1,26.0,26.0
MOTD_00379,MOT_00190,PROD_0013,1,15.0,15.0
MOTD_00380,MOT_00190,PROD_0015,1,26.0,26.0
MOTD_00381,MOT_00191,PROD_0013,1,15.0,15.0
MOTD_00382,MOT_00191,PROD_0015,1,26.0,26.0
MOTD_00383,MOT_00192,PROD_0013,1,15.0,15.0
MOTD_00384,MOT_00192,PROD_0015,1,26.0,26.0
MOTD_00385,MOT_00193,PROD_0013,1,15.0,15.0
MOTD_00386,MOT_00193,PROD_0015,1,26.0,26.0
MOTD_00387,MOT_00194,PROD_0013,1,15.0,15.0
MOTD_00388,MOT_00194,PROD_0015,1,26.0,26.0
MOTD_00389,MOT_00195,PROD_0013,1,15.0,15.0
MOTD_00390,MOT_00195,PROD_0015,1,26.0,26.0
MOTD_00391,MOT_00196,PROD_0013,1,15.0,15.0
MOTD_00392,MOT_00196,PROD_0015,1,26.0,26.0
MOTD_00393,MOT_00197,PROD_0013,1,15.0,15.0
MOTD_00394,MOT_00197,PROD_0015,1,26.0,26.0
MOTD_00395,MOT_00198,PROD_0013,1,15.0,15.0
MOTD_00396,MOT_00198,PROD_0015,1,26.0,26.0
MOTD_00397,MOT_00199,PROD_0013,1,15.0,15.0
MOTD_00398,MOT_00199,PROD_0015,1,26.0,26.0
MOTD_00399,MOT_00200,PROD_0013,1,15.0,15.0
MOTD_00400,MOT_00200,PROD_0015,1,26.0,26.0
MOTD_00401,MOT_00201,PROD_0013,1,15.0,15.0
MOTD_00402,MOT_00201,PROD_0015,1,26.0,26.0
MOTD_00403,MOT_00202,PROD_0013,1,15.0,15.0
MOTD_00404,MOT_00202,PROD_0015,1,26.0,26.0
MOTD_00405,MOT_00203,PROD_0013,1,15.0,15.0
MOTD_00406,MOT_00203,PROD_0015,1,26.0,26.0
MOTD_00407,MOT_00204,PROD_0013,1,15.0,15.0
MOTD_00408,MOT_00204,PROD_0015,1,26.0,26.0
MOTD_00409,MOT_00205,PROD_0014,1,42.0,42.0
MOTD_00410,MOT_00205,PROD_0015,1,26.0,26.0
MOTD_00411,MOT_00206,PROD_0013,1,15.0,15.0
MOTD_00412,MOT_00206,PROD_0015,1,26.0,26.0
MOTD_00413,MOT_00207,PROD_0013,1,15.0,15.0
MOTD_00414,MOT_00207,PROD_0015,1,26.0,26.0
MOTD_00415,MOT_00208,PROD_0013,1,15.0,15.0
MOTD_00416,MOT_00208,PROD_0015,1,26.0,26.0
MOTD_00417,MOT_00209,PROD_0013,1,15.0,15.0
MOTD_00418,MOT_00209,PROD_0015,1,26.0,26.0
MOTD_00419,MOT_00210,PROD_0013,1,15.0,15.0
MOTD_00420,MOT_00210,PROD_0015,1,26.0,26.0
MOTD_00421,MOT_00211,PROD_0013,1,15.0,15.0
MOTD_00422,MOT_00211,PROD_0015,1,26.0,26.0
MOTD_00423,MOT_00212,PROD_0013,1,15.0,15.0
MOTD_00424,MOT_00212,PROD_0015,1,26.0,26.0
MOTD_00425,MOT_00213,PROD_0013,1,15.0,15.0
MOTD_00426,MOT_00213,PROD_0015,1,26.0,26.0
MOTD_00427,MOT_00214,PROD_0013,1,15.0,15.0
MOTD_00428,MOT_00214,PROD_0015,1,26.0,26.0
MOTD_00429,MOT_00215,PROD_0013,1,15.0,15.0
MOTD_00430,MOT_00215,PROD_0015,1,26.0,26.0
MOTD_00431,MOT_00216,PROD_0013,1,15.0,15.0
MOTD_00432,MOT_00216,PROD_0015,1,26.0,26.0
MOTD_00433,MOT_00217,PROD_0013,1,15.0,15.0
MOTD_00434,MOT_00217,PROD_0015,1,26.0,26.0
