orden_compra_det_id,orden_compra_id,producto_id,centro_costo_id,ordered_quantity,unit_price,line_total
OCD_00051,OC_00051,PROD_0010,CC_0001,38.14,19.849,757.04
OCD_00052,OC_00052,PROD_0012,CC_0001,2933.55,1.1773,3453.67
OCD_00053,OC_00053,PROD_0005,CC_0001,7593.44,1.2675,9624.69
OCD_00054,OC_00054,PROD_0008,CC_0001,6056.42,0.8227,4982.62
OCD_00055,OC_00055,PROD_0009,CC_0001,268.37,6.5615,1760.91
OCD_00056,OC_00056,PROD_0010,CC_0001,28.91,19.1995,555.06
OCD_00057,OC_00057,PROD_0012,CC_0001,1795.95,1.2409,2228.59
OCD_00058,OC_00058,PROD_0005,CC_0001,9918.66,1.2101,12002.57
OCD_00059,OC_00059,PROD_0008,CC_0001,8216.8,0.7848,6448.54
OCD_00060,OC_00060,PROD_0009,CC_0001,362.99,5.9206,2149.12
OCD_00061,OC_00061,PROD_0010,CC_0001,39.54,19.4769,770.12
OCD_00062,OC_00062,PROD_0012,CC_0001,2609.55,1.2176,3177.39
OCD_00063,OC_00063,PROD_0005,CC_0001,10210.76,1.3359,13640.55
OCD_00064,OC_00064,PROD_0008,CC_0001,7970.53,0.7284,5805.73
OCD_00065,OC_00065,PROD_0009,CC_0001,357.2,6.6754,2384.45
OCD_00066,OC_00066,PROD_0010,CC_0001,39.96,17.575,702.3
OCD_00067,OC_00067,PROD_0012,CC_0001,3057.1,1.1644,3559.69
OCD_00068,OC_00068,PROD_0004,CC_0001,4511.8,5.3597,24181.89
OCD_00069,OC_00069,PROD_0007,CC_0001,37959.05,0.6561,24904.93
OCD_00070,OC_00070,PROD_0008,CC_0001,19141.59,0.822,15734.39
OCD_00071,OC_00071,PROD_0009,CC_0001,437.63,6.6276,2900.44
OCD_00072,OC_00072,PROD_0010,CC_0001,74.86,17.5542,1314.11
OCD_00073,OC_00073,PROD_0012,CC_0001,4262.11,1.1924,5082.14
OCD_00074,OC_00074,PROD_0004,CC_0001,2233.57,4.9014,10947.62
OCD_00075,OC_00075,PROD_0007,CC_0001,18492.29,0.6493,12007.04
OCD_00076,OC_00076,PROD_0008,CC_0001,9309.62,0.7845,7303.4
OCD_00077,OC_00077,PROD_0009,CC_0001,218.62,6.72,1469.13
OCD_00078,OC_00078,PROD_0010,CC_0001,36.16,19.0156,687.6
OCD_00079,OC_00079,PROD_0012,CC_0001,1974.47,1.2287,2426.03
OCD_00080,OC_00080,PROD_0006,CC_0001,23874.15,0.7183,17148.8
OCD_00081,OC_00081,PROD_0007,CC_0001,21348.07,0.6221,13280.63
OCD_00082,OC_00082,PROD_0008,CC_0001,11850.66,0.8071,9564.67
OCD_00083,OC_00083,PROD_0011,CC_0001,76.82,20.4984,1574.69
OCD_00084,OC_00084,PROD_0012,CC_0001,3450.79,1.1774,4062.96
OCD_00085,OC_00085,PROD_0004,CC_0001,2461.69,4.6936,11554.19
OCD_00086,OC_00086,PROD_0007,CC_0001,20074.65,0.6933,13917.75
OCD_00087,OC_00087,PROD_0008,CC_0001,10337.55,0.8276,8555.36
OCD_00088,OC_00088,PROD_0009,CC_0001,233.77,6.3038,1473.64
OCD_00089,OC_00089,PROD_0010,CC_0001,38.78,18.4274,714.61
OCD_00090,OC_00090,PROD_0012,CC_0001,2275.4,1.152,2621.26
OCD_00091,OC_00091,PROD_0004,CC_0001,3795.63,5.1069,19383.9
OCD_00092,OC_00092,PROD_0007,CC_0001,31343.17,0.6276,19670.97
OCD_00093,OC_00093,PROD_0008,CC_0001,15414.9,0.8092,12473.74
OCD_00094,OC_00094,PROD_0009,CC_0001,358.15,6.788,2431.12
OCD_00095,OC_00095,PROD_0010,CC_0001,59.79,18.8966,1129.83
OCD_00096,OC_00096,PROD_0012,CC_0001,3822.73,1.1958,4571.22
OCD_00097,OC_00097,PROD_0005,CC_0001,14963.76,1.1891,17793.41
OCD_00098,OC_00098,PROD_0008,CC_0001,11730.92,0.7827,9181.79
OCD_00099,OC_00099,PROD_0009,CC_0001,584.23,6.3933,3735.16
OCD_00100,OC_00100,PROD_0010,CC_0001,61.92,19.3053,1195.38
OCD_00101,OC_00101,PROD_0012,CC_0001,5015.3,1.2466,6252.07
OCD_00102,OC_00102,PROD_0005,CC_0001,10414.94,1.2138,12641.65
OCD_00103,OC_00103,PROD_0008,CC_0001,7757.32,0.7646,5931.25
OCD_00104,OC_00104,PROD_0009,CC_0001,393.53,6.9207,2723.5
OCD_00105,OC_00105,PROD_0010,CC_0001,40.63,17.3595,705.32
OCD_00106,OC_00106,PROD_0012,CC_0001,2987.74,1.2546,3748.42
OCD_00107,OC_00107,PROD_0006,CC_0001,24244.58,0.69,16728.76
OCD_00108,OC_00108,PROD_0007,CC_0001,21677.93,0.6794,14727.99
OCD_00109,OC_00109,PROD_0008,CC_0001,11467.91,0.7882,9039.01
OCD_00110,OC_00110,PROD_0011,CC_0001,73.87,23.1474,1709.9
OCD_00111,OC_00111,PROD_0012,CC_0001,3609.51,1.2447,4492.76
OCD_00112,OC_00112,PROD_0004,CC_0001,2775.89,5.1456,14283.62
OCD_00113,OC_00113,PROD_0007,CC_0001,23978.19,0.6202,14871.27
OCD_00114,OC_00114,PROD_0008,CC_0001,11639.05,0.7753,9023.76
OCD_00115,OC_00115,PROD_0009,CC_0001,283.63,6.5174,1848.53
OCD_00116,OC_00116,PROD_0010,CC_0001,45.21,18.6206,841.84
OCD_00117,OC_00117,PROD_0012,CC_0001,2305.07,1.1363,2619.25
OCD_00118,OC_00118,PROD_0005,CC_0001,7106.72,1.3807,9812.25
OCD_00119,OC_00119,PROD_0008,CC_0001,5709.26,0.7773,4437.81
OCD_00120,OC_00120,PROD_0009,CC_0001,272.39,6.1444,1673.67
OCD_00121,OC_00121,PROD_0010,CC_0001,28.62,19.7754,565.97
OCD_00122,OC_00122,PROD_0012,CC_0001,1934.33,1.2363,2391.41
OCD_00123,OC_00123,PROD_0004,CC_0001,3169.02,5.0928,16139.19
OCD_00124,OC_00124,PROD_0007,CC_0001,26687.04,0.6346,16935.6
OCD_00125,OC_00125,PROD_0008,CC_0001,12456.38,0.716,8918.77
OCD_00126,OC_00126,PROD_0009,CC_0001,290.77,5.9591,1732.73
OCD_00127,OC_00127,PROD_0010,CC_0001,50.01,18.0565,903.01
OCD_00128,OC_00128,PROD_0012,CC_0001,2459.8,1.1801,2902.81
OCD_00129,OC_00129,PROD_0013,CC_0003,99.98,15.1352,1513.22
OCD_00130,OC_00130,PROD_0014,CC_0003,45.37,41.6471,1889.53
OCD_00131,OC_00131,PROD_0015,CC_0003,102.14,25.3895,2593.28
OCD_00132,OC_00132,PROD_0013,CC_0003,94.93,15.2058,1443.49
OCD_00133,OC_00133,PROD_0014,CC_0003,44.54,40.4087,1799.8
OCD_00134,OC_00134,PROD_0015,CC_0003,123.44,24.5701,3032.93
OCD_00135,OC_00135,PROD_0012,CC_0001,3924.92,1.1925,4680.47
OCD_00136,OC_00136,PROD_0016,CC_0003,22.15,41.7242,924.19
OCD_00137,OC_00137,PROD_0012,CC_0001,3688.23,1.2159,4484.52
OCD_00138,OC_00138,PROD_0017,CC_0002,440.51,14.5344,6402.55
OCD_00139,OC_00139,PROD_0013,CC_0003,30.51,16.3236,498.03
OCD_00140,OC_00140,PROD_0015,CC_0003,31.61,25.6563,811.0
OCD_00141,OC_00141,PROD_0012,CC_0001,3434.33,1.1304,3882.17
OCD_00142,OC_00142,PROD_0016,CC_0003,27.3,40.9935,1119.12
OCD_00143,OC_00143,PROD_0012,CC_0001,5415.74,1.1635,6301.21
OCD_00144,OC_00144,PROD_0017,CC_0002,250.25,13.8818,3473.92
OCD_00145,OC_00145,PROD_0013,CC_0003,33.13,16.779,555.89
OCD_00146,OC_00146,PROD_0015,CC_0003,37.89,27.2841,1033.79
OCD_00147,OC_00147,PROD_0012,CC_0001,5841.14,1.1887,6943.36
OCD_00148,OC_00148,PROD_0017,CC_0002,232.12,14.8286,3442.01
