pago_id,proveedor_id,cuenta_financiera_id,payment_date,amount,currency_code
PAG_00054,SUP_0002,BANK_0002,2023-12-30,6003.44,USD
PAG_00055,SUP_0003,BANK_0002,2024-02-15,2125.93,USD
PAG_00056,SUP_0009,BANK_0002,2024-01-30,667.44,USD
PAG_00057,SUP_0004,BANK_0002,2024-01-08,2681.88,USD
PAG_00058,SUP_0008,BANK_0002,2023-11-29,14487.57,USD
PAG_00059,SUP_0002,BANK_0002,2023-12-24,7763.6,USD
PAG_00060,SUP_0009,BANK_0002,2024-02-24,2596.42,USD
PAG_00061,SUP_0003,BANK_0002,2024-02-11,919.82,USD
PAG_00062,SUP_0004,BANK_0002,2023-12-18,3841.21,USD
PAG_00063,SUP_0001,BANK_0002,2024-12-17,16448.66,USD
PAG_00064,SUP_0002,BANK_0002,2025-02-05,6923.79,USD
PAG_00065,SUP_0003,BANK_0002,2025-02-04,2863.78,USD
PAG_00066,SUP_0003,BANK_0002,2025-02-09,847.87,USD
PAG_00067,SUP_0004,BANK_0002,2024-12-29,3759.76,USD
PAG_00068,SUP_0001,BANK_0002,2024-09-26,28901.72,USD
PAG_00069,SUP_0002,BANK_0002,2024-12-10,30037.37,USD
PAG_00070,SUP_0002,BANK_0002,2024-11-27,14659.69,USD
PAG_00071,SUP_0009,BANK_0002,2025-01-18,3487.32,USD
PAG_00072,SUP_0009,BANK_0002,2025-01-17,1588.58,USD
PAG_00073,SUP_0004,BANK_0002,2024-10-27,4767.94,USD
PAG_00074,SUP_0008,BANK_0002,2024-10-07,12402.3,USD
PAG_00075,SUP_0002,BANK_0002,2024-12-30,14359.76,USD
PAG_00076,SUP_0002,BANK_0002,2024-12-08,8357.73,USD
PAG_00077,SUP_0009,BANK_0002,2025-01-18,1759.42,USD
PAG_00078,SUP_0009,BANK_0002,2025-01-26,824.87,USD
PAG_00079,SUP_0004,BANK_0002,2024-10-16,2775.13,USD
PAG_00080,SUP_0008,BANK_0002,2025-08-11,14319.27,USD
PAG_00081,SUP_0002,BANK_0002,2024-09-05,15870.23,USD
PAG_00082,SUP_0002,BANK_0002,2024-09-08,8893.71,USD
PAG_00083,SUP_0003,BANK_0002,2024-10-07,1887.52,USD
PAG_00084,SUP_0004,BANK_0002,2025-08-13,2436.45,USD
PAG_00085,SUP_0001,BANK_0002,2024-10-08,13880.95,USD
PAG_00086,SUP_0002,BANK_0002,2024-11-29,15959.17,USD
PAG_00087,SUP_0002,BANK_0002,2024-12-01,10327.0,USD
PAG_00088,SUP_0003,BANK_0002,2025-02-07,1768.38,USD
PAG_00089,SUP_0003,BANK_0002,2025-01-01,861.56,USD
PAG_00090,SUP_0004,BANK_0002,2024-10-28,3144.78,USD
PAG_00091,SUP_0008,BANK_0002,2024-10-07,23331.06,USD
PAG_00092,SUP_0002,BANK_0002,2024-12-04,23465.59,USD
PAG_00093,SUP_0002,BANK_0002,2025-01-16,13150.24,USD
PAG_00094,SUP_0003,BANK_0002,2025-01-04,2931.48,USD
PAG_00095,SUP_0003,BANK_0002,2025-01-21,1365.27,USD
PAG_00096,SUP_0004,BANK_0002,2024-11-01,5219.96,USD
PAG_00097,SUP_0001,BANK_0002,2024-12-01,18832.32,USD
PAG_00098,SUP_0002,BANK_0002,2025-02-14,11060.48,USD
PAG_00099,SUP_0009,BANK_0002,2025-02-17,4269.09,USD
PAG_00100,SUP_0003,BANK_0002,2025-03-06,1271.0,USD
PAG_00101,SUP_0004,BANK_0002,2024-12-11,7548.52,USD
PAG_00102,SUP_0008,BANK_0002,2024-12-13,15146.47,USD
PAG_00103,SUP_0002,BANK_0002,2025-01-25,7152.84,USD
PAG_00104,SUP_0009,BANK_0002,2025-02-19,3268.97,USD
PAG_00105,SUP_0009,BANK_0002,2025-02-20,850.7,USD
PAG_00106,SUP_0004,BANK_0002,2025-01-03,4526.61,USD
PAG_00107,SUP_0008,BANK_0002,2025-08-07,18970.46,USD
PAG_00108,SUP_0002,BANK_0002,2024-09-14,17719.78,USD
PAG_00109,SUP_0002,BANK_0002,2024-09-10,10857.57,USD
PAG_00110,SUP_0003,BANK_0002,2024-10-05,1599.38,USD
PAG_00111,SUP_0004,BANK_0002,2025-08-15,3776.35,USD
PAG_00112,SUP_0001,BANK_0002,2024-10-04,17112.58,USD
PAG_00113,SUP_0002,BANK_0002,2024-12-11,15834.63,USD
PAG_00114,SUP_0002,BANK_0002,2024-12-09,10777.37,USD
PAG_00115,SUP_0003,BANK_0002,2025-01-19,1736.83,USD
PAG_00116,SUP_0009,BANK_0002,2025-02-11,1017.27,USD
PAG_00117,SUP_0004,BANK_0002,2024-11-04,3149.18,USD
PAG_00118,SUP_0008,BANK_0002,2024-12-12,11752.67,USD
PAG_00119,SUP_0002,BANK_0002,2025-01-28,5348.99,USD
PAG_00120,SUP_0009,BANK_0002,2025-02-26,2003.88,USD
PAG_00121,SUP_0003,BANK_0002,2025-03-10,676.21,USD
PAG_00122,SUP_0004,BANK_0002,2024-12-19,2880.93,USD
PAG_00123,SUP_0001,BANK_0002,2024-10-18,15026.97,USD
PAG_00124,SUP_0002,BANK_0002,2024-12-13,17901.22,USD
PAG_00125,SUP_0002,BANK_0002,2025-01-07,10785.19,USD
PAG_00126,SUP_0003,BANK_0002,2025-01-21,1824.13,USD
PAG_00127,SUP_0003,BANK_0002,2025-01-17,1084.78,USD
PAG_00128,SUP_0004,BANK_0002,2024-10-22,3481.19,USD
PAG_00129,SUP_0005,BANK_0002,2023-09-17,1831.0,USD
PAG_00130,SUP_0005,BANK_0002,2023-10-02,2286.33,USD
PAG_00131,SUP_0010,BANK_0002,2023-10-02,3137.87,USD
PAG_00132,SUP_0005,BANK_0002,2024-10-06,1746.62,USD
PAG_00133,SUP_0005,BANK_0002,2024-09-11,2177.76,USD
PAG_00134,SUP_0005,BANK_0002,2024-09-20,3669.85,USD
PAG_00135,SUP_0004,BANK_0002,2025-09-30,5323.57,USD
PAG_00136,SUP_0007,BANK_0002,2025-09-08,1118.27,USD
PAG_00137,SUP_0004,BANK_0002,2025-11-13,4558.07,USD
PAG_00138,SUP_0007,BANK_0002,2025-10-22,7282.26,USD
PAG_00139,SUP_0010,BANK_0002,2025-10-31,301.31,USD
PAG_00140,SUP_0005,BANK_0002,2025-11-03,922.43,USD
PAG_00141,SUP_0004,BANK_0002,2025-12-17,4415.58,USD
PAG_00142,SUP_0006,BANK_0002,2025-11-25,677.07,USD
PAG_00143,SUP_0004,BANK_0002,2025-12-29,3812.23,USD
PAG_00144,SUP_0006,BANK_0002,2025-12-08,4203.44,USD
PAG_00145,SUP_0010,BANK_0002,2025-12-10,565.01,USD
PAG_00146,SUP_0005,BANK_0002,2025-12-11,625.45,USD
PAG_00147,SUP_0004,BANK_0002,2026-02-16,8401.47,USD
PAG_00148,SUP_0007,BANK_0002,2026-01-21,3914.94,USD
