consumo_id,labor_id,producto_id,deposito_id,quantity,unit_cost,total_cost
CONS_00065,LAB_00076,PROD_0006,DEP_0001,21756.0,0.7014,15259.66
CONS_00066,LAB_00077,PROD_0007,DEP_0001,20202.0,0.6409,12947.46
CONS_00067,LAB_00077,PROD_0008,DEP_0001,10878.0,0.7695,8370.62
CONS_00068,LAB_00078,PROD_0011,DEP_0001,69.93,21.8704,1529.4
CONS_00069,LAB_00081,PROD_0004,DEP_0001,2351.8,5.1219,12045.68
CONS_00070,LAB_00082,PROD_0007,DEP_0001,19242.0,0.6409,12332.2
CONS_00071,LAB_00082,PROD_0008,DEP_0001,9621.0,0.7695,7403.36
CONS_00072,LAB_00083,PROD_0009,DEP_0001,224.49,6.5747,1475.95
CONS_00073,LAB_00084,PROD_0010,DEP_0001,37.41,18.5745,694.87
CONS_00074,LAB_00086,PROD_0004,DEP_0001,3511.2,5.1219,17984.02
CONS_00075,LAB_00087,PROD_0007,DEP_0001,28728.0,0.6409,18411.78
CONS_00076,LAB_00087,PROD_0008,DEP_0001,14364.0,0.7695,11053.1
CONS_00077,LAB_00088,PROD_0009,DEP_0001,335.16,6.5747,2203.58
CONS_00078,LAB_00089,PROD_0010,DEP_0001,55.86,18.5745,1037.57
CONS_00079,LAB_00091,PROD_0005,DEP_0001,14189.0,1.2829,18203.07
CONS_00080,LAB_00092,PROD_0008,DEP_0001,11148.5,0.7695,8578.77
CONS_00081,LAB_00093,PROD_0009,DEP_0001,527.02,6.5747,3465.0
CONS_00082,LAB_00094,PROD_0010,DEP_0001,56.76,18.5745,1054.29
CONS_00083,LAB_00096,PROD_0005,DEP_0001,9555.0,1.2829,12258.11
CONS_00084,LAB_00097,PROD_0008,DEP_0001,7507.5,0.7695,5777.02
CONS_00085,LAB_00098,PROD_0009,DEP_0001,354.9,6.5747,2333.36
CONS_00086,LAB_00099,PROD_0010,DEP_0001,38.22,18.5745,709.92
CONS_00087,LAB_00101,PROD_0006,DEP_0001,22260.0,0.7014,15613.16
CONS_00088,LAB_00102,PROD_0007,DEP_0001,20670.0,0.6409,13247.4
CONS_00089,LAB_00102,PROD_0008,DEP_0001,11130.0,0.7695,8564.53
CONS_00090,LAB_00103,PROD_0011,DEP_0001,71.55,21.8704,1564.83
CONS_00091,LAB_00106,PROD_0004,DEP_0001,2677.4,5.1219,13713.38
CONS_00092,LAB_00107,PROD_0007,DEP_0001,21906.0,0.6409,14039.56
CONS_00093,LAB_00107,PROD_0008,DEP_0001,10953.0,0.7695,8428.33
CONS_00094,LAB_00108,PROD_0009,DEP_0001,255.57,6.5747,1680.3
CONS_00095,LAB_00109,PROD_0010,DEP_0001,42.59,18.5745,791.09
CONS_00096,LAB_00111,PROD_0005,DEP_0001,6776.0,1.2829,8692.93
CONS_00097,LAB_00112,PROD_0008,DEP_0001,5324.0,0.7695,4096.82
CONS_00098,LAB_00113,PROD_0009,DEP_0001,251.68,6.5747,1654.72
CONS_00099,LAB_00114,PROD_0010,DEP_0001,27.1,18.5745,503.37
CONS_00100,LAB_00116,PROD_0004,DEP_0001,2948.0,5.1219,15099.36
CONS_00101,LAB_00117,PROD_0007,DEP_0001,24120.0,0.6409,15458.51
CONS_00102,LAB_00117,PROD_0008,DEP_0001,12060.0,0.7695,9280.17
CONS_00103,LAB_00118,PROD_0009,DEP_0001,281.4,6.5747,1850.12
CONS_00104,LAB_00119,PROD_0010,DEP_0001,46.9,18.5745,871.14
